label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,group,bucket
0..0.25,full,49,33,26,0.12244897959183673,0.10732653061224488,0.920187630612245,0.0,45.089193900000005,4.910806099999997,0.10891314914370195,-0.6560697939139445,1.0448597743393098,27,27,-4.338117824999999,-1.0,raw_dist_band,0..0.25
0.25..0.5,full,64,31,29,0.15625,0.1059765625,0.9161736773437501,0.0,58.63511535000001,27.36488465,0.46669789061820266,-0.20527594213201317,1.151866835766769,21,21,-4.04108,-1.0,raw_dist_band,0.25..0.5
0.5..1,full,111,47,34,0.15315315315315314,0.10709909909909908,0.9238737779279281,0.0,102.54998935000002,45.45001065,0.44319858966421233,-0.0963947107350226,1.0029188665105384,31,31,-5.8270231,-1.0,raw_dist_band,0.5..1
<=0,full,143,50,24,0.1048951048951049,0.10747552447552447,0.9355211832167833,0.0,133.7795292,-9.779529200000004,-0.07310183597207638,-0.5579190584061969,0.45026422820362,39,39,-8.0186875,-1.0,raw_dist_band,<=0
>1,full,109,46,28,0.1559633027522936,0.09843119266055046,0.8112919050458713,0.0,88.43081764999998,45.569182349999984,0.5153088432401257,-0.13585648294469796,1.1958060865353806,32,32,-6.923685,-1.0,raw_dist_band,>1
-0.5..0,full,171,49,40,0.14035087719298245,0.11212280701754385,0.9827294992690059,0.0,168.046744375,37.953255625,0.2258493954533655,-0.2739053942085439,0.7374696543384185,32,32,-8.2461075,-1.0,adj_dist_band,-0.5..0
0..0.5,full,135,49,40,0.17037037037037037,0.11380740740740741,1.0090281605555556,0.0,136.218801675,75.781198325,0.5563196665450332,-0.035898449109628444,1.2426051339027504,30,30,-7.267839499999999,-1.0,adj_dist_band,0..0.5
0.5..1,full,55,33,24,0.12727272727272726,0.08675454545454545,0.6745825404545456,0.0,37.102039725000004,10.897960275,0.29372941099129823,-0.5236819331811563,1.3930708453603444,26,26,-3.2873075,-1.0,adj_dist_band,0.5..1
<-0.5,full,109,45,32,0.08256880733944955,0.09438073394495414,0.7723757206422017,0.0,84.18895355,-20.18895355,-0.2398052558998698,-0.6868268905952963,0.31041427817913503,37,37,-6.5996854,-1.0,adj_dist_band,<-0.5
>1,full,6,6,5,0.3333333333333333,0.07191666666666667,0.4880176875,0.0,2.9281061250000002,9.071893874999999,3.0982121165434187,-1.0,9.002935861675402,4,4,-0.87759,-1.0,adj_dist_band,>1
14-20c,full,102,44,35,0.2549019607843137,0.16913725490196074,1.7614909852941179,0.0,179.67208050000002,80.32791950000001,0.44708069988648014,-0.05480251287675459,1.0163412631397437,23,23,-8.950632375,-1.0,price_band,14-20c
5-8c,full,184,52,47,0.08152173913043478,0.06556521739130435,0.411748173097826,0.0,75.76166384999999,14.238336149999995,0.18793589562909258,-0.3162933438843349,0.7343051850862813,37,37,-3.368973075,-1.0,price_band,5-8c
8-14c,full,190,52,43,0.12631578947368421,0.10900789473684211,0.9107942163157894,0.0,173.05090109999998,18.949098900000003,0.10950014579265317,-0.2996600109820749,0.5354252013457647,33,33,-5.9634591,-1.0,price_band,8-14c
feasible,full,296,41,45,0.10810810810810811,0.10033445945945947,0.8431305352195946,0.0,249.566638425,14.433361574999996,0.05783369790965679,-0.25200724023079146,0.38497024597393065,23,18,-11.974932625,-1.0,book_state_v1,feasible
missing,full,91,19,36,0.1978021978021978,0.10917032967032966,0.9557170206043957,0.0,86.97024887500001,65.02975112499998,0.7477241006687871,-0.12774269976289782,1.6910853350316872,9,9,-8.6736839,-1.0,book_state_v1,missing
thin_wide,full,89,34,34,0.16853932584269662,0.11678651685393258,1.0331208780898877,0.0,91.94775815000001,34.05224185000001,0.37034336165595794,-0.18664529841861077,1.022080726431967,22,21,-5.9979788,-1.0,book_state_v1,thin_wide
