label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi
current_dist_gt0,full,333,53,47,0.15015015015015015,0.10407957957957958,0.8850003490990991,0.0,294.70511625,123.29488375,0.4183669605702001,0.10665506460761073,0.7630413743495473,19,16,-11.037585,-1.0
current_dist_gt0,train_le_2026_06_20,275,44,46,0.14545454545454545,0.1051509090909091,0.8988106821818183,0.0,247.1729376,86.8270624,0.3512806185137964,-0.0008053250059427866,0.7641134404618669,18,15,-11.037585,-1.0
current_dist_gt0,recent_ge_2026_06_21,58,9,28,0.1724137931034483,0.099,0.8195203215517243,0.0,47.532178650000006,36.467821349999994,0.7672238552019326,0.31739456109401154,1.3387156726271483,1,1,-4.2643981250000005,-1.0
continuous_same_count,full,343,53,48,0.15451895043731778,0.11031195335276969,0.9656960283527696,0.0,331.23373772499997,126.766262275,0.38270939169923895,0.033244036803000525,0.7764349247856437,23,18,-12.454694875000001,-1.0
continuous_same_count,train_le_2026_06_20,275,44,48,0.15272727272727274,0.10932545454545453,0.9532911483636364,0.0,262.1550658,95.84493420000001,0.3656039752942284,-0.05564836795113155,0.8737008175947404,21,17,-12.454694875000001,-1.0
continuous_same_count,recent_ge_2026_06_21,68,9,32,0.16176470588235295,0.11430147058823531,1.0158628224264707,0.0,69.07867192500001,30.921328075,0.4476248198368935,0.1039212627896151,0.8107792654183059,2,1,-1.5119875,-1.0
intersection,full,295,52,47,0.15593220338983052,0.10598983050847458,0.9101011841525423,0.0,268.479849325,123.520150675,0.4600723331212709,0.10110534653936153,0.8653116549329455,19,18,-11.037585,-1.0
intersection,train_le_2026_06_20,243,44,46,0.15637860082304528,0.10680452674897119,0.921051913580247,0.0,223.815615,96.18438499999999,0.42974832207305996,0.02114074805743559,0.9034542203868587,18,17,-11.037585,-1.0
intersection,recent_ge_2026_06_21,52,8,28,0.15384615384615385,0.10218269230769234,0.8589275831730769,0.0,44.664234325,27.335765674999998,0.6120280821583298,0.15975219586127726,1.046181894425545,1,1,-4.2643981250000005,-1.0
continuous_only,full,48,31,14,0.14583333333333334,0.136875,1.307372675,0.0,62.75388840000001,3.2461115999999954,0.05172765676779951,-0.6478747995553898,0.8307123713764344,25,25,-5.6386075,-1.0
continuous_only,train_le_2026_06_20,32,23,13,0.125,0.12846875000000002,1.1981078375,0.0,38.3394508,-0.3394508000000016,-0.008853825313533223,-1.0,1.0979693094088145,20,20,-5.6386075,-1.0
continuous_only,recent_ge_2026_06_21,16,8,10,0.1875,0.1536875,1.52590235,0.0,24.4144376,3.585562399999999,0.1468623794963026,-1.0,1.1915620774320992,5,5,-3.953875,-1.0
dist_only,full,38,26,15,0.10526315789473684,0.08925000000000001,0.6901386032894737,0.0,26.225266925000003,-0.22526692500000056,-0.008589690455552934,-0.7984968778184834,1.2123805864474304,22,22,-3.4240291000000003,-1.0
dist_only,train_le_2026_06_20,32,21,13,0.0625,0.09259375,0.7299163312500001,0.0,23.357322600000003,-9.3573226,-0.4006162333006437,-1.0,0.6410242463057332,19,19,-3.4240291000000003,-1.0
dist_only,recent_ge_2026_06_21,6,5,6,0.3333333333333333,0.07141666666666667,0.4779907208333334,0.0,2.8679443250000003,9.132055674999998,3.1841816437632544,-1.0,8.712276539106739,3,3,-0.71111,-1.0
