decile,rows,win_rate,avg_p,avg_ask,avg_raw_dist,avg_adj_dist
0,39,0.05128205128205128,0.07132148636986028,0.06308974358974359,-0.3001424501424498,-0.6641025641025637
1,38,0.07894736842105263,0.0861276221049466,0.07244736842105264,-0.05029239766081823,-0.4652777777777768
2,38,0.07894736842105263,0.10235301628824732,0.07663157894736843,0.31652046783625726,-0.25204678362573013
3,38,0.05263157894736842,0.11776988752875032,0.08343421052631579,0.44678362573099434,-0.10160818713450219
4,39,0.07692307692307693,0.13513639923439064,0.08701282051282051,0.7746438746438749,0.10826210826210911
5,38,0.15789473684210525,0.15119339487459554,0.09988157894736842,0.6675438596491231,0.18961988304093666
6,38,0.07894736842105263,0.16594748599417394,0.11384210526315788,0.5274853801169601,0.06176900584795449
7,38,0.21052631578947367,0.18647447582568044,0.1317236842105263,0.46681286549707635,0.017397660818713932
8,38,0.21052631578947367,0.22688463363714195,0.14378947368421055,0.7707602339181293,0.18552631578947407
9,39,0.3076923076923077,0.2948710700443983,0.17497435897435898,0.8371794871794879,0.18319088319088395
