window,cushion,mode,rows,dates,cities,wins,win_rate,avg_snapshot_ask,avg_fresh_ask,avg_lag_min,cost,pnl,roi,losing_days,le_minus_50pct_days,max_daily_loss
pre_choice_2026-05-29_2026-06-30,0.01,per_share,115,32,38,13,0.11304347826086956,0.09511304347826087,0.09296521739130435,39.39971014492753,11.16689395,1.83310605,0.1641554095711637,19,19,-0.8366643999999999
pre_choice_2026-05-29_2026-06-30,0.01,price_tier,115,32,38,13,0.11304347826086956,0.09511304347826087,0.09296521739130435,39.39971014492753,86.2969087,15.703091300000004,0.18196586107840504,19,19,-5.8268268
post_choice_2026-07-01_2026-07-07,0.01,per_share,7,4,5,3,0.42857142857142855,0.10957142857142857,0.11471428571428573,34.207142857142856,0.83806175,2.16193825,2.579688489541492,2,2,-0.1625832
post_choice_2026-07-01_2026-07-07,0.01,price_tier,7,4,5,3,0.42857142857142855,0.10957142857142857,0.11471428571428573,34.207142857142856,6.9087933,15.0912067,2.1843476920926266,2,2,-1.6258320000000002
full_2026-05-29_2026-07-07,0.01,per_share,122,36,38,16,0.13114754098360656,0.09594262295081968,0.09421311475409835,39.10177595628416,12.0049557,3.9950443,0.33278292730393,21,21,-0.8366643999999999
full_2026-05-29_2026-07-07,0.01,price_tier,122,36,38,16,0.13114754098360656,0.09594262295081968,0.09421311475409835,39.10177595628416,93.205702,30.794298000000005,0.3303907093581035,21,21,-5.8268268
pre_choice_2026-05-29_2026-06-30,0.02,per_share,154,32,41,17,0.11038961038961038,0.09638311688311688,0.09887662337662338,39.656168831168834,15.90075165,1.0992483499999999,0.0691318482419037,18,17,-0.8366643999999999
pre_choice_2026-05-29_2026-06-30,0.02,price_tier,154,32,41,17,0.11038961038961038,0.09638311688311688,0.09887662337662338,39.656168831168834,125.1266131,12.873386900000002,0.1028828846323181,17,17,-5.8268268
post_choice_2026-07-01_2026-07-07,0.02,per_share,15,5,11,5,0.3333333333333333,0.1028,0.11286666666666667,34.41555555555556,1.76688145,3.2331185500000004,1.8298446395483976,1,1,-0.269163
post_choice_2026-07-01_2026-07-07,0.02,price_tier,15,5,11,5,0.3333333333333333,0.1028,0.11286666666666667,34.41555555555556,14.6117311,25.3882689,1.7375264249148412,1,1,-2.4784704
full_2026-05-29_2026-07-07,0.02,per_share,169,37,42,22,0.1301775147928994,0.0969526627218935,0.10011834319526629,39.19102564102565,17.6676331,4.3323669,0.2452149009139204,19,18,-0.8366643999999999
full_2026-05-29_2026-07-07,0.02,price_tier,169,37,42,22,0.1301775147928994,0.0969526627218935,0.10011834319526629,39.19102564102565,139.7383442,38.2616558,0.27380928276377847,18,18,-5.8268268
pre_choice_2026-05-29_2026-06-30,0.03,per_share,173,32,42,23,0.1329479768786127,0.09667341040462427,0.10165317919075145,39.89181117533719,18.362244,4.6377559999999995,0.25257021963110826,16,15,-0.6664078
pre_choice_2026-05-29_2026-06-30,0.03,price_tier,173,32,42,23,0.1329479768786127,0.09667341040462427,0.10165317919075145,39.89181117533719,145.756886,42.243114,0.28981899352597307,16,15,-5.669321200000001
post_choice_2026-07-01_2026-07-07,0.03,per_share,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,1.85681165,3.14318835,1.6927879303213118,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.03,price_tier,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,15.3311727,24.6688273,1.609063297551922,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.03,per_share,189,37,43,28,0.14814814814814814,0.096994708994709,0.10246031746031747,39.56587301587302,20.21905565,7.78094435,0.384832233744804,17,16,-0.6664078
full_2026-05-29_2026-07-07,0.03,price_tier,189,37,43,28,0.14814814814814814,0.096994708994709,0.10246031746031747,39.56587301587302,161.0880587,66.9119413,0.41537493120214747,17,16,-5.669321200000001
pre_choice_2026-05-29_2026-06-30,0.05,per_share,195,32,43,24,0.12307692307692308,0.0973051282051282,0.10606153846153846,40.155641025641025,21.5897376,2.4102623999999997,0.1116392632766412,16,14,-0.9601899999999999
pre_choice_2026-05-29_2026-06-30,0.05,price_tier,195,32,43,24,0.12307692307692308,0.0973051282051282,0.10606153846153846,40.155641025641025,175.26009870000001,22.7399013,0.12974944935369934,15,14,-7.888179999999999
post_choice_2026-07-01_2026-07-07,0.05,per_share,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,1.85681165,3.14318835,1.6927879303213118,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.05,price_tier,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,15.3311727,24.6688273,1.609063297551922,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.05,per_share,211,37,44,29,0.13744075829383887,0.09754502369668247,0.10645023696682465,39.84368088467615,23.44654925,5.55345075,0.2368557816668907,17,15,-0.9601899999999999
full_2026-05-29_2026-07-07,0.05,price_tier,211,37,44,29,0.13744075829383887,0.09754502369668247,0.10645023696682465,39.84368088467615,190.5912714,47.4087286,0.2487455393510744,16,15,-7.888179999999999
pre_choice_2026-05-29_2026-06-30,0.08,per_share,203,32,43,24,0.11822660098522167,0.09682019704433496,0.10764039408866995,40.004022988505746,22.808566550000002,1.19143345,0.05223622656812687,16,14,-1.10517395
pre_choice_2026-05-29_2026-06-30,0.08,price_tier,203,32,43,24,0.11822660098522167,0.09682019704433496,0.10764039408866995,40.004022988505746,186.3237803,11.6762197,0.06266628812060443,15,14,-9.048051599999999
post_choice_2026-07-01_2026-07-07,0.08,per_share,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,1.85681165,3.14318835,1.6927879303213118,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.08,price_tier,16,5,12,5,0.3125,0.10046875,0.1111875,36.041666666666664,15.3311727,24.6688273,1.609063297551922,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.08,per_share,219,37,44,29,0.1324200913242009,0.09708675799086758,0.10789954337899543,39.71453576864536,24.6653782,4.3346218,0.1757370904614793,17,15,-1.10517395
full_2026-05-29_2026-07-07,0.08,price_tier,219,37,44,29,0.1324200913242009,0.09708675799086758,0.10789954337899543,39.71453576864536,201.654953,36.345047,0.18023384230983902,16,15,-9.048051599999999
