slice,rows,dates,cities,wins,win_rate,avg_ask,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,window
all_current_selector,383,44,48,50,0.13054830287206268,0.10471148825065274,334.9409241,65.05907590000001,0.19424045023705722,-0.1511963248472108,0.5692801149878287,22,14,-11.886325,-1.0,train_le_2026_06_20
remove_dist_lt0_keep_eq0,286,44,46,40,0.13986013986013987,0.10470454545454545,250.0931817,69.9068183,0.2795230874540871,-0.07099546377379139,0.6699708958477915,19,15,-10.39389,-1.0,train_le_2026_06_20
remove_dist_le0_hot_only,275,44,46,40,0.14545454545454545,0.1051509090909091,241.4975065,78.50249350000001,0.3250654412036342,-0.020469189604472443,0.7319392603624224,18,15,-10.39389,-1.0,train_le_2026_06_20
dist_lt0_only,97,39,23,10,0.10309278350515463,0.10473195876288659,84.8477424,-4.847742399999999,-0.05713460680127652,-0.6750334785822256,0.6602888576925462,32,32,-7.2595,-1.0,train_le_2026_06_20
dist_eq0_only,11,9,8,0,0.0,0.09354545454545456,8.5956752,-8.5956752,-1.0,-1.0,-1.0,9,9,-1.58156,-1.0,train_le_2026_06_20
dist_gt0_only,275,44,46,40,0.14545454545454545,0.1051509090909091,241.4975065,78.50249350000001,0.3250654412036342,-0.02853850509828808,0.7289803127999311,18,15,-10.39389,-1.0,train_le_2026_06_20
dist_missing_only,0,0,0,0,,,0.0,0.0,,,,0,0,,,train_le_2026_06_20
all_current_selector,93,9,35,15,0.16129032258064516,0.1066989247311828,82.86319320000001,37.1368068,0.4481701146897148,-0.033214596990345145,1.0654575630453684,4,0,-3.434987499999999,-0.30039276387490577,recent_ge_2026_06_21
remove_dist_lt0_keep_eq0,59,9,28,10,0.1694915254237288,0.09918644067796609,48.88667600000001,31.113324,0.6364377074849595,0.1638836871297597,1.3488920988242827,2,1,-4.1979675,-1.0,recent_ge_2026_06_21
remove_dist_le0_hot_only,58,9,28,10,0.1724137931034483,0.099,47.967516,32.032484,0.6677953471678624,0.18221545782920617,1.359140432215051,1,1,-4.1979675,-1.0,recent_ge_2026_06_21
dist_lt0_only,34,9,16,5,0.14705882352941177,0.11973529411764705,33.976517199999996,6.023482800000002,0.177283703463285,-0.6882534337712357,1.096559908166135,5,5,-5.2589075,-1.0,recent_ge_2026_06_21
dist_eq0_only,1,1,1,0,0.0,0.11,0.91916,-0.91916,-1.0,-1.0,-1.0,1,1,-0.91916,-1.0,recent_ge_2026_06_21
dist_gt0_only,58,9,28,10,0.1724137931034483,0.099,47.967516,32.032484,0.6677953471678624,0.1877244418413849,1.349121438659856,1,1,-4.1979675,-1.0,recent_ge_2026_06_21
dist_missing_only,0,0,0,0,,,0.0,0.0,,,,0,0,,,recent_ge_2026_06_21
all_current_selector,476,53,48,65,0.13655462184873948,0.1050997899159664,417.80411730000003,102.1958827,0.2446023829550231,-0.05319365965593244,0.5745524718923617,26,14,-11.886325,-1.0,full
remove_dist_lt0_keep_eq0,345,53,47,50,0.14492753623188406,0.10376086956521739,298.9798577,101.0201423,0.33788276935152206,0.0372768091702985,0.6737566701917806,21,16,-10.39389,-1.0,full
remove_dist_le0_hot_only,333,53,47,50,0.15015015015015015,0.10407957957957958,289.46502250000003,110.5349775,0.38185953019591506,0.05861949243964778,0.731064331220134,19,16,-10.39389,-1.0,full
dist_lt0_only,131,48,23,15,0.11450381679389313,0.10862595419847329,118.8242596,1.175740399999996,0.009894784145576919,-0.5215768487174334,0.5741263395714049,37,37,-7.2595,-1.0,full
dist_eq0_only,12,10,9,0,0.0,0.09491666666666669,9.5148352,-9.5148352,-1.0,-1.0,-1.0,10,10,-1.58156,-1.0,full
dist_gt0_only,333,53,47,50,0.15015015015015015,0.10407957957957958,289.46502250000003,110.5349775,0.38185953019591506,0.07247752135528125,0.7169114871958413,19,16,-10.39389,-1.0,full
dist_missing_only,0,0,0,0,,,0.0,0.0,,,,0,0,,,full
