target_date,city,bracket,blocker,created_at_utc,snapshot_ask,taker_fee_per_share,final_yes,win,per_share_cost,per_share_pnl,forecast_to_bracket_low_native,execution_replayable,note
2026-07-04,Busan,24,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-03T23:47:39Z,0.0685,0.0031903875000000004,0.0,0,0.07169038750000001,-0.07169038750000001,-0.4,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-04,Houston,92-93,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-04T03:42:17Z,0.056,0.0026432,0.0,0,0.0586432,-0.0586432,-187.4,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,Shenzhen,30,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-04T14:20:17Z,0.12,0.00528,0.0,0,0.12528,-0.12528,-1.1,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,Beijing,35+,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-04T14:50:18Z,0.0555,0.0026209875,0.0,0,0.0581209875,-0.0581209875,-0.7,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,London,30,dist_eq0_forecast_boundary_tail_v1,2026-07-04T21:26:46Z,0.105,0.004698750000000001,0.0,0,0.10969875,-0.10969875,0.0,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,NYC,86-87,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-05T02:08:53Z,0.18,0.00738,0.0,0,0.18738,-0.18738,-173.2,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,NYC,88-89,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-05T02:29:01Z,0.057,0.00268755,0.0,0,0.05968755,-0.05968755,-176.6,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,Austin,100-101,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-05T03:24:28Z,0.135,0.005838750000000001,0.0,0,0.14083875,-0.14083875,-199.7,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-05,LA,72-73,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-05T09:23:33Z,0.155,0.00654875,0.0,0,0.16154875,-0.16154875,-145.0,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Lucknow,34,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-05T17:01:26Z,0.075,0.00346875,0.0,0,0.07846875,-0.07846875,-0.6,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Atlanta,86-87,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.175,0.007218749999999999,0.0,0,0.18221874999999998,-0.18221874999999998,-173.0,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,NYC,70-71,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.135,0.005838750000000001,1.0,1,0.14083875,0.85916125,-143.0,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Austin,98-99,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.06,0.00282,1.0,1,0.06282,0.9371799999999999,-196.2,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Chicago,74-75,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.0575,0.0027096875000000003,0.0,0,0.060209687500000005,-0.060209687500000005,-149.5,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Dallas,98-99,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.165,0.00688875,1.0,1,0.17188875,0.82811125,-196.9,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Denver,98-99,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.0675,0.0031471875000000002,0.0,0,0.0706471875,-0.0706471875,-195.8,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
2026-07-06,Seattle,84-85,dist_lt0_cold_or_inside_forecast_tail_v1,2026-07-06T07:23:33Z,0.1,0.004500000000000001,1.0,1,0.10450000000000001,0.8955000000000001,-168.9,0,dist blocker fires before token/book fetch in live runner; snapshot-only diagnostic
