cushion,mode,journal_rows_scanned,settled_fact_matched_rows,fresh_book_replayable_rows_seen_before_dedupe,selected_rows,dates,cities,wins,win_rate,avg_fresh_ask,cost,pnl,roi,active_days,losing_days,max_daily_loss,le_minus_50pct_days_per_share
0.01,price_tier,8451,7827,457,21,6,16,2,0.09523809523809523,0.0909047619047619,15.298695,0.7013049999999996,0.04584083805840953,6,4,-2.9819370000000007,4
0.01,score_tier,8451,7827,457,21,6,16,2,0.09523809523809523,0.0909047619047619,15.22544,0.7745599999999997,0.05087274981872443,6,4,-2.9819370000000007,4
0.02,price_tier,8451,7827,214,23,6,17,2,0.08695652173913043,0.09756521739130436,18.7362629,-2.7362629,-0.14604101760335567,6,5,-4.7946596999999995,4
0.02,score_tier,8451,7827,214,23,6,17,2,0.08695652173913043,0.09756521739130436,18.6630079,-2.6630079,-0.14268910532905044,6,5,-4.7946596999999995,4
0.03,price_tier,8451,7827,123,24,6,17,3,0.125,0.10179166666666667,20.5423629,3.4576370999999995,0.16831739935818188,6,4,-4.8981097,4
0.03,score_tier,8451,7827,123,24,6,17,3,0.125,0.10179166666666667,20.4691079,3.5308920999999995,0.17249858260798945,6,4,-4.8981097,4
0.05,price_tier,8451,7827,76,25,6,17,4,0.16,0.10576,22.7135797,11.2864203,0.49690187319967005,6,3,-4.8981097,3
0.05,score_tier,8451,7827,76,25,6,17,4,0.16,0.10576,22.6403247,11.3596753,0.5017452466130046,6,3,-4.8981097,3
0.08,price_tier,8451,7827,64,26,6,18,4,0.15384615384615385,0.10546153846153847,23.533034100000002,10.4669659,0.4447775775755154,6,3,-4.8981097,3
0.08,score_tier,8451,7827,64,26,6,18,4,0.15384615384615385,0.10546153846153847,23.4597791,10.5402209,0.44928900886368534,6,3,-4.8981097,3
