cushion,created_at_utc,target_date,city,bracket,condition_id,original_status,original_blocker,snapshot_ask,fresh_best_ask,fresh_best_bid,fresh_best_ask_size,max_taker_price,model_p_yes,fee_adjusted_edge,taker_fee_per_share,final_yes,win,per_share_cost,per_share_pnl,price_tier_shares,price_tier_cost,price_tier_pnl,score_tier,score_tier_multiplier,score_tier_shares,score_tier_cost,score_tier_pnl,forecast_to_bracket_low_native,forecast_source,model_version
0.01,2026-07-02T04:10:31Z,2026-07-02,NYC,104-105,0xcfdf756c85f1f1eb9b77f4e404d798f44caf1eceb4694225ae49340681ff98c8,planned,,0.065,0.068,0.045,31.03,0.075,0.5048,0.4336312,0.0031688,0.0,0,0.0711688,-0.0711688,6.0,0.4270128,-0.4270128,,nan,6.0,0.4270128,-0.4270128,nan,open_meteo_live_gfs,gfs
0.01,2026-07-02T06:37:16Z,2026-07-02,Chicago,98-99,0xbfbeaba9bdaa3c74d80af1e02d4a8b0d3bbb69d74d181fd8ea94e6b4fae7a2c8,planned,,0.05,0.06,0.04,179.99,0.060000000000000005,0.3687,0.30588000000000004,0.00282,0.0,0,0.06282,-0.06282,6.0,0.37692000000000003,-0.37692000000000003,,nan,6.0,0.37692000000000003,-0.37692000000000003,nan,open_meteo_live_gfs,gfs
0.01,2026-07-02T23:13:03Z,2026-07-03,TelAviv,32,0x86002c932af637d842a00897e4dc463822c70093a2854849fcea2eb2e6589b71,planned,,0.135,0.11,0.09,165.89,0.14500000000000002,0.4079,0.293005,0.004895000000000001,0.0,0,0.114895,-0.114895,8.0,0.91916,-0.91916,,nan,8.0,0.91916,-0.91916,0.8,open_meteo_live_gfs,gfs
0.01,2026-07-02T23:13:03Z,2026-07-03,London,28,0x0c72f4da72471bd307462ba3869451794939b38abeec24ba93dded5d809057c2,planned,,0.07,0.06,0.04,37.03,0.08,0.302,0.23918,0.00282,0.0,0,0.06282,-0.06282,6.0,0.37692000000000003,-0.37692000000000003,,nan,6.0,0.37692000000000003,-0.37692000000000003,1.1,open_meteo_live_gfs,gfs
0.01,2026-07-02T23:43:06Z,2026-07-03,Ankara,30,0x248c206ea6293556fb642a77e66a4373788bf6bc0e283f340ee8e2b773b8f508,planned,,0.071,0.076,0.035,11.95,0.08099999999999999,0.3314,0.25188879999999997,0.0035112000000000003,0.0,0,0.0795112,-0.0795112,6.0,0.4770672,-0.4770672,,nan,6.0,0.4770672,-0.4770672,0.3,open_meteo_live_gfs,gfs
0.01,2026-07-03T03:52:58Z,2026-07-03,Dallas,98-99,0x7dba8cd616d3efc37d0a7ccbef9d527c0cc084aa31213699daf4f83d035723a2,planned,,0.11,0.12,0.11,54.09,0.12,0.339,0.21372000000000002,0.00528,0.0,0,0.12528,-0.12528,8.0,1.00224,-1.00224,,nan,8.0,1.00224,-1.00224,-194.1,open_meteo_live_gfs,gfs
0.01,2026-07-03T05:03:48Z,2026-07-03,Houston,96-97,0xb9b602ec857ac7cac28182bf7a4f6e720e775df11685118e0af038dc2f210bbe,planned,,0.115,0.11,0.09,19.9,0.125,0.3164,0.20150500000000002,0.004895000000000001,1.0,1,0.114895,0.885105,8.0,0.91916,7.08084,,nan,8.0,0.91916,7.08084,-193.0,open_meteo_live_gfs,gfs
0.01,2026-07-03T06:39:42Z,2026-07-03,Chicago,94-95,0x5a3602e8dccdd14a679178d988636b8eb4d10a06b62bafabbe4b7c4f144295fd,planned,,0.0815,0.06,0.059,15.96,0.0915,0.5333,0.47048,0.00282,0.0,0,0.06282,-0.06282,6.0,0.37692000000000003,-0.37692000000000003,,nan,6.0,0.37692000000000003,-0.37692000000000003,-189.0,open_meteo_live_gfs,gfs
0.01,2026-07-03T07:25:19Z,2026-07-03,NYC,104-105,0x1070d39c0918fad2caa302da00a129f93320ca877ee3a41028010d5d9805b35b,planned,,0.096,0.085,0.064,18.0,0.106,0.5252,0.43631125,0.0038887500000000003,0.0,0,0.08888875,-0.08888875,8.0,0.71111,-0.71111,,nan,8.0,0.71111,-0.71111,-209.6,open_meteo_live_gfs,gfs
0.01,2026-07-03T09:51:39Z,2026-07-03,LA,70-71,0x0f0b4c12c95dc27b62358c0ebe94adff8bc590821922155ab99a1cc60da076a0,planned,,0.18,0.17,0.14,5.0,0.19,0.6204,0.44334499999999993,0.0070550000000000005,0.0,0,0.17705500000000002,-0.17705500000000002,10.0,1.77055,-1.77055,,nan,10.0,1.77055,-1.77055,-141.4,open_meteo_live_gfs,gfs
0.01,2026-07-03T15:24:27Z,2026-07-04,Manila,36+,0xd8262bb5da03f5e34becb83baeaeceea3c417c10b9dc919350465a5f714390c0,planned,,0.091,0.08,0.055,6.6,0.10099999999999999,0.4023,0.31861999999999996,0.00368,0.0,0,0.08368,-0.08368,6.0,0.5020800000000001,-0.5020800000000001,,nan,6.0,0.5020800000000001,-0.5020800000000001,2.2,open_meteo_live_gfs,gfs
0.01,2026-07-03T16:25:36Z,2026-07-04,Busan,24,0x8a838c1937a0b1b060ac961fbf1f47bd34f00b56657a2d05a553b8c47bd514ed,planned,,0.0685,0.067,0.047,8.94,0.0785,0.3059,0.23577445,0.003125550000000001,0.0,0,0.07012555000000001,-0.07012555000000001,6.0,0.42075330000000005,-0.42075330000000005,,nan,6.0,0.42075330000000005,-0.42075330000000005,-0.4,open_meteo_live_gfs,gfs
0.01,2026-07-03T19:46:32Z,2026-07-04,Helsinki,21,0xa68d70ebc97a6eaa0104e3f5426e159b804a346aaeca0e7dfd9667cc53183291,planned,,0.154,0.156,0.15,19.99,0.164,0.3598,0.1972168,0.0065832,0.0,0,0.1625832,-0.1625832,10.0,1.6258320000000002,-1.6258320000000002,,nan,10.0,1.6258320000000002,-1.6258320000000002,0.6,open_meteo_live_gfs,gfs
0.01,2026-07-03T20:21:56Z,2026-07-04,Paris,32,0x57b69dd03c87a16976d7de87ee10bfa715f33bb054ef5b2456ab6bf53913eb71,planned,,0.0775,0.069,0.06,10.0,0.0875,0.3709,0.29868805,0.0032119500000000003,0.0,0,0.07221195000000001,-0.07221195000000001,6.0,0.43327170000000004,-0.43327170000000004,,nan,6.0,0.43327170000000004,-0.43327170000000004,0.4,open_meteo_live_gfs,gfs
0.01,2026-07-04T10:19:40Z,2026-07-05,Wellington,15,0xc08c10bba937fc948034e404a386407f31c2e1cfaf7c2c35290d4d8adfc3a4d8,planned,,0.14,0.15,0.11,53.73,0.15000000000000002,0.3428,0.186425,0.006375,0.0,0,0.156375,-0.156375,10.0,1.5637499999999998,-1.5637499999999998,,nan,10.0,1.5637499999999998,-1.5637499999999998,1.6,open_meteo_live_gfs,gfs
0.01,2026-07-04T15:00:19Z,2026-07-05,Shanghai,28,0x842f39b70701af7f0f400bf530e83a6559b4ef8d11e4212f29b57e6fdafa68e4,planned,,0.0545,0.056,0.053,60.71,0.0645,0.4022,0.3435568,0.0026432,0.0,0,0.0586432,-0.0586432,6.0,0.3518592,-0.3518592,,nan,6.0,0.3518592,-0.3518592,1.2,open_meteo_live_gfs,gfs
0.01,2026-07-04T19:11:19Z,2026-07-05,Helsinki,17,0x0dbfb490ffbabee5f9d9d443f359c19aa4ca620aa0f14f7c56798fa22663e536,planned,,0.09,0.1,0.072,30.0,0.09999999999999999,0.3286,0.2241,0.004500000000000001,1.0,1,0.10450000000000001,0.8955,8.0,0.8360000000000001,7.164,,nan,8.0,0.8360000000000001,7.164,0.8,open_meteo_live_gfs,gfs
0.01,2026-07-06T01:48:56Z,2026-07-06,Helsinki,18,0x70e063a9a44767da9ff6385a4c5f20b199ffba7e2f1474ce2bbabd0ade8d1d84,planned,,0.11,0.12,0.09,20.57,0.12,0.4079,0.28262,0.00528,0.0,0,0.12528,-0.12528,8.0,1.00224,-1.00224,,nan,8.0,1.00224,-1.00224,0.2,open_meteo_live_ecmwf,ecmwf
0.01,2026-07-06T01:48:56Z,2026-07-06,Istanbul,25,0x562bce94c62a892be92247e6936c2dca16e10adb95dde807cc9d578c6480db80,planned,,0.052,0.052,0.023,43.84,0.062,0.4448,0.3903352,0.0024647999999999996,0.0,0,0.054464799999999994,-0.054464799999999994,6.0,0.3267888,-0.3267888,,nan,6.0,0.3267888,-0.3267888,0.4,open_meteo_live_ecmwf,ecmwf
0.01,2026-07-06T01:48:58Z,2026-07-06,Munich,24,0x814450574966786a13e9474ae2b497cb0769934ec78f58ec945b3cbc7a1c63d5,planned,,0.085,0.07,0.05,78.52,0.095,0.3966,0.323345,0.003255,0.0,0,0.073255,-0.073255,6.0,0.43953,-0.43953,,nan,6.0,0.43953,-0.43953,1.1,open_meteo_live_ecmwf,ecmwf
0.01,2026-07-06T17:04:34Z,2026-07-07,Busan,32,0xbc17a397f8ccf558a291e1f78410329caa97f647498280307146cacde8d5f94a,planned,,0.0625,0.07,0.069,35.0,0.0725,0.3711,0.29784499999999997,0.003255,0.0,0,0.073255,-0.073255,6.0,0.43953,-0.43953,low,0.8,5.0,0.366275,-0.366275,0.3,open_meteo_live_ecmwf,ecmwf
0.02,2026-07-02T03:43:25Z,2026-07-02,Chicago,98-99,0xbfbeaba9bdaa3c74d80af1e02d4a8b0d3bbb69d74d181fd8ea94e6b4fae7a2c8,blocked,fresh_ask_exceeds_cushion_or_band,0.05,0.07,0.04,60.0,0.07,0.3687,0.295445,0.003255,0.0,0,0.073255,-0.073255,6.0,0.43953,-0.43953,,nan,6.0,0.43953,-0.43953,nan,open_meteo_live_gfs,gfs
0.02,2026-07-02T04:10:31Z,2026-07-02,NYC,104-105,0xcfdf756c85f1f1eb9b77f4e404d798f44caf1eceb4694225ae49340681ff98c8,planned,,0.065,0.068,0.045,31.03,0.085,0.5048,0.4336312,0.0031688,0.0,0,0.0711688,-0.0711688,6.0,0.4270128,-0.4270128,,nan,6.0,0.4270128,-0.4270128,nan,open_meteo_live_gfs,gfs
0.02,2026-07-02T23:13:02Z,2026-07-03,Ankara,30,0x248c206ea6293556fb642a77e66a4373788bf6bc0e283f340ee8e2b773b8f508,blocked,fresh_ask_exceeds_cushion_or_band,0.071,0.087,0.032,7.8,0.091,0.3314,0.24042845,0.00397155,0.0,0,0.09097155,-0.09097155,8.0,0.7277724,-0.7277724,,nan,8.0,0.7277724,-0.7277724,0.3,open_meteo_live_gfs,gfs
0.02,2026-07-02T23:13:03Z,2026-07-03,TelAviv,32,0x86002c932af637d842a00897e4dc463822c70093a2854849fcea2eb2e6589b71,planned,,0.135,0.11,0.09,165.89,0.155,0.4079,0.293005,0.004895000000000001,0.0,0,0.114895,-0.114895,8.0,0.91916,-0.91916,,nan,8.0,0.91916,-0.91916,0.8,open_meteo_live_gfs,gfs
0.02,2026-07-02T23:13:03Z,2026-07-03,London,28,0x0c72f4da72471bd307462ba3869451794939b38abeec24ba93dded5d809057c2,planned,,0.07,0.06,0.04,37.03,0.09000000000000001,0.302,0.23918,0.00282,0.0,0,0.06282,-0.06282,6.0,0.37692000000000003,-0.37692000000000003,,nan,6.0,0.37692000000000003,-0.37692000000000003,1.1,open_meteo_live_gfs,gfs
0.02,2026-07-03T02:17:19Z,2026-07-03,Atlanta,98-99,0x6b677021c0afa30bb08a182dea564fa6d1b7ca5633cfae729a9dd7dd88069e78,blocked,fresh_ask_exceeds_cushion_or_band,0.085,0.1,0.07,16.71,0.10500000000000001,0.5876,0.48310000000000003,0.004500000000000001,0.0,0,0.10450000000000001,-0.10450000000000001,8.0,0.8360000000000001,-0.8360000000000001,,nan,8.0,0.8360000000000001,-0.8360000000000001,-196.4,open_meteo_live_gfs,gfs
0.02,2026-07-03T03:17:38Z,2026-07-03,Dallas,98-99,0x7dba8cd616d3efc37d0a7ccbef9d527c0cc084aa31213699daf4f83d035723a2,blocked,fresh_ask_exceeds_cushion_or_band,0.105,0.12,0.1,26.07,0.125,0.339,0.21372000000000002,0.00528,0.0,0,0.12528,-0.12528,8.0,1.00224,-1.00224,,nan,8.0,1.00224,-1.00224,-194.1,open_meteo_live_gfs,gfs
0.02,2026-07-03T03:17:38Z,2026-07-03,Houston,96-97,0xb9b602ec857ac7cac28182bf7a4f6e720e775df11685118e0af038dc2f210bbe,blocked,fresh_ask_exceeds_cushion_or_band,0.115,0.13,0.1,43.44,0.135,0.3164,0.18074500000000002,0.005655,1.0,1,0.135655,0.864345,8.0,1.08524,6.91476,,nan,8.0,1.08524,6.91476,-193.0,open_meteo_live_gfs,gfs
0.02,2026-07-03T06:39:42Z,2026-07-03,Chicago,94-95,0x5a3602e8dccdd14a679178d988636b8eb4d10a06b62bafabbe4b7c4f144295fd,planned,,0.0815,0.06,0.059,15.96,0.1015,0.5333,0.47048,0.00282,0.0,0,0.06282,-0.06282,6.0,0.37692000000000003,-0.37692000000000003,,nan,6.0,0.37692000000000003,-0.37692000000000003,-189.0,open_meteo_live_gfs,gfs
