row_id,candidate_id,target_date,city,selected_bracket,expression,expression_bracket,entry,shares,cost,pnl,payoff,win,book_state_v1,raw_dist_band,adj_dist_band
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,selected_yes,28,0.08,8.0,0.66944,-0.66944,0.0,False,missing,>1,0..0.5
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,next_hotter_yes,29,0.0305,8.0,0.2558279,-0.2558279,0.0,False,missing,>1,0..0.5
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,two_hotter_yes,30,0.005,8.0,0.04199,-0.04199,0.0,False,missing,>1,0..0.5
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,selected_plus_next_basket,28+29,0.05782924375,8.0,0.46263395,-0.46263395,0.0,False,missing,>1,0..0.5
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,selected_yes,15,0.125,8.0,1.04375,-1.04375,0.0,False,missing,0.5..1,-0.5..0
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,next_hotter_yes,16,0.0275,8.0,0.2306975,-0.2306975,0.0,False,missing,0.5..1,-0.5..0
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,two_hotter_yes,17,0.008,8.0,0.0671744,-0.0671744,0.0,False,missing,0.5..1,-0.5..0
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,higher_plus_yes,19+,0.002,8.0,0.0167984,-0.0167984,0.0,False,missing,0.5..1,-0.5..0
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,selected_plus_next_basket,15+16,0.07965296875,8.0,0.63722375,-0.63722375,0.0,False,missing,0.5..1,-0.5..0
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,selected_yes,62-63,0.155,8.0,1.29239,-1.29239,0.0,False,missing,0.5..1,0..0.5
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,next_hotter_yes,64-65,0.029,8.0,0.24326360000000002,-0.24326360000000002,0.0,False,missing,0.5..1,0..0.5
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,two_hotter_yes,66-67,0.0085,8.0,0.0713711,-0.0713711,0.0,False,missing,0.5..1,0..0.5
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,selected_plus_next_basket,62-63+64-65,0.09597834999999999,8.0,0.7678267999999999,-0.7678267999999999,0.0,False,missing,0.5..1,0..0.5
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,selected_yes,17,0.075,8.0,0.62775,-0.62775,0.0,False,missing,0.25..0.5,-0.5..0
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,next_hotter_yes,18,0.0125,8.0,0.1049375,-0.1049375,0.0,False,missing,0.25..0.5,-0.5..0
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,two_hotter_yes,19,0.0075,8.0,0.06297749999999999,-0.06297749999999999,0.0,False,missing,0.25..0.5,-0.5..0
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,higher_plus_yes,20+,0.0015,8.0,0.0125991,-0.0125991,0.0,False,missing,0.25..0.5,-0.5..0
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,selected_plus_next_basket,17+18,0.04579296875,8.0,0.36634375,-0.36634375,0.0,False,missing,0.25..0.5,-0.5..0
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,selected_yes,30,0.075,8.0,0.62775,7.37225,1.0,True,missing,0.5..1,-0.5..0
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,next_hotter_yes,31,0.018,8.0,0.1510704,-0.1510704,0.0,False,missing,0.5..1,-0.5..0
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,two_hotter_yes,32,0.003,8.0,0.0251964,-0.0251964,0.0,False,missing,0.5..1,-0.5..0
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,higher_plus_yes,33+,0.0015,8.0,0.0125991,-0.0125991,0.0,False,missing,0.5..1,-0.5..0
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,selected_plus_next_basket,30+31,0.048676275000000005,8.0,0.38941020000000004,3.6105898,1.0,True,missing,0.5..1,-0.5..0
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,selected_yes,20,0.06,8.0,0.50256,-0.50256,0.0,False,missing,>1,0.5..1
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,next_hotter_yes,21,0.009,8.0,0.0755676,-0.0755676,0.0,False,missing,>1,0.5..1
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,two_hotter_yes,22,0.004,8.0,0.0335936,-0.0335936,0.0,False,missing,>1,0.5..1
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,higher_plus_yes,23+,0.003,8.0,0.0251964,-0.0251964,0.0,False,missing,>1,0.5..1
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,selected_plus_next_basket,20+21,0.036132975,8.0,0.2890638,-0.2890638,0.0,False,missing,>1,0.5..1
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,selected_yes,19,0.0655,8.0,0.5484839,7.4515161,1.0,True,missing,0..0.25,<-0.5
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,next_hotter_yes,20,0.23,8.0,1.91084,-1.91084,0.0,False,missing,0..0.25,<-0.5
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,two_hotter_yes,21,0.4,8.0,3.2960000000000003,-3.2960000000000003,0.0,False,missing,0..0.25,<-0.5
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,higher_plus_yes,27+,0.004,8.0,0.0335936,-0.0335936,0.0,False,missing,0..0.25,<-0.5
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,selected_plus_next_basket,19+20,0.15370774375000001,8.0,1.2296619500000001,2.77033805,1.0,True,missing,0..0.25,<-0.5
