period,selector,sizing,target_date,rows,wins,cost,pnl,roi
historical,base_edge20_ask01_25,fixed5,2026-05-06,6,0,30.0,-30.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-05-07,8,2,40.0,131.9298245614035,3.2982456140350878
historical,base_edge20_ask01_25,fixed5,2026-05-08,8,1,40.0,36.33587786259541,0.9083969465648852
historical,base_edge20_ask01_25,fixed5,2026-05-09,6,1,30.0,1.25,0.041666666666666664
historical,base_edge20_ask01_25,fixed5,2026-05-10,4,0,20.0,-20.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-05-11,7,1,35.0,78.63636363636364,2.2467532467532467
historical,base_edge20_ask01_25,fixed5,2026-05-12,4,1,20.0,5.641025641025639,0.28205128205128194
historical,base_edge20_ask01_25,fixed5,2026-05-13,10,3,50.0,85.03171679967261,1.7006343359934522
historical,base_edge20_ask01_25,fixed5,2026-05-14,17,4,85.0,72.09260854690444,0.8481483358459346
historical,base_edge20_ask01_25,fixed5,2026-05-15,9,1,45.0,7.631578947368418,0.16959064327485374
historical,base_edge20_ask01_25,fixed5,2026-05-16,22,2,110.0,75.42568542568542,0.6856880493244129
historical,base_edge20_ask01_25,fixed5,2026-05-17,7,0,35.0,-35.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-05-20,11,1,55.0,-17.962962962962962,-0.32659932659932656
historical,base_edge20_ask01_25,fixed5,2026-05-21,10,0,50.0,-50.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-05-22,17,2,85.0,25.383064516129025,0.29862428842504735
historical,base_edge20_ask01_25,fixed5,2026-05-23,15,3,75.0,218.8347352795646,2.9177964703941948
historical,base_edge20_ask01_25,fixed5,2026-05-24,11,2,55.0,56.47186147186146,1.0267611176702083
historical,base_edge20_ask01_25,fixed5,2026-05-25,9,0,45.0,-45.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-05-26,10,3,50.0,23.99719495091164,0.4799438990182328
historical,base_edge20_ask01_25,fixed5,2026-05-27,10,1,50.0,-18.75,-0.375
historical,base_edge20_ask01_25,fixed5,2026-05-28,19,1,95.0,-18.07692307692308,-0.19028340080971665
historical,base_edge20_ask01_25,fixed5,2026-05-29,16,1,80.0,64.92753623188403,0.8115942028985504
historical,base_edge20_ask01_25,fixed5,2026-05-30,11,2,55.0,-11.501182033096928,-0.20911240060176234
historical,base_edge20_ask01_25,fixed5,2026-05-31,9,2,45.0,289.2782896291047,6.4284064362023265
historical,base_edge20_ask01_25,fixed5,2026-06-01,12,2,60.0,-11.19047619047619,-0.18650793650793648
historical,base_edge20_ask01_25,fixed5,2026-06-02,12,1,60.0,-28.75,-0.4791666666666667
historical,base_edge20_ask01_25,fixed5,2026-06-03,8,1,40.0,-4.285714285714292,-0.10714285714285729
historical,base_edge20_ask01_25,fixed5,2026-06-04,16,3,80.0,210.03181336161188,2.6253976670201484
historical,base_edge20_ask01_25,fixed5,2026-06-05,13,1,65.0,13.125,0.20192307692307693
historical,base_edge20_ask01_25,fixed5,2026-06-06,13,0,65.0,-65.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-06-07,14,1,70.0,41.111111111111114,0.5873015873015873
historical,base_edge20_ask01_25,fixed5,2026-06-08,16,0,80.0,-80.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-06-09,13,0,65.0,-65.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-06-10,9,0,45.0,-45.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-06-11,20,3,100.0,286.870709382151,2.8687070938215102
historical,base_edge20_ask01_25,fixed5,2026-06-12,17,4,85.0,34.11850477200424,0.40139417378828524
historical,base_edge20_ask01_25,fixed5,2026-06-13,18,3,90.0,136.14942528735634,1.5127713920817372
historical,base_edge20_ask01_25,fixed5,2026-06-14,21,1,105.0,-67.96296296296296,-0.6472663139329806
historical,base_edge20_ask01_25,fixed5,2026-06-15,20,4,100.0,207.2362278244631,2.072362278244631
historical,base_edge20_ask01_25,fixed5,2026-06-16,24,5,120.0,124.96733256903174,1.0413944380752644
historical,base_edge20_ask01_25,fixed5,2026-06-17,21,1,105.0,61.666666666666686,0.5873015873015874
historical,base_edge20_ask01_25,fixed5,2026-06-18,14,1,70.0,-32.96296296296296,-0.4708994708994709
historical,base_edge20_ask01_25,fixed5,2026-06-19,16,0,80.0,-80.0,-1.0
historical,base_edge20_ask01_25,fixed5,2026-06-20,14,2,70.0,26.360628618693134,0.3765804088384733
historical,base_edge20_ask01_25,fixed5,2026-06-21,19,1,95.0,-64.6969696969697,-0.6810207336523126
historical,base_edge20_ask01_25,fixed5,2026-06-22,17,1,85.0,-58.47480106100796,-0.6879388360118583
historical,base_edge20_ask01_25,fixed5,2026-06-23,24,4,120.0,83.1882987308636,0.6932358227571966
historical,base_edge20_ask01_25,fixed5,2026-06-24,17,4,85.0,119.93197278911566,1.410964385754302
historical,base_edge20_ask01_25,fixed5,2026-06-25,17,2,85.0,58.21357285429142,0.6848655629916638
historical,base_edge20_ask01_25,fixed5,2026-06-26,13,1,65.0,-40.0,-0.6153846153846154
historical_recent,base_edge20_ask01_25,fixed5,2026-06-08,16,0,80.0,-80.0,-1.0
historical_recent,base_edge20_ask01_25,fixed5,2026-06-09,13,0,65.0,-65.0,-1.0
historical_recent,base_edge20_ask01_25,fixed5,2026-06-10,9,0,45.0,-45.0,-1.0
historical_recent,base_edge20_ask01_25,fixed5,2026-06-11,20,3,100.0,286.870709382151,2.8687070938215102
