selector,sizing,period,rows,dates,cities,avg_ask,avg_cost,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,roi_le_minus_50_days,max_daily_loss,top_trade_removed_roi
base_edge20_ask01_25,fixed5,historical,674,50,48,0.08737240356083086,5.0,0.11869436201780416,3370.0,1686.2236722347575,0.5003631074880586,0.1387170616457469,0.8633244784073546,22,14,-80.0,0.4097247168602547
base_edge20_ask01_25,fixed5,historical_recent,330,19,47,0.08868939393939394,5.0,0.11212121212121212,1650.0,604.6056428107335,0.36642766230953544,-0.14604364717161458,0.8928748331642998,9,8,-80.0,0.18061133301564322
base_edge20_ask01_25,fixed5,forward,32,3,23,0.058187499999999996,5.0,0.09375,160.0,51.66690373461031,0.32291814834131444,-0.6428571428571428,8.661835748792269,2,1,-51.42857142857143,-0.569423435466282
base_edge20_ask01_25,payout25_cap5,historical,674,50,48,0.08737240356083086,2.136461424332344,0.11869436201780416,1439.975,518.4940160713503,0.36007154018045473,0.09579832624481913,0.6325620769991518,20,10,-40.1125,0.3430832128033274
base_edge20_ask01_25,payout25_cap5,historical_recent,330,19,47,0.08868939393939394,2.1619318181818183,0.11212121212121212,713.4375,193.57807377823838,0.27133150945701395,-0.13754828753433132,0.6746371858233589,9,4,-40.1125,0.23698343183666812
base_edge20_ask01_25,payout25_cap5,forward,32,3,23,0.058187499999999996,1.4546875,0.09375,46.55,28.450000000000003,0.611170784103115,0.06837606837606837,3.62962962962963,0,0,1.5999999999999996,0.09439124487004104
base_edge20_ask01_25,payout50_cap5,historical,674,50,48,0.08737240356083086,3.3126854599406528,0.11869436201780416,2232.75,865.5770156261359,0.38767305592929613,0.11001346748841948,0.6775024019099979,20,13,-58.975,0.3657685053993752
base_edge20_ask01_25,payout50_cap5,historical_recent,330,19,47,0.08868939393939394,3.3543939393939395,0.11212121212121212,1106.95,365.56508191426144,0.33024534253061244,-0.11808229693802313,0.7777018007855911,10,7,-58.975,0.2860055886762751
base_edge20_ask01_25,payout50_cap5,forward,32,3,23,0.058187499999999996,2.5484375,0.09375,81.55,35.189367502726284,0.43150665239394587,-0.28212491026561376,4.847953216374268,1,0,-11.228571428571428,-0.16392900090540216
base_edge20_ask01_25,ask_scaled_05_20,historical,674,50,48,0.08737240356083086,2.0417161226508407,0.11869436201780416,1376.1166666666666,559.0278431399419,0.4062357913984584,0.12654496274427457,0.707534788324574,21,11,-36.916666666666664,0.3506906195557932
base_edge20_ask01_25,ask_scaled_05_20,historical_recent,330,19,47,0.08868939393939394,2.051262626262626,0.11212121212121212,676.9166666666666,175.71820251841882,0.25958616646818,-0.13936661630138433,0.6686076319271952,10,5,-36.916666666666664,0.14628989025912978
base_edge20_ask01_25,ask_scaled_05_20,forward,32,3,23,0.058187499999999996,1.5583333333333333,0.09375,49.86666666666667,30.78542822372891,0.6173548440587349,-0.06933457422056791,5.393861892583119,1,0,-1.773809523809529,-0.0863172266213665
no_dust_edge20_ask05_20,fixed5,historical,457,50,48,0.10532713347921226,5.0,0.13566739606126915,2285.0,553.9068483008523,0.2424099992563905,-0.09123413756401064,0.6064954265533586,26,18,-65.0,0.20858487498575407
no_dust_edge20_ask05_20,fixed5,historical_recent,226,19,43,0.10450884955752213,5.0,0.12831858407079647,1130.0,226.70505147833796,0.20062393936136103,-0.27891865207047906,0.7002559815963078,11,8,-65.0,0.13188597168444863
no_dust_edge20_ask05_20,fixed5,forward,19,3,17,0.0996315789473684,5.0,0.15789473684210525,95.0,62.64845841181719,0.6594574569664967,-0.48051948051948046,8.09090909090909,1,0,-26.428571428571427,-0.2584514721919302
no_dust_edge20_ask05_20,payout25_cap5,historical,457,50,48,0.10532713347921226,2.633178336980306,0.13566739606126915,1203.3624999999997,346.63750000000005,0.2880574224308969,-0.029136726797619226,0.6454907394268504,24,14,-35.6,0.2688639507431175
no_dust_edge20_ask05_20,payout25_cap5,historical_recent,226,19,43,0.10450884955752213,2.6127212389380525,0.12831858407079647,590.4749999999999,134.52499999999998,0.2278250560989034,-0.1831707359339286,0.6606999502435553,10,4,-35.6,0.18850545439110294
no_dust_edge20_ask05_20,payout25_cap5,forward,19,3,17,0.0996315789473684,2.4907894736842104,0.15789473684210525,47.324999999999996,27.675000000000004,0.584786053882726,-0.15074309978768577,4.0,1,0,-4.4375,0.08813928182807408
no_dust_edge20_ask05_20,payout50_cap5,historical,457,50,48,0.10532713347921226,4.268763676148796,0.13566739606126915,1950.825,509.85405652110467,0.2613530462861121,-0.0658366236434575,0.6235991670271357,26,15,-53.9,0.23762609912138136
no_dust_edge20_ask05_20,payout50_cap5,historical_recent,226,19,43,0.10450884955752213,4.258185840707964,0.12831858407079647,962.3499999999999,219.17840999578556,0.2277533225913499,-0.23491161556713416,0.7137664256938714,11,5,-53.9,0.17947402928627249
no_dust_edge20_ask05_20,payout50_cap5,forward,19,3,17,0.0996315789473684,4.097368421052631,0.15789473684210525,77.85,38.88936750272628,0.4995422929059253,-0.3872079662964381,5.451612903225806,1,0,-18.053571428571427,-0.11132666441110138
no_dust_edge20_ask05_20,ask_scaled_05_20,historical,457,50,48,0.10532713347921226,2.1285922684172136,0.13566739606126915,972.7666666666667,288.01617081996835,0.2960793998080749,-0.019600907001317107,0.6541871279601656,23,15,-30.366666666666667,0.27694296574928706
no_dust_edge20_ask05_20,ask_scaled_05_20,historical_recent,226,19,43,0.10450884955752213,2.1038348082595872,0.12831858407079647,475.4666666666667,100.58118160011311,0.2115420252386002,-0.1729384033524157,0.6130778086283636,9,4,-30.366666666666667,0.17127925804190103
no_dust_edge20_ask05_20,ask_scaled_05_20,forward,19,3,17,0.0996315789473684,2.019298245614035,0.15789473684210525,38.36666666666667,28.78081689303063,0.7501516131980182,-0.011369253583786692,4.145797598627787,1,0,-0.2738095238095295,0.19677263131812928
no_dust_edge20_ask05_25,fixed5,historical,513,50,48,0.11895808966861597,5.0,0.15009746588693956,2565.0,603.6524601168833,0.23534208971418452,-0.06457028323130082,0.5565180864653988,24,18,-75.0,0.20520278389982421
no_dust_edge20_ask05_25,fixed5,historical_recent,255,19,44,0.11903529411764706,5.0,0.1411764705882353,1275.0,234.99722100125717,0.18431154588333895,-0.2620033603423853,0.6415201015307606,11,9,-75.0,0.12335739186450688
no_dust_edge20_ask05_25,fixed5,forward,19,3,17,0.0996315789473684,5.0,0.15789473684210525,95.0,62.64845841181719,0.6594574569664967,-0.48051948051948046,8.09090909090909,1,0,-26.428571428571427,-0.2584514721919302
no_dust_edge20_ask05_25,payout25_cap5,historical,513,50,48,0.11895808966861597,2.9047027290448346,0.15009746588693956,1490.1125000000002,389.63311181603115,0.261478990221229,-0.019469264207995853,0.5607066597249097,22,14,-45.6,0.245955956849772
no_dust_edge20_ask05_25,payout25_cap5,historical_recent,255,19,44,0.11903529411764706,2.8969607843137255,0.1411764705882353,738.725,139.5671695229192,0.18892980408530805,-0.2180074287463223,0.5971911344346135,9,4,-45.6,0.15743791857698686
no_dust_edge20_ask05_25,payout25_cap5,forward,19,3,17,0.0996315789473684,2.4907894736842104,0.15789473684210525,47.324999999999996,27.675000000000004,0.584786053882726,-0.15074309978768577,4.0,1,0,-4.4375,0.08813928182807408
no_dust_edge20_ask05_25,payout50_cap5,historical,513,50,48,0.11895808966861597,4.355409356725146,0.15009746588693956,2234.325,556.0996683371358,0.24888933719899112,-0.04810928563483818,0.5620172879313434,23,15,-63.9,0.22816024933039145
no_dust_edge20_ask05_25,payout50_cap5,historical_recent,255,19,44,0.11903529411764706,4.348431372549019,0.1411764705882353,1108.85,225.9705795187047,0.2037882306161381,-0.23396807373033388,0.6418319901921123,11,6,-63.9,0.16183983317692696
no_dust_edge20_ask05_25,payout50_cap5,forward,19,3,17,0.0996315789473684,4.097368421052631,0.15789473684210525,77.85,38.88936750272628,0.4995422929059253,-0.3872079662964381,5.451612903225806,1,0,-18.053571428571427,-0.11132666441110138
no_dust_edge20_ask05_25,ask_scaled_05_20,historical,513,50,48,0.11895808966861597,2.456660168940871,0.15009746588693956,1260.2666666666669,330.26178263599945,0.2620570640890812,-0.018760485514914445,0.5557296430858765,25,15,-40.36666666666667,0.24716802483084552
no_dust_edge20_ask05_25,ask_scaled_05_20,historical_recent,255,19,44,0.11903529411764706,2.447908496732026,0.1411764705882353,624.2166666666667,105.12335112303232,0.1684084337004229,-0.22649074022004706,0.5751300151023067,10,4,-40.36666666666667,0.13746941209005828
no_dust_edge20_ask05_25,ask_scaled_05_20,forward,19,3,17,0.0996315789473684,2.019298245614035,0.15789473684210525,38.36666666666667,28.78081689303063,0.7501516131980182,-0.011369253583786692,4.145797598627787,1,0,-0.2738095238095295,0.19677263131812928
ask10_edge20_ask10_25,fixed5,historical,286,50,44,0.1597692307692308,5.0,0.1993006993006993,1430.0,304.3860209941406,0.21285735733855987,-0.11864449795276061,0.5825097239012649,29,19,-50.0,0.18202527789062514
ask10_edge20_ask10_25,fixed5,historical_recent,141,19,35,0.15990780141843972,5.0,0.18439716312056736,705.0,102.04280174092695,0.14474156275308786,-0.326348340442903,0.6273100173574286,12,5,-40.0,0.08489107731697053
ask10_edge20_ask10_25,fixed5,forward,9,3,8,0.14677777777777778,5.0,0.2222222222222222,45.0,21.739367502726278,0.4830970556161395,-1.0,2.8167938931297707,2,1,-5.0,-0.2857142857142857
ask10_edge20_ask10_25,payout25_cap5,historical,286,50,44,0.1597692307692308,3.861276223776224,0.1993006993006993,1104.325,269.38196447303596,0.24393359244156923,-0.08647588933917123,0.599274681078679,28,19,-37.9375,0.22406640298871067
ask10_edge20_ask10_25,payout25_cap5,historical_recent,141,19,35,0.15990780141843972,3.8505319148936166,0.18439716312056736,542.925,82.58939174514143,0.15211933829744703,-0.2929891984278911,0.6347690427030053,12,5,-33.65,0.11144621829565332
ask10_edge20_ask10_25,payout25_cap5,forward,9,3,8,0.14677777777777778,3.6694444444444443,0.2222222222222222,33.025,16.975,0.5140045420136261,-1.0,3.065040650406504,1,1,-3.6249999999999996,-0.15966386554621848
ask10_edge20_ask10_25,payout50_cap5,historical,286,50,44,0.1597692307692308,5.0,0.1993006993006993,1430.0,304.3860209941406,0.21285735733855987,-0.11864449795276061,0.5825097239012649,29,19,-50.0,0.18202527789062514
ask10_edge20_ask10_25,payout50_cap5,historical_recent,141,19,35,0.15990780141843972,5.0,0.18439716312056736,705.0,102.04280174092695,0.14474156275308786,-0.326348340442903,0.6273100173574286,12,5,-40.0,0.08489107731697053
ask10_edge20_ask10_25,payout50_cap5,forward,9,3,8,0.14677777777777778,5.0,0.2222222222222222,45.0,21.739367502726278,0.4830970556161395,-1.0,2.8167938931297707,2,1,-5.0,-0.2857142857142857
ask10_edge20_ask10_25,ask_scaled_05_20,historical,286,50,44,0.1597692307692308,3.4817016317016316,0.1993006993006993,995.7666666666667,257.71394563266784,0.2588095728242907,-0.07538765848971014,0.6181182351430711,26,19,-33.916666666666664,0.2399292927692372
