abs_edge,ask,best_entry_price,bracket,bracket_hit_at_capture,candidate_id,city,city_pool,clob_closed,clob_yes_price,clob_yes_winner,condition_id,cost,created_at_utc,decision_entry_price,decision_hours_to_settle,decision_snapshot_ts_utc,decision_window_label,edge,edge_max,edge_mean,event_date,execution_mode,fact_built_at_utc,final_yes_at_capture,first_seen_ts_utc,forecast_hourly_count,forecast_max_above_bracket_f,forecast_max_below_bracket_f,forecast_max_f,forecast_max_in_bracket,forecast_max_native,forecast_peak_delta_hours_local,forecast_peak_hour_local,forecast_peak_hour_utc,forecast_peak_source,forecast_peak_time_local,forecast_peak_time_utc,forecast_source,forecast_timezone,hypothetical_notional_usd,hypothetical_shares,icao,is_settled,journal_schema_version,last_seen_ts_utc,market_id,market_yes_price,model_p_yes,model_version,n_snapshots,no_depth_ask_5c,no_order_placed,no_spread,pnl,record_type,roi,rule_id,settlement_source_expected,settlement_status_at_capture,shadow_decision_id,shadow_notional_usd,side,source_db,source_report,strategy_family,strategy_id,target_date,time_bucket,unit,win,window,yes_depth_ask_5c,yes_spread
0.2814,0.0735,0.038,25,,0x7287baa7b6f5f6ecad2bddd0a2d731d23e1c713fbd7c081f2584c5d3fab5c394|BUY_YES|2026-06-27,Busan,t2_research,True,0.0,False,0x7287baa7b6f5f6ecad2bddd0a2d731d23e1c713fbd7c081f2584c5d3fab5c394,5.0,2026-07-01T10:41:49Z,0.0735,23.0,2026-06-26T14:00:44Z,hts_22_24,0.2814,0.3254,0.18940779220779225,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T15:00:37Z,24,0.9,0.0,77.9,0,25.5,9.0,14,5,open_meteo_live_ecmwf,2026-06-27T14:00,2026-06-27T05:00:00Z,open_meteo_live_ecmwf,Asia/Seoul,5.0,68.02721088435375,RKPK,True,1,2026-06-27T05:01:24Z,2678050,0.0735,0.3549,ecmwf,77,2319.41,True,0.031,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,df6a983b7cb963195432909d,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,448.59,0.031
0.2011,0.013,0.0015,38,,0x1528838f16217a0976609f9e9f760052b3a02a0f4c8a3cc5271d1d68020484ed|BUY_YES|2026-06-27,Beijing,t2_research,True,0.0,False,0x1528838f16217a0976609f9e9f760052b3a02a0f4c8a3cc5271d1d68020484ed,5.0,2026-07-01T10:41:49Z,0.013,23.0,2026-06-26T15:00:23Z,hts_22_24,0.2011,0.3317,0.23997125000000025,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T16:00:49Z,24,0.0,4.5,95.9,0,35.5,8.0,15,7,open_meteo_live_ecmwf,2026-06-27T15:00,2026-06-27T07:00:00Z,open_meteo_live_ecmwf,Asia/Shanghai,5.0,384.61538461538464,ZBAA,True,1,2026-06-27T08:00:17Z,2678010,0.013,0.2141,ecmwf,80,4371.64,True,0.003,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,f873026b0d78084a3763e45b,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,354.32,0.003
0.2073,0.049,0.0015,31,,0x384e6b2b76ab15426012d80692867786b4a3e961dadf734959290ee6618ff55b|BUY_YES|2026-06-27,KualaLumpur,t2_research,True,0.0,False,0x384e6b2b76ab15426012d80692867786b4a3e961dadf734959290ee6618ff55b,5.0,2026-07-01T10:41:49Z,0.049,23.0,2026-06-26T15:00:23Z,hts_22_24,0.2073,0.3331,0.16808888888888893,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T16:00:49Z,24,0.0,0.6,87.2,0,30.7,8.0,15,7,open_meteo_live_ecmwf,2026-06-27T15:00,2026-06-27T07:00:00Z,open_meteo_live_ecmwf,Asia/Kuala_Lumpur,5.0,102.0408163265306,WMSA,True,1,2026-06-27T03:30:21Z,2678062,0.049,0.2563,ecmwf,72,2192.44,True,0.02,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,cdf513f43dc7dd858fcad647,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t12,C,0,post_t12,223.83,0.02
0.2246,0.012,0.0015,37,,0x4de0567b47023c0e552dd72416a2c071ea3071e0b4684338428bb683d20edc5b|BUY_YES|2026-06-27,Karachi,t1_trading,True,0.0,False,0x4de0567b47023c0e552dd72416a2c071ea3071e0b4684338428bb683d20edc5b,5.0,2026-07-01T10:41:49Z,0.012,23.0,2026-06-26T18:00:53Z,hts_22_24,0.2246,0.2523,0.22026329113924045,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T19:00:31Z,24,0.0,2.2,96.4,0,35.8,9.0,14,9,open_meteo_live_ecmwf,2026-06-27T14:00,2026-06-27T09:00:00Z,open_meteo_live_ecmwf,Asia/Karachi,5.0,416.6666666666667,OPKC,True,1,2026-06-27T10:00:17Z,2679384,0.012,0.2366,ecmwf,79,2413.8,True,0.008,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,307b49f3a219a735e5f47052,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,319.53,0.008
0.2933,0.0475,0.0135,26,,0xa33dc204c54af5c9eb84cedef5ebd654bf8c1347281a38cc55c8ee821fbd24d8|BUY_YES|2026-06-27,Ankara,t1_trading,True,0.0,False,0xa33dc204c54af5c9eb84cedef5ebd654bf8c1347281a38cc55c8ee821fbd24d8,5.0,2026-07-01T10:41:49Z,0.0475,23.0,2026-06-26T20:00:02Z,hts_22_24,0.2933,0.3158,0.16285999999999998,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T21:30:21Z,24,0.0,0.7,78.1,0,25.6,8.0,15,12,open_meteo_live_ecmwf,2026-06-27T15:00,2026-06-27T12:00:00Z,open_meteo_live_ecmwf,Europe/Istanbul,5.0,105.26315789473684,LTAC,True,1,2026-06-27T10:30:53Z,2679228,0.0475,0.3408,ecmwf,75,969.77,True,0.034,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,a66db923267067898063d3c8,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,between_t12_t6,C,0,post_t12,773.84,0.034
0.425,0.175,0.13,39+,,0x17bd6fe942ce4349d749d9224e003c0866fe6df3ca95a4d035825674285aa3ae|BUY_YES|2026-06-27,Jeddah,t1_trading,True,1.0,True,0x17bd6fe942ce4349d749d9224e003c0866fe6df3ca95a4d035825674285aa3ae,5.0,2026-07-01T10:41:49Z,0.175,23.0,2026-06-26T20:00:02Z,hts_22_24,0.425,0.4851,0.3093486111111112,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T21:00:47Z,24,0.0,0.0,103.5,1,39.7,10.0,13,10,open_meteo_live_ecmwf,2026-06-27T13:00,2026-06-27T10:00:00Z,open_meteo_live_ecmwf,Asia/Riyadh,5.0,28.571428571428573,OEJN,True,1,2026-06-27T08:30:14Z,2679364,0.175,0.6,ecmwf,72,2129.74,True,0.01,23.571428571428573,low_price_yes_lottery_reversal_shadow_candidate,4.714285714285714,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,a1c7ac1574335e93380aa055,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t12,C,1,post_t12,341.93,0.01
0.258,0.08,0.017,18,,0xa0d0bf32a89d87d69c3e28fa10bfeebb0acb63a908239f6cee0638137905ebfb|BUY_YES|2026-06-27,Moscow,t1_trading,True,0.0,False,0xa0d0bf32a89d87d69c3e28fa10bfeebb0acb63a908239f6cee0638137905ebfb,5.0,2026-07-01T10:41:49Z,0.08,23.0,2026-06-26T20:00:02Z,hts_22_24,0.258,0.4055,0.1887103448275862,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T21:00:47Z,24,0.6,0.0,65.0,0,18.3,12.0,11,8,open_meteo_live_ecmwf,2026-06-27T11:00,2026-06-27T08:00:00Z,open_meteo_live_ecmwf,Europe/Moscow,5.0,62.5,UUWW,True,1,2026-06-27T06:30:53Z,2679311,0.08,0.338,ecmwf,58,1038.87,True,0.064,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,6999581a9c46efbd3c428dac,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t12,C,0,t12,74.97,0.064
0.3591,0.0465,0.0025,32,,0xe45889bef45fdb26845f7139454b6cc864b8bb9f9b8ce6ca4ea08b3203e3c3ee|BUY_YES|2026-06-27,TelAviv,t2_research,True,0.0,False,0xe45889bef45fdb26845f7139454b6cc864b8bb9f9b8ce6ca4ea08b3203e3c3ee,5.0,2026-07-01T10:41:49Z,0.0465,23.0,2026-06-26T20:00:02Z,hts_22_24,0.3591,0.4055,0.35835063291139246,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T21:00:47Z,24,0.0,1.5,88.1,0,31.2,11.0,12,9,open_meteo_live_gfs,2026-06-27T12:00,2026-06-27T09:00:00Z,open_meteo_live_gfs,Asia/Jerusalem,5.0,107.52688172043011,LLBG,True,1,2026-06-27T12:00:44Z,2679264,0.0465,0.4056,gfs,79,1754.01,True,0.038,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,28ef6a80ec0e691208fbe988,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,295.02,0.038
0.2032,0.0475,0.0015,34,,0xcd4adc582a0c8bb00fb71fde44577fac353f71414e240267ed861ea8e4dbf990|BUY_YES|2026-06-27,Amsterdam,t2_research,True,0.0,False,0xcd4adc582a0c8bb00fb71fde44577fac353f71414e240267ed861ea8e4dbf990,5.0,2026-07-01T10:41:49Z,0.0475,23.0,2026-06-26T21:01:28Z,hts_22_24,0.2032,0.4896,0.18348593750000006,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T22:00:57Z,24,0.0,3.1,90.1,0,32.3,7.02,16,14,open_meteo_live_ecmwf,2026-06-27T16:00,2026-06-27T14:00:00Z,open_meteo_live_ecmwf,Europe/Amsterdam,5.0,105.26315789473684,EHAM,True,1,2026-06-27T14:30:26Z,2679336,0.0475,0.2507,ecmwf,64,5499.98,True,0.005,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,27cf12896106aeb1f51d3022,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,327.04,0.005
0.3973,0.014,0.0055,38,,0x286ab98d10daeaea96017e33d5f00fd7063c80316b89ae26b0d970753d1594ec|BUY_YES|2026-06-27,Milan,t2_research,True,0.0,False,0x286ab98d10daeaea96017e33d5f00fd7063c80316b89ae26b0d970753d1594ec,5.0,2026-07-01T10:41:49Z,0.014,23.0,2026-06-26T21:01:28Z,hts_22_24,0.3973,0.3973,0.33144512195121956,2026-06-27,zero_notional_shadow,2026-07-01T10:41:23.141560+00:00,,2026-06-25T22:00:57Z,24,0.0,1.3,99.1,0,37.3,7.02,16,14,open_meteo_live_ecmwf,2026-06-27T16:00,2026-06-27T14:00:00Z,open_meteo_live_ecmwf,Europe/Rome,5.0,357.1428571428571,LIML,True,1,2026-06-27T14:30:26Z,2679275,0.014,0.4113,ecmwf,82,806.06,True,0.012,-5.0,low_price_yes_lottery_reversal_shadow_candidate,-1.0,buy_yes_ask_001_025_edge_ge_020_city_date_first_v1,settlement_outcomes city/date/bracket fallback,,0f43785370fcfd9c64801edf,0.0,BUY_YES,runtime/weather.db,docs/analysis/2026-07/2026-07-01-reversal-lottery-lab-v2.md,low_price_yes_lottery_reversal,low_price_yes_lottery_reversal_shadow_v1,2026-06-27,t6,C,0,post_t12,194.37,0.012
