any_fill,bracket,city,created_at_utc,edge,fill_cost_usd,fill_fraction,filled_shares,fills,final_yes,first_fill_wait_min,full_fill,last_fill_wait_min,missed_winner_cost_actual_usd,missed_winner_shares_actual,model_p_yes,order_age_hours,order_id,posted_notional,posted_price,posted_shares,quote_best_ask,quote_best_bid,quote_spread,realized_pnl_actual_usd,settled,settlement_status,sizing_mode,target_date
True,104-105,NYC,2026-07-02T06:20:14+00:00,0.4548,1.4944,1.0,30.0,1,0.0,0.0,True,0.0,0.0,0.0,0.5048,64.57909047666666,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,1.5,0.05,30.0,0.0,0.0,0.015,-1.4944,True,settled,notional,2026-07-02
True,98-99,Chicago,2026-07-02T06:37:19+00:00,0.3087,1.5,1.0,25.0,1,0.0,0.0,True,0.0,0.0,0.0,0.3687,64.29436825444444,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,1.5,0.06,25.0,0.0,0.0,0.02,-1.5,True,settled,notional,2026-07-02
False,32,TelAviv,2026-07-02T23:13:48+00:00,0.2679,0,0.0,0,0,0.0,,False,,0.0,0.0,0.4079,47.686312698888884,,1.0,0.14,7.142857,0.0,0.0,0.02,0.0,True,settled,notional,2026-07-03
True,28,London,2026-07-02T23:13:49+00:00,0.222,0.75,1.0,12.5,1,0.0,0.0,True,0.0,0.0,0.0,0.302,47.68603492111111,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,1.0,0.08,12.5,0.0,0.0,0.02,-0.75,True,settled,notional,2026-07-03
True,32,TelAviv,2026-07-02T23:15:24+00:00,0.2679,0.7865,1.0,7.15,1,0.0,0.0,True,0.0,0.0,0.0,0.4079,47.65964603222222,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,1.001,0.14,7.15,0.0,0.0,0.01,-0.7865,True,settled,notional,2026-07-03
True,30,Ankara,2026-07-02T23:43:24+00:00,0.2514,0.95055,1.0,12.5,1,0.0,0.0,True,0.0,0.0,0.0,0.3314,47.19297936555555,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,1.0,0.08,12.5,0.0,0.0,0.041,-0.95055,True,settled,notional,2026-07-03
True,98-99,Dallas,2026-07-03T03:53:01+00:00,0.228,0.7931,1.0,7.21,1,0.0,83.96666666666667,True,83.96666666666667,0.0,0.0,0.339,43.03270158777777,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,0.80031,0.111,7.21,0.12,0.11,0.009999999999999995,-0.7931,True,settled,notional,2026-07-03
True,96-97,Houston,2026-07-03T05:03:50+00:00,0.2254,0.792,1.0,8.8,1,1.0,4.55,True,4.55,0.0,0.0,0.3164,41.85242381,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,0.8008,0.091,8.8,0.11,0.09,0.020000000000000004,8.008000000000001,True,settled,notional,2026-07-03
True,94-95,Chicago,2026-07-03T06:39:45+00:00,0.4743,0.80004,1.0,13.56,1,0.0,101.61666666666666,True,101.61666666666666,0.0,0.0,0.5333,40.253812698888886,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,0.80004,0.059,13.56,0.06,0.059,0.0010000000000000009,-0.80004,True,settled,notional,2026-07-03
True,104-105,NYC,2026-07-03T07:25:23+00:00,0.4602,0.80015,1.0,12.31,1,0.0,5.0,True,5.0,0.0,0.0,0.5252,39.49325714333333,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,0.80015,0.065,12.31,0.085,0.064,0.021000000000000005,-0.80015,True,settled,notional,2026-07-03
