selector,baseline,rows,dates,roi,baseline_rows,baseline_roi,delta_roi,delta_ci_low,delta_ci_high
all_headA_denominator,current_live_hot_dist_gt0,476,53,0.2649228058820748,333,0.4183669605702001,-0.15344415468812533,-0.32678718318630917,0.007264969858286445
forecast_core_adj_dist_-0p5_to_1,current_live_hot_dist_gt0,298,52,0.39574159035095685,333,0.4183669605702001,-0.022625370219243213,-0.13787555272112909,0.09059022162141242
forecast_core_raw_dist_0_to_1,current_live_hot_dist_gt0,224,52,0.376807493359718,333,0.4183669605702001,-0.04155946721048204,-0.27281194150030214,0.18336400759521054
station_hot_bias_or_tail_rate,current_live_hot_dist_gt0,319,53,0.38100651080020115,333,0.4183669605702001,-0.03736044976999897,-0.1238625463250879,0.03354090722895851
pcal_no_city_ev_ge_0p20,current_live_hot_dist_gt0,298,53,0.3883517154098031,333,0.4183669605702001,-0.030015245160397053,-0.14823661980329142,0.07369476659999022
pcal_no_city_ev_ge_0p50,current_live_hot_dist_gt0,110,46,0.4054458035770179,333,0.4183669605702001,-0.012921156993182303,-0.5352306603674705,0.47750366444460224
book_feasible_hot,current_live_hot_dist_gt0,212,41,0.17837329753790296,333,0.4183669605702001,-0.2399936630322972,-0.5371541269408204,0.009018066742909848
book_attention_thin_or_missing_hot,current_live_hot_dist_gt0,121,41,0.7683193272262964,333,0.4183669605702001,0.34995236665609636,-0.014538934939453886,0.7073137553618162
regime_score_ge4_hot,current_live_hot_dist_gt0,8,7,-0.12123454127066324,333,0.4183669605702001,-0.5396015018408633,-1.602659264664733,3.278972365600618
regime_score_ge5_hot,current_live_hot_dist_gt0,5,5,0.2544990255365194,333,0.4183669605702001,-0.16386793503368052,-1.6014995387381514,6.402874644062321
regime_not_capped_busted_hot,current_live_hot_dist_gt0,0,0,,333,0.4183669605702001,,,
regime_open_or_marginal_hot,current_live_hot_dist_gt0,0,0,,333,0.4183669605702001,,,
regime_humid_lightwind_hot,current_live_hot_dist_gt0,0,0,,333,0.4183669605702001,,,
forecast_model_disagreement_hot,current_live_hot_dist_gt0,7,6,-1.0,333,0.4183669605702001,-1.4183669605702,-1.7682367297037627,-1.0932002072796156
composite_core_plus_attention,current_live_hot_dist_gt0,111,41,0.640819924641309,333,0.4183669605702001,0.22245296407110887,-0.2668683109101539,0.6924994299537173
composite_core_plus_regime_ge4,current_live_hot_dist_gt0,7,6,-1.0,333,0.4183669605702001,-1.4183669605702,-1.7682367297037627,-1.0932002072796156
composite_core_attention_regime_ge4,current_live_hot_dist_gt0,3,2,-1.0,333,0.4183669605702001,-1.4183669605702,-1.7578951633832318,-1.0894870785629187
continuous_ev_same_count,current_live_hot_dist_gt0,343,53,0.38270939169923895,333,0.4183669605702001,-0.035657568870961276,-0.18671052459975843,0.11767504100482856
