label,period,rows,dates,baseline_rows,cost_ratio_vs_baseline,delta_roi,delta_ci_low,delta_ci_high
dist_gt0_score_mid_high,full,218,52,333,0.8099636215596241,0.1149357249331025,-0.023181865784882676,0.25953425628502497
dist_gt0_score_mid_high,train_le_2026_06_20,183,44,275,0.8130393837864877,0.1116873853005046,-0.03587405463949457,0.2687707035756124
dist_gt0_score_mid_high,recent_ge_2026_06_21,35,8,58,0.7939692950514482,0.1406122713332183,-0.33783977592352754,0.5266919400127992
dist_gt0_score_high,full,110,47,333,0.5361940000761694,0.39154065582014336,0.11257099485004665,0.7020546215036594
dist_gt0_score_high,train_le_2026_06_20,92,39,275,0.5363067205582298,0.3234263063551884,0.01350785004745481,0.6592757715664781
dist_gt0_score_high,recent_ge_2026_06_21,18,8,58,0.5356078402688574,0.746660687552645,0.026800884852383775,1.589651410350224
dist_gt0_score_low,full,115,46,333,0.19003637844037602,-0.4898733430799659,-1.0481237739786318,0.10041589342118008
dist_gt0_score_low,train_le_2026_06_20,92,37,275,0.1869606162135122,-0.4856971738782886,-1.119480494195167,0.16461432682067043
dist_gt0_score_low,recent_ge_2026_06_21,23,9,58,0.20603070494855175,-0.5418698439822188,-1.7068923859536158,1.2860857909118821
dist_gt0_all_score_tier_conservative,full,333,53,333,1.0865394054089483,0.06972492321527674,0.016118343999308837,0.12645114287283454
dist_gt0_all_score_tier_conservative,train_le_2026_06_20,275,44,275,1.0873365260861796,0.06075900567238801,0.004288164440867388,0.12198737415845162
dist_gt0_all_score_tier_conservative,recent_ge_2026_06_21,58,9,58,1.0823942838300764,0.11815452831328421,-0.03964093762159094,0.27306314372971013
dist_gt0_all_score_tier_balanced,full,333,53,333,1.1730788108178967,0.12916246702928785,0.02989208456478893,0.2348726886500393
dist_gt0_all_score_tier_balanced,train_le_2026_06_20,275,44,275,1.1746730521723587,0.11248319016783043,0.007981145763697826,0.22782786906469
dist_gt0_all_score_tier_balanced,recent_ge_2026_06_21,58,9,58,1.1647885676601528,0.21959313407727699,-0.07388836210350874,0.5153466698587106
dist_gt0_all_score_tier_aggressive,full,333,53,333,1.4039348567807568,0.19614709472925057,0.05071474593541728,0.35628402248994473
dist_gt0_all_score_tier_aggressive,train_le_2026_06_20,275,44,275,1.4055053883455564,0.16856854397547422,0.0132412023405278,0.3414261554870634
dist_gt0_all_score_tier_aggressive,recent_ge_2026_06_21,58,9,58,1.3957679073269238,0.34299309171440073,-0.06422018138093809,0.7888827022828883
