period,score_quintile,rows,dates,cities,win_rate,avg_entry,avg_score,avg_raw_dist,avg_adj_dist
full,0,74,42,25,0.08108108108108109,0.06762162162162161,0.09307275904375593,0.5247747747747749,-0.29140390390390286
full,1,62,39,32,0.04838709677419355,0.07839516129032258,0.12540169742646398,0.7904121863799285,0.09345878136200783
full,2,68,36,34,0.10294117647058823,0.09283823529411764,0.1534665121408444,0.9146241830065365,0.3050245098039223
full,3,64,42,34,0.203125,0.121390625,0.18880617229047408,0.8865451388888894,0.1703993055555562
full,4,65,36,29,0.3230769230769231,0.1648,0.27637554469393755,0.8823076923076931,0.22153846153846202
train_le_2026_06_20,0,55,33,22,0.07272727272727272,0.06788181818181818,0.0929369413272593,0.48666666666666664,-0.29994949494949397
train_le_2026_06_20,1,55,35,31,0.05454545454545454,0.07914545454545456,0.12510590427625837,0.7940404040404042,0.07252525252525327
train_le_2026_06_20,2,55,30,33,0.10909090909090909,0.09326363636363638,0.1529832505886122,0.9086868686868693,0.2854040404040417
train_le_2026_06_20,3,55,35,30,0.16363636363636364,0.12082727272727273,0.1885437315828953,0.9032323232323239,0.16757575757575832
train_le_2026_06_20,4,55,30,28,0.32727272727272727,0.16463636363636366,0.2774352942893054,0.8986868686868695,0.23474747474747526
recent_ge_2026_06_21,0,19,9,11,0.10526315789473684,0.06686842105263159,0.09346591559150938,0.6350877192982454,-0.2666666666666656
recent_ge_2026_06_21,1,7,4,6,0.0,0.07250000000000001,0.12772578646379365,0.7619047619047626,0.25793650793650796
recent_ge_2026_06_21,2,13,6,10,0.07692307692307693,0.09103846153846154,0.15551108024644206,0.9397435897435896,0.38803418803418677
recent_ge_2026_06_21,3,9,7,9,0.4444444444444444,0.12483333333333332,0.19040997661456632,0.7845679012345679,0.187654320987654
recent_ge_2026_06_21,4,10,6,9,0.3,0.16570000000000001,0.2705469219194146,0.7922222222222223,0.1488888888888889
