strategy,period,rows,dates,cities,win_rate,avg_ask,roi,roi_ci_low,roi_ci_high,top5_removed_roi
heat_death_diag_m60_cap0.8,diag,101,35,30,0.48514851485148514,0.5087623762376237,-0.14704268943510423,-0.4500228468976635,0.2247625257512448,-0.32730755836934167
heat_death_diag_m60_cap0.85,diag,138,37,33,0.5579710144927537,0.5950072463768116,-0.13125915430531038,-0.37356905645658905,0.14501117429456808,-0.2607817839446925
heat_death_diag_m60_cap0.9,diag,173,39,34,0.630057803468208,0.6529826589595376,-0.09696488838118579,-0.30044991328005305,0.12956960871790865,-0.1984829741693834
heat_death_diag_m90_cap0.8,diag,97,34,29,0.4845360824742268,0.5073195876288659,-0.14634362256067338,-0.4750473234145932,0.23895218973090712,-0.3344081017271368
heat_death_diag_m90_cap0.85,diag,131,36,33,0.549618320610687,0.5915114503816794,-0.13843354191062485,-0.3977725279727774,0.1495116365755237,-0.27543657111748515
heat_death_diag_m90_cap0.9,diag,163,38,34,0.6196319018404908,0.6485276073619631,-0.10561121343241857,-0.3178538811307028,0.13408517746960139,-0.21382811240503483
heat_death_diag_m120_cap0.8,diag,78,30,24,0.46153846153846156,0.5085000000000001,-0.26993512100335604,-0.5598678693844036,0.03395983739622197,-0.38649635436360485
heat_death_diag_m120_cap0.85,diag,106,33,27,0.5471698113207547,0.593877358490566,-0.2134330435932868,-0.44892561365310535,0.02175242770215856,-0.2948831391204929
heat_death_diag_m120_cap0.9,diag,130,35,29,0.6153846153846154,0.6473307692307692,-0.16701769457098206,-0.374532682463169,0.02123817176302048,-0.2309727577960724
false_fade_reheat_conflict_diag_tr0.3_gap0.5,diag,56,26,20,0.26785714285714285,0.14275,0.42247646955521484,-0.3287667789163732,1.3772147128858019,-0.24217107773167118
false_fade_reheat_conflict_diag_tr0.3_gap1.0,diag,47,25,18,0.2978723404255319,0.14523404255319153,0.6097591977679155,-0.3156964321904749,1.727490662538527,-0.17501726105512452
false_fade_reheat_conflict_diag_tr0.3_gap1.5,diag,42,25,15,0.3333333333333333,0.1448095238095238,0.8013971975021913,-0.215116910449284,1.9932197398190037,-0.06353310714365476
false_fade_reheat_conflict_diag_tr0.5_gap0.5,diag,56,26,20,0.26785714285714285,0.14275,0.42247646955521484,-0.3287667789163732,1.3772147128858019,-0.24217107773167118
false_fade_reheat_conflict_diag_tr0.5_gap1.0,diag,47,25,18,0.2978723404255319,0.14523404255319153,0.6097591977679155,-0.3156964321904749,1.727490662538527,-0.17501726105512452
false_fade_reheat_conflict_diag_tr0.5_gap1.5,diag,42,25,15,0.3333333333333333,0.1448095238095238,0.8013971975021913,-0.215116910449284,1.9932197398190037,-0.06353310714365476
false_fade_reheat_conflict_diag_tr1.0_gap0.5,diag,56,26,20,0.26785714285714285,0.14275,0.42247646955521484,-0.3287667789163732,1.3772147128858019,-0.24217107773167118
false_fade_reheat_conflict_diag_tr1.0_gap1.0,diag,47,25,18,0.2978723404255319,0.14523404255319153,0.6097591977679155,-0.3156964321904749,1.727490662538527,-0.17501726105512452
false_fade_reheat_conflict_diag_tr1.0_gap1.5,diag,42,25,15,0.3333333333333333,0.1448095238095238,0.8013971975021913,-0.215116910449284,1.9932197398190037,-0.06353310714365476
