strategy,period,rows,dates,cities,win_rate,avg_ask,roi,roi_ci_low,roi_ci_high,top5_removed_roi
baseline_all_current_high_yes,full,4458,41,36,0.49730820995962316,0.525774113952445,-0.14947325625845487,-0.2725485579537384,0.008006351198269753,-0.2401207633743936
baseline_all_current_bracket_no,full,4861,41,36,0.3563052869779881,0.3867136391688953,-0.27321563590938314,-0.36424678567267865,-0.1709692096722219,-0.335062051094651
baseline_all_d1_yes,full,5435,40,36,0.22042318307267708,0.25505979760809566,-0.2493951983549194,-0.3542555291292948,-0.13482791224021576,-0.31543288497175864
baseline_all_d2_yes,full,4485,40,36,0.16856187290969898,0.19103255295429208,-0.36157473058305106,-0.45644339198709255,-0.25311555345075737,-0.41369377909020805
baseline_all_high_tail_yes,full,1142,40,36,0.040280210157618214,0.05471453590192644,-0.7704348202757748,-0.8934970121311152,-0.6307311712451608,-0.871690448955549
baseline_all_d1_no,full,4731,41,36,0.7340942718241387,0.7599317269076306,-0.04660994964293446,-0.07040223529143383,-0.023582477995470186,-0.05705961035640048
baseline_all_d2_no,full,3611,41,36,0.7712545001384657,0.8036380504015508,-0.05017398635424838,-0.07477760312544399,-0.026601567674083688,-0.054936425803003765
heat_death_current_high_yes,full,131,36,33,0.549618320610687,0.5915114503816794,-0.13843354191062485,-0.3977725279727774,0.1495116365755237,-0.27543657111748515
heat_death_taker_plus_1c,full,131,36,33,0.549618320610687,0.5915114503816794,-0.1589874680909126,-0.40750013658816686,0.11185363174013165,-0.28542946917102
heat_death_complement_same_hours,full,4219,41,36,0.4849490400568855,0.5133479497511259,-0.15300610844756343,-0.28053470154253063,0.01077427363951241,-0.24879894505131772
heat_death_alt_d1_no,full,134,36,33,0.7089552238805971,0.7482910447761194,-0.025798550800933455,-0.17585340693498555,0.12377974004640754,-0.1001237889148286
heat_death_alt_current_bracket_no,full,126,36,32,0.42857142857142855,0.4872698412698414,-0.11134122329866769,-0.3972707282289129,0.1989473979344595,-0.26601441811848386
heat_death_alt_d1_yes,full,130,35,32,0.3,0.33068461538461535,0.0019134177440404115,-0.3824420066029579,0.4245394116274117,-0.22533748934423004
false_fade_reheat_conflict_d1yes,full,47,25,18,0.2978723404255319,0.14523404255319153,0.6097591977679155,-0.3156964321904749,1.727490662538527,-0.17501726105512452
false_fade_reheat_conflict_taker_plus_1c,full,47,25,18,0.2978723404255319,0.14523404255319153,0.5137030510989666,-0.3505411497230963,1.5506984754098962,-0.2067327620323013
false_fade_reheat_conflict_complement_warming_pool,full,1395,36,36,0.2831541218637993,0.3296136200716846,-0.2220222767619753,-0.3571350057433433,-0.03980376153047861,-0.3429951268175297
false_fade_reheat_conflict_alt_current_high_yes,full,43,23,17,0.6744186046511628,0.8521627906976744,-0.23809036484891868,-0.46117304737815634,-0.03834900331202338,-0.3161746762127939
false_fade_reheat_conflict_alt_d2_yes,full,37,22,15,0.0,0.04362162162162162,-1.0,-1.0,-1.0,-1.0
false_fade_reheat_conflict_alt_high_tail_yes,full,5,4,5,0.0,0.008799999999999999,-1.0,-1.0,-1.0,
false_fade_reheat_conflict_alt_current_bracket_no,full,47,25,18,0.2978723404255319,0.18019148936170215,0.33603906848934484,-0.40512080942781675,1.2218790518426739,-0.34121143653068514
heat_death_month_2026-05,monthly,41,13,21,0.5609756097560976,0.600170731707317,-0.21926582107592804,-0.4777261949569887,0.1593347107803292,-0.3681766543072916
heat_death_month_2026-06,monthly,89,22,26,0.550561797752809,0.5924044943820225,-0.0915156778222338,-0.43527882073275037,0.2960064560636081,-0.2863236890806031
heat_death_month_2026-07,monthly,1,1,1,0.0,0.157,-1.0,,,
false_fade_reheat_conflict_month_2026-05,monthly,16,9,10,0.4375,0.16499999999999998,1.72297183063537,-0.33993065617051416,4.414676115491697,-0.38349007314524575
false_fade_reheat_conflict_month_2026-06,monthly,31,16,14,0.22580645161290322,0.13503225806451616,0.035197838868584144,-0.7126847290640393,0.9013785772929852,-0.7435897435897437
