strategy,ask_band,rows,dates,cities,win_rate,avg_entry_raw,avg_entry_stress,exec_fee_pnl,exec_fee_roi,ci_low,ci_high,top5_removed_exec_fee_roi,max_daily_loss,recent_rows,recent_exec_fee_roi,avg_p_current,avg_p_d1,avg_tmax_d1_yes_edge_exec,avg_tmax_current_overprice
false_fade_reheat_conflict_d1_yes,0-5c,7,6,4,0.0,0.023571428571428577,0.03357142857142856,-7.33825,-1.0483214285714286,-1.048791666666667,-1.0479082638888888,-1.0490750000000002,-2.0961499999999997,1,-1.04895,0.9837014456835527,0.014565174891078225,-0.007434825108921775,0.011298554316447273
false_fade_reheat_conflict_d1_yes,5-10c,10,8,6,0.1,0.07350000000000001,0.08349999999999998,-1.0242877358490567,-0.10242877358490568,-1.0462449999999999,2.099237976939203,-1.0464499999999999,-2.09175,0,,0.9285055677093276,0.06231422244681064,-0.01648577755318936,0.023494432290672385
false_fade_reheat_conflict_d1_yes,10-20c,17,10,11,0.29411764705882354,0.1405294117647059,0.15052941176470588,16.2263626984127,0.9544919234360412,-0.6258364583333333,2.7146903796518584,-1.0424624999999998,-3.1285499999999997,0,,0.8531151717914991,0.13163597001004845,-0.018364029989951527,0.02888482820850078
false_fade_reheat_conflict_d1_yes,20-30c,10,7,8,0.5,0.26370000000000005,0.2737,7.721099084249085,0.7721099084249085,-0.3050391059833024,2.269193603643377,-1.0365300000000002,-3.10915,0,,0.7207154976961994,0.23232603277995353,-0.035673967220046475,0.07508450230380062
false_fade_reheat_conflict_d1_yes,30-40c,3,3,3,1.0,0.3,0.31,6.5739193548387105,2.1913064516129035,2.1913064516129035,2.1913064516129035,,2.1913064516129035,0,,0.6264599892236757,0.31107383112695325,0.0010738311269532508,0.0535400107763242
rich_current_b4_current_bracket_no,0-5c,6,6,3,0.0,0.01883333333333333,0.028833333333333332,-6.291350000000001,-1.0485583333333335,-1.0489916666666668,-1.0480500000000001,-1.0490500000000003,-1.04905,0,,0.9837014456835527,0.014565174891078225,-0.007934825108921776,0.011298554316447273
rich_current_b4_current_bracket_no,5-10c,13,10,8,0.0,0.06876923076923079,0.07876923076923073,-13.598800000000002,-1.0460615384615386,-1.0465,-1.045742857142857,-1.0465000000000004,-3.137,0,,0.9325323929882027,0.059953835836325076,-0.01433187844938918,0.021753321297511712
rich_current_b4_current_bracket_no,10-20c,13,10,10,0.38461538461538464,0.15653846153846154,0.1665384615384615,17.3303822537112,1.333106327208554,-0.4499186390532545,3.0557302514792894,-1.04165625,-2.08225,0,,0.854013815402894,0.12710746002100154,-0.02914253997899848,0.02973618459710589
rich_current_b4_current_bracket_no,20-30c,7,7,7,0.2857142857142857,0.2601428571428572,0.2701428571428572,-0.4738408045977014,-0.06769154351395734,-1.03735,0.9333270997536942,-1.0392250000000003,-1.03945,0,,0.7783509781060529,0.19650394706502858,-0.07624605293497141,0.054649021893947186
rich_current_b4_current_bracket_no,30-40c,12,10,10,0.6666666666666666,0.3581666666666667,0.3681666666666666,9.3836409162157,0.7819700763513083,0.1201001238726684,1.5804294997468058,0.05908270676691733,-1.032,0,,0.5958481630426272,0.342374131862835,-0.02362586813716504,0.12395183695737286
rich_current_b4_current_bracket_no,40c+,19,13,15,0.42105263157894735,0.5091052631578947,0.5191052631578948,-2.360534696450948,-0.12423866823426041,-0.7285402140731293,0.48194103916409264,-0.6122542430326702,-2.0525,0,,0.5713629472792956,0.3590839966439492,-0.13008267002271756,0.08947038605403779
rich_current_b4_d1_yes,0-5c,8,7,3,0.0,0.025625000000000002,0.035625000000000004,-8.385749999999998,-1.0482187499999998,-1.0486857142857142,-1.0477874999999999,-1.0490499999999994,-2.0961499999999997,0,,0.9635524079039707,0.03237160232453081,0.0007049356578641431,0.023114258762695978
rich_current_b4_d1_yes,5-10c,12,9,7,0.08333333333333333,0.06983333333333333,0.0798333333333333,-2.5520999999999985,-0.21267499999999986,-1.0463818181818179,1.9539702500000005,-1.046542857142857,-2.09305,0,,0.9311516495725242,0.05949757309933988,-0.019645284043517248,0.014562636141761644
rich_current_b4_d1_yes,10-20c,16,11,13,0.25,0.14125000000000001,0.15125,11.019412698412697,0.6887132936507936,-1.0424192307692306,2.553764533730159,-1.0424999999999998,-3.1285499999999997,0,,0.8405858531419825,0.1411054821326891,-0.011519517867310916,0.03466414685801754
rich_current_b4_d1_yes,20-30c,11,8,9,0.5454545454545454,0.25909090909090915,0.2690909090909091,10.52840293040293,0.957127539127539,0.02598251748251729,2.2256126373626373,-0.481027777777778,-2.0730000000000004,0,,0.6972212407352684,0.24223527248377086,-0.024431394182895822,0.0826120925980649
rich_current_b4_d1_yes,30-40c,14,12,13,0.5,0.3407857142857143,0.35078571428571426,6.649197959672627,0.4749427114051876,-0.27967853303253126,1.298017233106867,-0.4143771604938272,-2.064,0,,0.585472600709261,0.340519096467302,-0.005195189246983756,0.08024168500502481
rich_current_b4_d1_yes,40c+,9,7,8,0.5555555555555556,0.47333333333333333,0.4833333333333333,1.5613908846452809,0.17348787607169788,-0.6947740863787374,0.928340651376102,-1.025,-1.029,0,,0.5515998593235275,0.3990106146002713,-0.08956081397115721,0.11697156924790104
