strategy,target_date,rows,cities,wins,avg_entry_raw,exec_fee_pnl,win_rate,exec_fee_roi
false_fade_reheat_conflict_d1_yes,2026-05-20,3,2,3,0.18000000000000002,15.580496927803381,1.0,5.19349897593446
false_fade_reheat_conflict_d1_yes,2026-05-21,1,1,0,0.09,-1.045,0.0,-1.045
false_fade_reheat_conflict_d1_yes,2026-05-23,1,1,0,0.03,-1.048,0.0,-1.048
false_fade_reheat_conflict_d1_yes,2026-05-24,2,2,1,0.17,3.473555555555554,0.5,1.736777777777777
false_fade_reheat_conflict_d1_yes,2026-05-25,1,1,0,0.14,-1.0425,0.0,-1.0425
false_fade_reheat_conflict_d1_yes,2026-05-27,5,4,0,0.1688,-5.2053,0.0,-1.04106
false_fade_reheat_conflict_d1_yes,2026-05-28,1,1,1,0.27,2.535428571428571,1.0,2.535428571428571
false_fade_reheat_conflict_d1_yes,2026-05-29,1,1,1,0.29,2.2983333333333333,1.0,2.2983333333333333
false_fade_reheat_conflict_d1_yes,2026-05-31,1,1,1,0.096,8.389262264150943,1.0,8.389262264150943
false_fade_reheat_conflict_d1_yes,2026-06-01,1,1,0,0.06,-1.0465,0.0,-1.0465
false_fade_reheat_conflict_d1_yes,2026-06-03,2,2,0,0.097,-2.0892999999999997,0.0,-1.0446499999999999
false_fade_reheat_conflict_d1_yes,2026-06-05,5,3,0,0.10880000000000001,-5.2203,0.0,-1.04406
false_fade_reheat_conflict_d1_yes,2026-06-06,2,2,0,0.14,-2.085,0.0,-1.0425
false_fade_reheat_conflict_d1_yes,2026-06-07,2,1,2,0.275,5.000460297766749,1.0,2.5002301488833747
false_fade_reheat_conflict_d1_yes,2026-06-08,1,1,0,0.07,-1.046,0.0,-1.046
false_fade_reheat_conflict_d1_yes,2026-06-09,1,1,0,0.067,-1.04615,0.0,-1.04615
false_fade_reheat_conflict_d1_yes,2026-06-10,2,2,0,0.07250000000000001,-2.09175,0.0,-1.045875
false_fade_reheat_conflict_d1_yes,2026-06-11,2,2,1,0.15500000000000003,4.583166666666665,0.5,2.2915833333333326
false_fade_reheat_conflict_d1_yes,2026-06-12,2,2,0,0.13,-2.0860000000000003,0.0,-1.0430000000000001
false_fade_reheat_conflict_d1_yes,2026-06-13,3,2,2,0.18633333333333332,6.355256451612904,0.6666666666666666,2.1184188172043013
false_fade_reheat_conflict_d1_yes,2026-06-14,2,2,0,0.0845,-2.0905500000000004,0.0,-1.0452750000000002
false_fade_reheat_conflict_d1_yes,2026-06-15,2,1,1,0.28500000000000003,1.2628333333333333,0.5,0.6314166666666666
false_fade_reheat_conflict_d1_yes,2026-06-16,1,1,1,0.24,2.9625,1.0,2.9625
false_fade_reheat_conflict_d1_yes,2026-06-19,2,2,0,0.0785,-2.09115,0.0,-1.045575
false_fade_reheat_conflict_d1_yes,2026-06-30,1,1,0,0.011,-1.04895,0.0,-1.04895
rich_current_b4_current_bracket_no,2026-05-20,3,3,3,0.25,10.519952380952382,1.0,3.506650793650794
rich_current_b4_current_bracket_no,2026-05-21,2,2,0,0.5145,-2.04755,0.0,-1.023775
