city,target_date,source,source_obs_ts_utc,source_detect_ts_utc,trigger_ts_utc,source_temp_c,prior_metar_report_ts_utc,prior_metar_max_c,candidate_c,next_metar_report_ts_utc,next_metar_detect_ts_utc,next_metar_temp_c,next_report_cross_hit,eventual_metar_cross_hit,source_detect_lag_min,lead_to_next_metar_detect_min,best_no_ask,ask_size,book_available,book_at_or_below_cap,required_probe_shares,book_executable_size,book_tradeable,settlement_winning_bracket_c,settlement_no_win,gross_pnl_per_share,question
TelAviv,2026-07-10,ims_lod,2026-07-10T08:00:00+00:00,2026-07-10T08:13:48.140197+00:00,2026-07-10T08:14:10.810501+00:00,29.582,2026-07-10T07:50:00+00:00,29,30,2026-07-10T08:20:00+00:00,2026-07-10T08:27:34.617041+00:00,30.0,True,True,13.802,13.397,0.998,140.0,True,False,5.0,True,False,31,True,,Will the highest temperature in Tel Aviv be 29°C on July 10?
Ankara,2026-07-10,mgm,2026-07-10T09:36:00+00:00,2026-07-10T09:55:34.116541+00:00,2026-07-10T09:56:12.824608+00:00,26.6,2026-07-10T09:20:00+00:00,26,27,2026-07-10T09:50:00+00:00,2026-07-10T09:56:19.688519+00:00,27.0,True,True,19.569,0.114,,,False,False,5.0,False,False,29,True,,Will the highest temperature in Ankara be 26°C on July 10?
Istanbul,2026-07-10,mgm,2026-07-10T12:40:00+00:00,2026-07-10T12:55:54.769562+00:00,2026-07-10T12:57:16.283702+00:00,26.6,2026-07-10T12:20:00+00:00,26,27,2026-07-10T12:50:00+00:00,2026-07-10T13:00:19.338937+00:00,26.0,False,False,15.913,3.051,0.12,8.0,True,True,5.0,True,True,26,False,-0.12,Will the highest temperature in Istanbul be 26°C on July 10?
Istanbul,2026-07-11,mgm,2026-07-11T05:30:00+00:00,2026-07-11T05:45:55.708793+00:00,2026-07-11T05:46:17.353382+00:00,24.8,2026-07-11T05:20:00+00:00,24,25,2026-07-11T05:50:00+00:00,2026-07-11T05:56:33.819982+00:00,26.0,True,True,15.928,10.274,,,False,False,5.0,False,False,28,True,,Will the highest temperature in Istanbul be 24°C on July 11?
TelAviv,2026-07-11,ims_lod,2026-07-11T07:00:00+00:00,2026-07-11T07:15:50.163314+00:00,2026-07-11T07:16:01.065051+00:00,28.679,2026-07-11T06:50:00+00:00,28,29,2026-07-11T07:20:00+00:00,2026-07-11T07:27:58.784568+00:00,30.0,True,True,15.836,11.962,,,False,False,5.0,False,False,32,True,,Will the highest temperature in Tel Aviv be 28°C or below on July 11?
Istanbul,2026-07-11,mgm,2026-07-11T08:30:00+00:00,2026-07-11T08:46:13.798907+00:00,2026-07-11T08:46:44.454371+00:00,26.7,2026-07-11T08:20:00+00:00,26,27,2026-07-11T08:50:00+00:00,2026-07-11T08:55:48.661517+00:00,27.0,True,True,16.23,9.07,0.999,492.25,True,False,5.0,True,False,28,True,,Will the highest temperature in Istanbul be 26°C on July 11?
Istanbul,2026-07-11,mgm,2026-07-11T09:00:00+00:00,2026-07-11T09:24:55.032493+00:00,2026-07-11T09:25:30.399098+00:00,27.6,2026-07-11T08:50:00+00:00,27,28,2026-07-11T09:20:00+00:00,2026-07-11T09:26:07.924900+00:00,27.0,False,True,24.917,0.625,0.97,281.67,True,False,5.0,True,False,28,True,,Will the highest temperature in Istanbul be 27°C on July 11?
Ankara,2026-07-11,mgm,2026-07-11T13:30:00+00:00,2026-07-11T13:48:16.930374+00:00,2026-07-11T13:50:05.753092+00:00,29.6,2026-07-11T13:20:00+00:00,29,30,2026-07-11T13:50:00+00:00,2026-07-11T13:56:11.089267+00:00,29.0,False,True,18.282,6.089,0.59,5.0,True,True,5.0,True,True,30,True,0.41,Will the highest temperature in Ankara be 29°C on July 11?
TelAviv,2026-07-12,ims_lod,2026-07-12T06:00:00+00:00,2026-07-12T06:13:25.360277+00:00,2026-07-12T06:13:34.785505+00:00,27.667,2026-07-12T05:50:00+00:00,27,28,2026-07-12T06:20:00+00:00,2026-07-12T06:22:44.699327+00:00,28.0,True,True,13.423,9.165,,,False,False,5.0,False,False,31,True,,Will the highest temperature in Tel Aviv be 27°C or below on July 12?
Istanbul,2026-07-12,mgm,2026-07-12T08:00:00+00:00,2026-07-12T08:16:59.648146+00:00,2026-07-12T08:18:37.313393+00:00,25.9,2026-07-12T07:50:00+00:00,25,26,2026-07-12T08:20:00+00:00,2026-07-12T08:27:20.129416+00:00,26.0,True,True,16.994,8.714,0.997,26.22,True,False,5.0,True,False,27,True,,Will the highest temperature in Istanbul be 25°C on July 12?
Istanbul,2026-07-12,mgm,2026-07-12T08:30:00+00:00,2026-07-12T08:45:51.360256+00:00,2026-07-12T08:46:07.866186+00:00,26.7,2026-07-12T08:20:00+00:00,26,27,2026-07-12T08:50:00+00:00,2026-07-12T08:58:41.572057+00:00,25.0,False,True,15.856,12.562,0.975,6.0,True,False,5.0,True,False,27,True,,Will the highest temperature in Istanbul be 26°C on July 12?
Ankara,2026-07-12,mgm,2026-07-12T10:00:00+00:00,2026-07-12T10:18:52.619522+00:00,2026-07-12T10:19:39.635089+00:00,28.5,2026-07-12T09:50:00+00:00,28,29,2026-07-12T10:20:00+00:00,2026-07-12T10:26:58.172631+00:00,29.0,True,True,18.877,7.309,,,False,False,5.0,False,False,32,True,,Will the highest temperature in Ankara be 28°C on July 12?
Istanbul,2026-07-12,mgm,2026-07-12T10:28:00+00:00,2026-07-12T10:46:32.818901+00:00,2026-07-12T10:47:10.164219+00:00,27.9,2026-07-12T10:20:00+00:00,27,28,2026-07-12T10:50:00+00:00,2026-07-12T10:57:25.008128+00:00,26.0,False,False,18.547,10.247,0.28,5.47,True,True,5.0,True,True,27,False,-0.28,Will the highest temperature in Istanbul be 27°C on July 12?
Ankara,2026-07-12,mgm,2026-07-12T12:30:00+00:00,2026-07-12T12:47:47.305316+00:00,2026-07-12T12:48:42.592112+00:00,30.6,2026-07-12T12:20:00+00:00,30,31,2026-07-12T12:50:00+00:00,2026-07-12T13:02:31.627949+00:00,31.0,True,True,17.788,13.817,0.979,23.9,True,False,5.0,True,False,32,True,,Will the highest temperature in Ankara be 30°C on July 12?
