source_path,created_at_utc,candidate_status,execution_skip_reason,strategy_instance,city,target_date,bracket,token_id,market_id,route_leg,expression,rule_id,decision_snapshot_ts_utc,ask,bid,spread,top_ask_notional,ask_size,spread_bucket,depth_bucket,quality_bucket,soft_weight_to_ask_ratio,soft_shares,city_source_bias_regime,dedupe_key,final_price,settlement_status
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-26T08:57:54+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-26,30,31628220494830509043236420906734568065542847928948519228583999699379050220140,2679332,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-26T08:30:50Z,0.792,0.756,0.03600000000000003,25.71624,32.47,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,,1.6342329545454544,,Amsterdam|2026-06-26|30|31628220494830509043236420906734568065542847928948519228583999699379050220140|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-26T09:29:31+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-26,31,79675735656846791843386144782853502688119177423837314414290900839385945692231,2679333,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-26T09:00:51Z,0.75,0.72,0.030000000000000027,35.58,47.44,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,,1.7169374999999996,,Amsterdam|2026-06-26|31|79675735656846791843386144782853502688119177423837314414290900839385945692231|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-26T10:02:09+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-26,32,41423020903791472670621064670123453478939874469890699164302035961226269590884,2679334,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-26T09:30:00Z,0.74,0.71,0.030000000000000027,98.8862,133.63,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,,1.778108108108108,,Amsterdam|2026-06-26|32|41423020903791472670621064670123453478939874469890699164302035961226269590884|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-26T11:02:16+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-26,33,6929104275473605032514765360868867942797123437174461273161205407309913712014,2679335,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-26T10:30:38Z,0.88,0.85,0.030000000000000027,28.6,32.5,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,,2.1930194805194803,,Amsterdam|2026-06-26|33|6929104275473605032514765360868867942797123437174461273161205407309913712014|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-26T11:34:51+00:00,blocked,soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-26,36,32163012981784121617010343647827848064549079160188337381642043300214811340582,2664370,capped_d2_no,d2_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-26T11:01:01Z,0.63,0.54,0.08999999999999997,22.1634,35.18,wide_gt_8c,usable_ge_5,thin_or_wide,,1.652285714285714,,Amsterdam|2026-06-26|36|32163012981784121617010343647827848064549079160188337381642043300214811340582|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-27T08:15:04+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-27,26,80704043381212081871923799652224112027189381862032218370354640522690310987144,2688372,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-27T08:00:17Z,0.79,0.78,0.010000000000000009,234.2508,296.52,tight_le_3c,usable_ge_5,not_thin_or_wide,,0.514367088607595,,Amsterdam|2026-06-27|26|80704043381212081871923799652224112027189381862032218370354640522690310987144|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-27T11:11:26+00:00,blocked,soft_size_below_min_shares|live_feature_parity_failed,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-27,27,7590439535473103991136895866804005671690363977978543433868909425723949907965,2688373,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-27T10:30:53Z,0.6,0.59,0.010000000000000009,42.456,70.76,tight_le_3c,usable_ge_5,not_thin_or_wide,,0.7801846428571428,,Amsterdam|2026-06-27|27|7590439535473103991136895866804005671690363977978543433868909425723949907965|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-27T09:00:58+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Amsterdam,2026-06-27,28,72333460712966501508681380749279412408366450227113284369993323307493601333948,2688374,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-27T08:30:14Z,0.789,0.781,0.008000000000000007,102.34908,129.72,tight_le_3c,usable_ge_5,not_thin_or_wide,,0.49413022813688195,,Amsterdam|2026-06-27|28|72333460712966501508681380749279412408366450227113284369993323307493601333948|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T08:10:03+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-06-30,19,18834614143469303933890449371086381202207761840743757027519787079914410273782,2717016,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T08:02:37Z,0.997,0.992,0.0050000000000000044,28.47432,28.56,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.58876629889669,,Amsterdam|2026-06-30|19|18834614143469303933890449371086381202207761840743757027519787079914410273782|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T09:30:39+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-06-30,20,88812866058372540841054005069123206725054473341035708506243731582219614388504,2717017,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T09:19:27Z,0.911,0.897,0.014000000000000012,22.775000000000002,25.0,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.9758507135016463,,Amsterdam|2026-06-30|20|88812866058372540841054005069123206725054473341035708506243731582219614388504|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T11:02:24+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-06-30,23,27739487065322676627969141100151828743692216702674075040625268568448230338506,2717020,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T10:39:09Z,0.93,0.9,0.030000000000000027,9.3,10.0,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,,1.0887096774193548,,Amsterdam|2026-06-30|23|27739487065322676627969141100151828743692216702674075040625268568448230338506|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-01T08:48:43+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-07-01,20,7161992365492894321545108692484928807090310074820790793929314462569153442954,2726036,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-07-01T08:37:18Z,0.999,0.996,0.0030000000000000027,742.94631,743.69,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.8018018018018016,unclassified,Amsterdam|2026-07-01|20|7161992365492894321545108692484928807090310074820790793929314462569153442954|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-01T08:59:57+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-07-01,21,49043708718795986169174935222684852047223886391443599801268184640410767322367,2726037,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-07-01T08:37:18Z,0.997,0.996,0.0010000000000000009,71.27552999999999,71.49,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.8054162487462386,unclassified,Amsterdam|2026-07-01|21|49043708718795986169174935222684852047223886391443599801268184640410767322367|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-01T09:18:56+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-07-01,21,49043708718795986169174935222684852047223886391443599801268184640410767322367,2726037,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-01T08:37:18Z,0.997,0.996,0.0010000000000000009,71.27552999999999,71.49,tight_le_3c,usable_ge_5,not_thin_or_wide,0.3610832497492477,1.8054162487462386,unclassified,Amsterdam|2026-07-01|21|49043708718795986169174935222684852047223886391443599801268184640410767322367|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-01T09:32:12+00:00,blocked,soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-07-01,24,5140987848497437109791334925226393134593079124350896608571263353261081912417,2726040,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-01T09:18:21Z,0.41,0.38,0.02999999999999997,23.779999999999998,58.0,tight_le_3c,usable_ge_5,not_thin_or_wide,0.9329268292682927,4.664634146341464,unclassified,Amsterdam|2026-07-01|24|5140987848497437109791334925226393134593079124350896608571263353261081912417|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-02T09:34:49+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Amsterdam,2026-07-02,19,6339725985496177913477297462734612016812480151592473026415482027578705206,2739441,cheap_stale_tail_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-02T09:29:28Z,0.94,0.867,0.07299999999999995,4.699999999999999,5.0,mid_3c_to_8c,small_2_5_to_5,not_thin_or_wide,0.11489361702127658,1.0340425531914892,balanced_tight,Amsterdam|2026-07-02|19|6339725985496177913477297462734612016812480151592473026415482027578705206|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
