evidence_layer,target_date,city,router_route,router_expression,router_ask,router_payoff,base_weight,patched_weight,patched_shares,patch_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate,unit_cost,unit_pnl,won,spread,top_ask_notional
historical_best_ask_diagnostic,2026-05-25,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.2496,0.2496,2.269090909090909,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.55,-0.55,0.0,,
historical_best_ask_diagnostic,2026-05-29,CapeTown,fresh_runway_current_no,current_bracket_no,0.53,1.0,0.52736,0.52736,4.9750943396226415,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.53,0.47,1.0,,
historical_best_ask_diagnostic,2026-06-02,CapeTown,fresh_runway_current_no,current_bracket_no,0.61,1.0,0.487296,0.487296,3.9942295081967223,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.61,0.39,1.0,,
historical_best_ask_diagnostic,2026-06-09,CapeTown,fresh_runway_current_no,current_bracket_no,0.67,0.0,0.2483404799999999,0.2483404799999999,1.853287164179104,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.67,-0.67,0.0,,
historical_best_ask_diagnostic,2026-06-12,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.39936,0.39936,3.6305454545454543,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.55,0.44999999999999996,1.0,,
historical_best_ask_diagnostic,2026-06-15,CapeTown,fresh_runway_current_no,current_bracket_no,0.62,1.0,0.40064,0.40064,3.230967741935484,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.62,0.38,1.0,,
historical_best_ask_diagnostic,2026-06-21,CapeTown,fresh_runway_current_no,current_bracket_no,0.59,0.0,0.4428800000000001,0.4428800000000001,3.753220338983051,below_min5_after_sizing,open_meteo_live_ecmwf,ecmwf,mild_or_mixed,0.4615,0.3202,0.59,-0.59,0.0,,
frozen_live_like_route_price,2026-05-25,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.2496,0.2496,2.269090909090909,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.55,-0.55,0.0,,
frozen_live_like_route_price,2026-05-29,CapeTown,fresh_runway_current_no,current_bracket_no,0.53,1.0,0.52736,0.52736,4.9750943396226415,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.53,0.47,1.0,,
frozen_live_like_route_price,2026-06-12,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.39936,0.39936,3.6305454545454543,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.55,0.44999999999999996,1.0,,
