evidence_layer,target_date,city,router_route,router_expression,router_ask,router_payoff,base_weight,patched_weight,patched_shares,patch_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate,unit_cost,unit_pnl,won,spread,top_ask_notional
historical_best_ask_diagnostic,2026-05-20,Ankara,fresh_runway_current_no,current_bracket_no,0.69,1.0,0.3776000000000001,0.3776000000000001,2.736231884057972,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441,0.69,0.31000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-20,Chengdu,capped_d2_no,d2_no,0.69,1.0,0.19116,0.124254,0.9003913043478263,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084,0.69,0.31000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-20,Istanbul,capped_d2_no,d2_no,0.65,1.0,0.2016,0.21168,1.6283076923076922,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236,0.65,0.35,1.0,,
historical_best_ask_diagnostic,2026-05-20,Jeddah,false_fade_reheat_current_no,current_bracket_no,0.587,0.0,0.1135225,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.587,-0.587,0.0,,
historical_best_ask_diagnostic,2026-05-20,Miami,capped_d2_no,d2_no,0.66,0.0,0.21789,0.21789,1.650681818181818,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.1286,0.2239,0.66,-0.66,0.0,,
historical_best_ask_diagnostic,2026-05-20,Munich,capped_d2_no,d2_no,0.64,0.0,0.2618999999999999,0.1964249999999999,1.5345703124999996,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.64,-0.64,0.0,,
historical_best_ask_diagnostic,2026-05-20,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.62,0.0,0.40064,0.40064,3.230967741935484,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489,0.62,-0.62,0.0,,
historical_best_ask_diagnostic,2026-05-20,Shanghai,cheap_stale_tail_current_no,current_bracket_no,0.22,1.0,0.2339999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075,0.22,0.78,1.0,,
historical_best_ask_diagnostic,2026-05-20,Singapore,capped_d2_no,d2_no,0.62,0.0,0.236628,0.1538082,1.2403887096774198,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.8289,0.4073,0.62,-0.62,0.0,,
historical_best_ask_diagnostic,2026-05-20,Wellington,capped_d2_no,d2_no,0.68,1.0,0.1778399999999999,0.1155959999999999,0.8499705882352939,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096,0.68,0.31999999999999995,1.0,,
historical_best_ask_diagnostic,2026-05-21,Guangzhou,false_fade_reheat_current_no,current_bracket_no,0.65,1.0,0.227136,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242,0.65,0.35,1.0,,
historical_best_ask_diagnostic,2026-05-21,Jeddah,capped_d2_no,d2_no,0.6,1.0,0.3015,0.195975,1.6331250000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.6,0.4,1.0,,
historical_best_ask_diagnostic,2026-05-21,Manila,capped_d2_no,d2_no,0.6,0.0,0.27135,0.1763775,1.4698125000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404,0.6,-0.6,0.0,,
