city,rows,dates,cities,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,avg_spread,avg_top_ask_notional,win_rate
NYC,2,1,1,6.0008,11.839199999999998,1.972936941741101,,,0.035,3.192037,1.0
Lucknow,2,2,1,4.40018,1.3098200000000007,0.29767418605602514,,,0.0755,2.2015000000000002,0.5
Chongqing,1,1,1,3.4654999999999996,-3.4654999999999996,-1.0,,,0.07,3.468143,0.0
Seattle,1,1,1,3.00472,-3.00472,-1.0,,,0.175,3.007563,0.0
Manila,1,1,1,2.8485,3.4815000000000005,1.2222222222222223,,,0.09,2.850784,1.0
Miami,1,1,1,2.5389000000000004,-2.5389000000000004,-1.0,,,0.03,2.53946,0.0
BuenosAires,1,1,1,2.2496,-2.2496,-1.0,,,0.01,2.25,0.0
Ankara,1,1,1,1.9125,5.737500000000001,3.0000000000000004,,,0.05,1.9125,1.0
Munich,1,1,1,1.8632,3.6168000000000005,1.9411764705882355,,,0.02,1.921072,1.0
Karachi,1,1,1,1.4148,-1.4148,-1.0,,,0.14,2.465526,0.0
