window,min_margin_native_strict_gt,rows,dates,cities,fresh_rows,additional_removed_vs_current,removed_wins,removed_pnl_usd,cost_usd,pnl_usd,roi,delta_pnl_vs_current_usd,delta_roi_vs_current
all_settled,0.0,48,28,22,44,0,0,0.0,235.76185440000003,48.82087194217734,0.20707706115742758,0.0,0.0
all_settled,0.1,47,28,22,43,1,0,-6.5664,229.19545440000007,55.38727194217734,0.2416595568492973,6.566400000000002,0.03458249569186972
all_settled,0.25,40,25,21,36,8,2,-10.28375146877783,200.56682400000003,59.10462341095517,0.2946879360813689,10.28375146877783,0.08761087492394132
all_settled,0.5,36,23,19,32,12,4,-8.986786545700912,180.71671200000006,57.80765848787825,0.319879981481061,8.986786545700909,0.11280292032363343
all_settled,0.75,30,20,19,26,18,8,8.030125427891608,151.11837600000004,40.79074651428573,0.26992578661833766,-8.030125427891612,0.06284872546091008
all_settled,1.0,28,19,18,24,20,9,9.470125427891615,141.32637600000004,39.35074651428573,0.27843879980539316,-9.47012542789161,0.07136173864796558
all_settled,1.5,20,15,14,16,28,10,-20.069816390290214,100.00461600000001,68.89068833246756,0.6888750848507588,20.06981639029022,0.4817980236933312
all_settled,2.0,16,13,11,12,32,13,-8.38603546721329,83.18052,57.206907409390624,0.6877440464352786,8.386035467213283,0.48066698527785107
forward_2026-06-21_to_2026-06-26,0.0,4,3,4,3,0,0,0.0,18.467510400000002,3.150001089361706,0.17056988306131973,0.0,0.0
forward_2026-06-21_to_2026-06-26,0.1,4,3,4,3,0,0,0.0,18.467510400000002,3.150001089361706,0.17056988306131973,0.0,0.0
forward_2026-06-21_to_2026-06-26,0.25,3,2,3,2,1,1,5.216001089361705,13.842,-2.065999999999999,-0.14925588787747426,-5.216001089361705,-0.319825770938794
forward_2026-06-21_to_2026-06-26,0.5,2,2,2,1,2,2,11.692801089361707,8.5428,-8.5428,-1.0,-11.692801089361705,-1.1705698830613198
forward_2026-06-21_to_2026-06-26,0.75,2,2,2,1,2,2,11.692801089361707,8.5428,-8.5428,-1.0,-11.692801089361705,-1.1705698830613198
forward_2026-06-21_to_2026-06-26,1.0,2,2,2,1,2,2,11.692801089361707,8.5428,-8.5428,-1.0,-11.692801089361705,-1.1705698830613198
forward_2026-06-21_to_2026-06-26,1.5,2,2,2,1,2,2,11.692801089361707,8.5428,-8.5428,-1.0,-11.692801089361705,-1.1705698830613198
forward_2026-06-21_to_2026-06-26,2.0,2,2,2,1,2,2,11.692801089361707,8.5428,-8.5428,-1.0,-11.692801089361705,-1.1705698830613198
