rows,dates,cities,wins,win_rate,avg_ask,avg_weight,avg_cost_usd,cost_usd,pnl_usd,roi,daily_negative_100pct,evidence_layer,window,cap_mode,base_notional_usd,daily_cap_usd
75,31,26,35,0.4666666666666667,0.3441733333333334,0.5392961546666668,2.6964807733333336,202.236058,104.64225515318374,0.5174262996818487,11,frozen_live_like_route_price,all,no_daily_cap_signal_quality,5.0,
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,10.792228000000001,7.503214890915233,0.6952424365863316,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_daily_cap_signal_quality,5.0,
42,31,22,20,0.47619047619047616,0.3348095238095238,0.47715189523809526,2.3857594761904766,100.20189800000001,29.724517264730345,0.2966462498018784,13,frozen_live_like_route_price,all,daily_cap_equals_baseN_live_like,5.0,5.0
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,10.792228000000001,7.503214890915233,0.6952424365863316,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_equals_baseN_live_like,5.0,5.0
42,31,22,20,0.47619047619047616,0.3348095238095238,0.47715189523809526,2.3857594761904766,100.20189800000001,29.724517264730345,0.2966462498018784,13,frozen_live_like_route_price,all,daily_cap_fixed5_diagnostic,5.0,5.0
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,10.792228000000001,7.503214890915233,0.6952424365863316,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_fixed5_diagnostic,5.0,5.0
86,33,27,39,0.45348837209302323,0.3558488372093023,0.5229000325581397,3.137400195348838,269.81641680000007,121.30049498148077,0.4495667699545283,11,frozen_live_like_route_price,all,no_daily_cap_signal_quality,6.0,
6,4,5,3,0.5,0.3733333333333333,0.44543693333333345,2.6726216000000007,16.035729600000003,5.918801869098278,0.3691008776487648,1,frozen_live_like_route_price,forward_2026-06-21_plus,no_daily_cap_signal_quality,6.0,
46,33,20,21,0.45652173913043476,0.34895652173913044,0.4550050173913043,2.730030104347826,125.5813848,30.557591845817267,0.24332899254521734,14,frozen_live_like_route_price,all,daily_cap_equals_baseN_live_like,6.0,6.0
6,4,5,3,0.5,0.3733333333333333,0.44543693333333345,2.6726216000000007,16.035729600000003,5.918801869098278,0.3691008776487648,1,frozen_live_like_route_price,forward_2026-06-21_plus,daily_cap_equals_baseN_live_like,6.0,6.0
41,33,19,18,0.43902439024390244,0.3434634146341463,0.4487358439024391,2.692415063414634,110.3890176,29.89214335336032,0.270789105685096,16,frozen_live_like_route_price,all,daily_cap_fixed5_diagnostic,6.0,5.0
