evidence_layer,window,base_notional_usd,incremental_rows_vs_base5,dates,cities,win_rate,cost_usd,pnl_usd,roi,route_mix,loss_cities
frozen_live_like_route_price,all,6.0,11,10,10,0.36363636363636365,27.133147200000007,-4.27021120233972,-0.15737987085920202,"capped_d2_no:2,fresh_runway_current_no:9","Ankara,Busan,Chongqing,Istanbul,Lucknow,Manila,TelAviv"
frozen_live_like_route_price,forward_2026-06-21_plus,6.0,1,1,1,0.0,3.0850560000000007,-3.0850560000000007,-1.0,fresh_runway_current_no:1,Chongqing
frozen_live_like_route_price,all,7.5,24,18,18,0.4583333333333333,66.71791560000001,1.6292514874569015,0.024419999827705968,"capped_d2_no:4,cheap_stale_tail_current_no:1,false_fade_reheat_current_no:2,fresh_runway_current_no:17","Amsterdam,Ankara,Ankara,Busan,Chengdu,Chongqing,Istanbul,Karachi,Lucknow,Manila,TelAviv,TelAviv,Tokyo"
frozen_live_like_route_price,forward_2026-06-21_plus,7.5,2,2,2,0.0,6.7954560000000015,-6.7954560000000015,-1.0,fresh_runway_current_no:2,"Chongqing,Karachi"
frozen_live_like_route_price,all,8.0,26,18,19,0.46153846153846156,76.09057664000001,1.8383743757363407,0.0241603422777838,"capped_d2_no:6,cheap_stale_tail_current_no:1,false_fade_reheat_current_no:2,fresh_runway_current_no:17","Amsterdam,Ankara,Ankara,Busan,Chengdu,Chongqing,Istanbul,Karachi,Lucknow,Manila,Munich,TelAviv,TelAviv,Tokyo"
frozen_live_like_route_price,forward_2026-06-21_plus,8.0,2,2,2,0.0,7.248486400000002,-7.248486400000002,-1.0,fresh_runway_current_no:2,"Chongqing,Karachi"
frozen_live_like_route_price,all,10.0,39,26,21,0.5384615384615384,131.80894220000002,17.317358611070553,0.1313822743891996,"capped_d2_no:9,cheap_stale_tail_current_no:1,false_fade_reheat_current_no:9,fresh_runway_current_no:20","Amsterdam,Ankara,Ankara,Atlanta,Busan,Chengdu,Chongqing,Helsinki,Istanbul,Karachi,Lucknow,Manila,Munich,TelAviv,TelAviv,TelAviv,TelAviv,Tokyo"
frozen_live_like_route_price,forward_2026-06-21_plus,10.0,4,4,3,0.25,15.274822400000001,-9.155986036363638,-0.5994168571389502,"false_fade_reheat_current_no:1,fresh_runway_current_no:3","Chongqing,Karachi,TelAviv"
frozen_live_like_route_price,all,12.0,50,29,24,0.46,189.47002056000002,0.057109958234716096,0.0003014194966882949,"capped_d2_no:15,cheap_stale_tail_current_no:2,false_fade_reheat_current_no:10,fresh_runway_current_no:23","Amsterdam,Ankara,Ankara,Atlanta,BuenosAires,Busan,Busan,CapeTown,Chengdu,Chongqing,Helsinki,Istanbul,Karachi,Karachi,Lucknow,Manila,Munich,Munich,Munich,SaoPaulo,Singapore,TelAviv,TelAviv,TelAviv,TelAviv,TelAviv,Tokyo"
frozen_live_like_route_price,forward_2026-06-21_plus,12.0,5,5,4,0.2,20.888998080000004,-13.546394443636366,-0.648494216513249,"capped_d2_no:1,false_fade_reheat_current_no:1,fresh_runway_current_no:3","Chongqing,Karachi,Singapore,TelAviv"
frozen_live_like_route_price,all,15.0,65,31,28,0.49230769230769234,283.4374992,3.474558529910531,0.012258640933953496,"capped_d2_no:24,cheap_stale_tail_current_no:3,false_fade_reheat_current_no:15,fresh_runway_current_no:23","Amsterdam,Ankara,Ankara,Atlanta,BuenosAires,Busan,Busan,CapeTown,Chengdu,Chongqing,Helsinki,Istanbul,Karachi,Karachi,Karachi,Karachi,Lucknow,Manila,Munich,Munich,Munich,SaoPaulo,Shanghai,Singapore,Taipei,TelAviv,TelAviv,TelAviv,TelAviv,TelAviv,TelAviv,Tokyo,Wuhan"
frozen_live_like_route_price,forward_2026-06-21_plus,15.0,6,5,5,0.3333333333333333,29.52920760000001,-14.838114344868039,-0.502489418133524,"capped_d2_no:1,false_fade_reheat_current_no:2,fresh_runway_current_no:3","Chongqing,Karachi,Singapore,TelAviv"
historical_best_ask_diagnostic,all,6.0,12,11,10,0.3333333333333333,30.813403200000003,-7.95046720233972,-0.2580197698623474,"capped_d2_no:2,fresh_runway_current_no:10","Ankara,Busan,Chongqing,Lucknow,Lucknow,Manila,SanFrancisco,TelAviv"
