rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,component_value,evidence_layer,component
37,22,15,20,0.5405405405405406,0.5397297297297299,0.2325175297297297,8.603148599999999,0.8717815970610576,0.10133285353934927,-0.21910340246259183,0.4239443928307586,6,capped_d2_no,frozen_live_like_route_price,router_route
8,8,7,3,0.375,0.267875,0.15075,1.206,1.3787792207792204,1.1432663522215758,-0.8321203133864261,2.8077037317913227,5,cheap_stale_tail_current_no,frozen_live_like_route_price,router_route
28,17,21,17,0.6071428571428571,0.47967857142857134,0.28158553428571437,7.884394960000002,5.540802511837244,0.70275557477111,0.18666010693201648,1.1499802260371592,6,false_fade_reheat_current_no,frozen_live_like_route_price,router_route
90,32,26,36,0.4,0.3834666666666667,0.49850746311111127,44.86567168000001,12.740767980291713,0.2839758662516854,-0.0956818493582799,0.667891139503156,13,fresh_runway_current_no,frozen_live_like_route_price,router_route
8,8,7,3,0.375,0.267875,0.15075,1.206,1.3787792207792204,1.1432663522215758,-0.8321203133864261,2.8077037317913227,5,0.3,frozen_live_like_route_price,score_route_mult
37,22,15,20,0.5405405405405406,0.5397297297297299,0.2325175297297297,8.603148599999999,0.8717815970610576,0.10133285353934927,-0.21910340246259183,0.4239443928307586,6,0.45,frozen_live_like_route_price,score_route_mult
28,17,21,17,0.6071428571428571,0.47967857142857134,0.28158553428571437,7.884394960000002,5.540802511837244,0.70275557477111,0.18666010693201648,1.1499802260371592,6,0.65,frozen_live_like_route_price,score_route_mult
90,32,26,36,0.4,0.3834666666666667,0.49850746311111127,44.86567168000001,12.740767980291713,0.2839758662516854,-0.0956818493582799,0.667891139503156,13,0.8,frozen_live_like_route_price,score_route_mult
2,2,2,2,1.0,0.65,0.295568,0.591136,0.3183039999999999,0.5384615384615383,,,0,0.56,frozen_live_like_route_price,score_price_mult
1,1,1,0,0.0,0.638,0.06708416000000002,0.06708416000000002,-0.06708416000000002,-1.0,,,1,0.586,frozen_live_like_route_price,score_price_mult
4,4,4,2,0.5,0.62,0.18056187500000004,0.7222475000000002,-0.059394274193548424,-0.08223534756928672,-1.0,0.6129032258064516,2,0.626,frozen_live_like_route_price,score_price_mult
1,1,1,1,1.0,0.612,0.26104416,0.26104416,0.16549858509803922,0.6339869281045751,,,0,0.644,frozen_live_like_route_price,score_price_mult
3,3,3,1,0.3333333333333333,0.61,0.23868000000000003,0.7160400000000001,-0.4053186885245902,-0.5660559305689489,-1.0,0.639344262295082,2,0.648,frozen_live_like_route_price,score_price_mult
7,6,5,5,0.7142857142857143,0.6,0.19390757142857146,1.3573530000000003,0.33004200000000006,0.2431511920627869,-0.21662669864108716,0.6666666666666667,1,0.67,frozen_live_like_route_price,score_price_mult
1,1,1,0,0.0,0.587,0.11352250000000003,0.11352250000000003,-0.11352250000000003,-1.0,,,1,0.699,frozen_live_like_route_price,score_price_mult
5,4,5,3,0.6,0.58,0.2210901,1.1054505000000001,0.13235467241379312,0.11972917142268523,-1.0,0.7241379310344828,2,0.714,frozen_live_like_route_price,score_price_mult
1,1,1,1,1.0,0.572,0.34999744000000005,0.34999744000000005,0.26188619636363647,0.7482517482517484,,,0,0.732,frozen_live_like_route_price,score_price_mult
2,2,2,2,1.0,0.57,0.21528000000000003,0.43056000000000005,0.32480842105263164,0.7543859649122807,,,0,0.736,frozen_live_like_route_price,score_price_mult
1,1,1,0,0.0,0.562,0.11266319999999998,0.11266319999999998,-0.11266319999999998,-1.0,,,1,0.754,frozen_live_like_route_price,score_price_mult
5,4,4,2,0.4,0.56,0.22382982,1.1191491,-0.3906569571428572,-0.3490660512909828,-1.0,0.2592654986522909,2,0.758,frozen_live_like_route_price,score_price_mult
10,9,7,4,0.4,0.55,0.3184818,3.184818,-0.026243454545454875,-0.00824017402107589,-0.6663760646819282,0.4490950409366754,5,0.78,frozen_live_like_route_price,score_price_mult
1,1,1,1,1.0,0.54,0.3252912,0.3252912,0.2770999111111111,0.8518518518518517,,,0,0.802,frozen_live_like_route_price,score_price_mult
5,5,4,2,0.4,0.53,0.42215168,2.1107584,-0.6609848150943398,-0.3131503894971304,-1.0,0.6488767745317939,3,0.824,frozen_live_like_route_price,score_price_mult
3,3,3,3,1.0,0.52,0.35609550000000006,1.0682865000000001,0.9861106153846155,0.9230769230769231,0.9230769230769228,0.9230769230769232,0,0.846,frozen_live_like_route_price,score_price_mult
