evidence_layer,target_date,city,router_route,router_ask,router_payoff,score_deployed_weight,score_all_expr_city_bias_weight,score_no_price_weight,score_route_mult,score_price_mult,score_peak_mult,score_freshness_mult,score_momentum_mult,score_weather_mult,score_deployed_city_bias_mult,score_all_expr_city_bias_mult,city_source_bias_regime,score_recompute_abs_diff
frozen_live_like_route_price,2026-05-20,Beijing,fresh_runway_current_no,0.27,0.0,0.32000000000000006,0.24000000000000005,0.32000000000000006,0.8,1.0,0.5,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-05-20,Jeddah,false_fade_reheat_current_no,0.587,0.0,0.11352250000000003,0.130550875,0.1625,0.65,0.6986000000000001,0.5,1.0,0.5,1.0,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-20,Lucknow,fresh_runway_current_no,0.15,1.0,0.6400000000000001,0.4160000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-05-20,Shanghai,cheap_stale_tail_current_no,0.22,1.0,0.23399999999999999,0.26909999999999995,0.23399999999999999,0.3,1.0,1.0,1.0,1.0,0.78,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-20,Singapore,capped_d2_no,0.62,0.0,0.15380820000000003,0.15380820000000003,0.24570000000000006,0.45,0.626,1.0,1.0,1.0,0.8400000000000001,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-21,Guangzhou,false_fade_reheat_current_no,0.65,1.0,0.22713600000000003,0.19306560000000003,0.4056,0.65,0.5599999999999999,1.0,1.0,0.8,0.78,1.0,0.85,hot_underforecast_noisy,0.0
frozen_live_like_route_price,2026-05-21,Jeddah,capped_d2_no,0.6,1.0,0.19597500000000004,0.19597500000000004,0.29250000000000004,0.45,0.67,1.0,1.0,1.0,1.0,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-21,Manila,capped_d2_no,0.6,0.0,0.17637750000000002,0.17637750000000002,0.26325000000000004,0.45,0.67,1.0,1.0,1.0,0.9,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-05-21,Munich,capped_d2_no,0.56,0.0,0.25582499999999997,0.25582499999999997,0.3375,0.45,0.7579999999999999,1.0,1.0,1.0,1.0,0.75,0.75,hot_underforecast_noisy,0.0
frozen_live_like_route_price,2026-05-21,TelAviv,false_fade_reheat_current_no,0.58,0.0,0.19956300000000005,0.15965040000000005,0.2795,0.65,0.7140000000000001,1.0,1.0,0.5,0.8600000000000001,1.0,0.8,mild_or_mixed,0.0
