rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,score_ratio_bin,evidence_layer,window
49,25,24,20,0.40816326530612246,0.5334489795918367,0.1822675391836735,8.931109420000002,-2.128055581774565,-0.23827449443280527,-0.48796894433921717,0.03753930697004181,9,<0.5,frozen_live_like_route_price,all
25,20,16,14,0.56,0.47404,0.2982508408,7.456271020000001,1.1817630216386474,0.15849249825667514,-0.27040084605053927,0.5309329549986832,9,0.5-0.8,frozen_live_like_route_price,all
15,12,13,7,0.4666666666666667,0.4235333333333333,0.38830821333333343,5.824623200000001,0.44997283946840716,0.07725355340898396,-0.386302691614036,0.648909702349087,5,0.8-1.0,frozen_live_like_route_price,all
17,14,13,9,0.5294117647058824,0.3659411764705882,0.39821150588235305,6.7695956000000015,2.9421622034022716,0.4346141745013943,-0.3219466916253074,1.2119690346310625,7,1.0-1.2,frozen_live_like_route_price,all
26,19,16,12,0.46153846153846156,0.41084615384615386,0.5642252307692308,14.669856000000001,1.699208832183817,0.11582995989761705,-0.28691163083820576,0.6084725246116711,7,1.2-1.5,frozen_live_like_route_price,all
31,16,18,14,0.45161290322580644,0.2841935483870967,0.6099277419354842,18.90776000000001,16.387079995050655,0.8666854241354156,0.15754224962668448,1.550948137938348,7,>=1.5,frozen_live_like_route_price,all
5,4,5,2,0.4,0.5216000000000001,0.14876415199999998,0.74382076,-0.08096753419354835,-0.1088535552483751,-1.0,0.6129032258064516,2,<0.5,frozen_live_like_route_price,forward_2026-06-21_plus
3,3,2,1,0.3333333333333333,0.5303333333333334,0.3377687466666668,1.0133062400000004,-0.40142260363636373,-0.396151319107996,-1.0,0.7482517482517484,2,0.5-0.8,frozen_live_like_route_price,forward_2026-06-21_plus
1,1,1,0,0.0,0.53,0.5141760000000001,0.5141760000000001,-0.5141760000000001,-1.0,,,1,0.8-1.0,frozen_live_like_route_price,forward_2026-06-21_plus
2,2,2,1,0.5,0.38,0.4032228000000001,0.8064456000000002,0.287055676595745,0.3559516929545464,,,1,1.0-1.2,frozen_live_like_route_price,forward_2026-06-21_plus
2,2,2,2,1.0,0.33,0.4264,0.8528,1.7127873015873014,2.008427886476667,,,0,1.2-1.5,frozen_live_like_route_price,forward_2026-06-21_plus
1,1,1,0,0.0,0.29,0.4992000000000001,0.4992000000000001,-0.4992000000000001,-1.0,,,1,>=1.5,frozen_live_like_route_price,forward_2026-06-21_plus
136,38,33,77,0.5661764705882353,0.6247426470588235,0.18860829455882352,25.65072806,-2.8088211663241043,-0.10950259032624528,-0.26860499618830413,0.049571549576010815,5,<0.5,historical_best_ask_diagnostic,all
57,28,25,33,0.5789473684210527,0.5531052631578947,0.34934538631578954,19.912687020000003,0.2919635152996803,0.014662185721416528,-0.21842865404737485,0.25614903601481903,6,0.5-0.8,historical_best_ask_diagnostic,all
17,14,13,7,0.4117647058823529,0.4378235294117647,0.4016470117647059,6.827999200000001,-0.5534031605315929,-0.081049095689934,-0.5118614547942996,0.4171022638648342,7,0.8-1.0,historical_best_ask_diagnostic,all
17,14,13,9,0.5294117647058824,0.3676470588235294,0.3997362117647059,6.795515600000001,2.9681694761295443,0.4367835571048566,-0.33942965372148554,1.1653241305500985,7,1.0-1.2,historical_best_ask_diagnostic,all
23,15,15,10,0.43478260869565216,0.4083478260869566,0.561687652173913,12.918816,0.8707847576525106,0.06740437805233163,-0.34448704609440745,0.5763546327898161,5,1.2-1.5,historical_best_ask_diagnostic,all
33,19,21,17,0.5151515151515151,0.2796969696969697,0.6114593939393941,20.178160000000005,21.64367901753355,1.0726289719941533,0.36854120714520455,1.6958624373632125,8,>=1.5,historical_best_ask_diagnostic,all
15,6,12,6,0.4,0.624,0.16889681933333334,2.53345229,-1.1281069135987594,-0.4452844515965838,-0.7561754289425271,-0.03612767186973445,2,<0.5,historical_best_ask_diagnostic,forward_2026-06-21_plus
9,5,7,5,0.5555555555555556,0.5834444444444444,0.36729180444444454,3.305626240000001,-0.22800122851691512,-0.06897368666728489,-0.5333842389678561,0.4783946853460362,1,0.5-0.8,historical_best_ask_diagnostic,forward_2026-06-21_plus
2,2,2,0,0.0,0.465,0.45208800000000005,0.9041760000000001,-0.9041760000000001,-1.0,,,2,0.8-1.0,historical_best_ask_diagnostic,forward_2026-06-21_plus
2,2,2,1,0.5,0.38,0.4032228000000001,0.8064456000000002,0.287055676595745,0.3559516929545464,,,1,1.0-1.2,historical_best_ask_diagnostic,forward_2026-06-21_plus
1,1,1,1,1.0,0.21,0.26399999999999996,0.26399999999999996,0.9931428571428569,3.7619047619047614,,,0,1.2-1.5,historical_best_ask_diagnostic,forward_2026-06-21_plus
2,2,2,1,0.5,0.3,0.5248000000000002,1.0496000000000003,0.7258838709677424,0.691581431943352,,,1,>=1.5,historical_best_ask_diagnostic,forward_2026-06-21_plus
