rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,window,variant,weight_col,threshold,cap_mode,rank_auc_score_ratio
105,36,30,51,0.4857142857142857,0.37493333333333334,0.48726306971428585,51.16262232000001,22.383994188778324,0.4375067808052556,0.07150716200635762,0.7937085831980993,10,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,0.6,no_daily_cap,0.5472625529340592
58,36,24,28,0.4827586206896552,0.3676551724137931,0.42310038482758616,24.53982232,6.073211448056264,0.24748392098611838,-0.08358134751865949,0.5824852937020669,12,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,0.6,daily_cap_weight_1,0.5472625529340592
89,33,27,42,0.47191011235955055,0.3602921348314607,0.5187846606741574,46.171834800000006,21.478423870105154,0.4651845429825793,0.08613458782561516,0.821467075319342,11,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,0.8,no_daily_cap,0.5472625529340592
47,33,20,22,0.46808510638297873,0.3532340425531914,0.4548832085106383,21.3795108,5.460524701575604,0.2554092445172134,-0.11181926939112183,0.6207667286390267,13,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,0.8,daily_cap_weight_1,0.5472625529340592
75,31,26,35,0.4666666666666667,0.3441733333333334,0.5392961546666668,40.44721160000001,20.928451030636744,0.5174262996818485,0.08753926472792206,0.9250687987510087,11,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.0,no_daily_cap,0.5472625529340592
42,31,22,20,0.47619047619047616,0.3348095238095238,0.47715189523809526,20.0403796,5.944903452946067,0.29664624980187837,-0.1188848887861961,0.6994864621025869,13,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.0,daily_cap_weight_1,0.5472625529340592
57,26,22,26,0.45614035087719296,0.3419649122807017,0.5890809824561405,33.577616000000006,18.086288827234476,0.5386412432387836,0.06754681860977606,1.007639966590365,9,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.2,no_daily_cap,0.5472625529340592
29,26,17,14,0.4827586206896552,0.3224827586206896,0.5439332413793104,15.774064000000003,8.074173893221959,0.5118638984361897,-0.11091052770902259,1.2229984068781918,12,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.2,daily_cap_weight_1,0.5472625529340592
31,16,18,14,0.45161290322580644,0.2841935483870967,0.6099277419354842,18.90776000000001,16.387079995050655,0.8666854241354156,0.15754224962668448,1.550948137938348,7,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.5,no_daily_cap,0.5472625529340592
17,16,12,6,0.35294117647058826,0.27999999999999997,0.5776329411764706,9.81976,4.0985280112042535,0.4173755785481777,-0.47809799089294797,1.4373098897298069,10,frozen_live_like_route_price,all,deployed_score,score_deployed_weight,1.5,daily_cap_weight_1,0.5472625529340592
55,24,23,26,0.4727272727272727,0.34185454545454547,0.4960197032727274,27.281083680000005,15.498232139388373,0.5680944467301443,0.10540479461073435,1.025626877889072,9,frozen_live_like_route_price,all,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,no_daily_cap,0.5530852994555354
32,24,16,15,0.46875,0.329125,0.47966020000000004,15.349126400000001,7.400220243695008,0.4821264774844129,-0.13306162785544487,1.1829827944806293,12,frozen_live_like_route_price,all,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,daily_cap_weight_1,0.5530852994555354
83,32,27,39,0.46987951807228917,0.36268674698795184,0.5522868674698796,45.83981000000001,20.589332796613483,0.4491583363153879,0.06269923261750714,0.8409124108494349,11,frozen_live_like_route_price,all,no_price_mult,score_no_price_weight,1.0,no_daily_cap,0.5707803992740472
44,32,21,20,0.45454545454545453,0.34640909090909094,0.4834284090909092,21.270850000000003,4.345186688310556,0.20427893987831025,-0.15725254386754978,0.5825114957932627,13,frozen_live_like_route_price,all,no_price_mult,score_no_price_weight,1.0,daily_cap_weight_1,0.5707803992740472
94,32,28,42,0.44680851063829785,0.3602340425531915,0.6185784255319149,58.146372,24.172649326306555,0.41572068032561954,-0.006082072451741191,0.8311013996228956,11,frozen_live_like_route_price,all,no_peak_mult,score_no_peak_weight,1.0,no_daily_cap,0.4827586206896552
37,32,16,17,0.4594594594594595,0.3514054054054054,0.5523990270270271,20.438764000000006,3.537614072589699,0.17308356183327417,-0.25608353965425307,0.6163140668929931,16,frozen_live_like_route_price,all,no_peak_mult,score_no_peak_weight,1.0,daily_cap_weight_1,0.4827586206896552
75,31,26,35,0.4666666666666667,0.3441733333333334,0.5392961546666668,40.44721160000001,20.928451030636744,0.5174262996818485,0.08753926472792206,0.9250687987510087,11,frozen_live_like_route_price,all,no_freshness_mult,score_no_freshness_weight,1.0,no_daily_cap,0.5472625529340592
42,31,22,20,0.47619047619047616,0.3348095238095238,0.47715189523809526,20.0403796,5.944903452946067,0.29664624980187837,-0.1188848887861961,0.6994864621025869,13,frozen_live_like_route_price,all,no_freshness_mult,score_no_freshness_weight,1.0,daily_cap_weight_1,0.5472625529340592
87,32,28,39,0.4482758620689655,0.3543218390804597,0.5774379264367818,50.237099600000015,21.077633070234587,0.41956309655732155,0.049120225551527584,0.8206292527923718,11,frozen_live_like_route_price,all,no_momentum_mult,score_no_momentum_weight,1.0,no_daily_cap,0.5269207501512402
40,32,21,18,0.45,0.334375,0.5246434900000001,20.985739600000002,5.2914594664646835,0.2521454839011098,-0.1756069837886436,0.7254765280164066,16,frozen_live_like_route_price,all,no_momentum_mult,score_no_momentum_weight,1.0,daily_cap_weight_1,0.5269207501512402
78,32,26,36,0.46153846153846156,0.3450384615384615,0.5752755897435897,44.871496,21.629328664026456,0.4820282493818895,0.07725592968028862,0.8896877941717234,11,frozen_live_like_route_price,all,no_weather_mult,score_no_weather_weight,1.0,no_daily_cap,0.5489261947973382
43,32,22,20,0.46511627906976744,0.33376744186046514,0.5073259534883722,21.815016000000004,6.542899410321093,0.29992640896165706,-0.08295746908279965,0.7006743493103543,13,frozen_live_like_route_price,all,no_weather_mult,score_no_weather_weight,1.0,daily_cap_weight_1,0.5489261947973382
8,5,5,4,0.5,0.41400000000000003,0.4268129800000001,3.414503840000001,0.8564683745466828,0.2508324531703214,-0.2962989181417968,0.6083701016914405,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.6,no_daily_cap,0.5833333333333334
8,5,5,4,0.5,0.41400000000000003,0.4268129800000001,3.414503840000001,0.8564683745466828,0.2508324531703214,-0.2962989181417968,0.6083701016914405,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.6,daily_cap_weight_1,0.5833333333333334
6,4,5,3,0.5,0.3733333333333333,0.44543693333333345,2.6726216000000007,0.9864669781830464,0.36910087764876487,-0.44997921541702274,0.8938048707079512,1,frozen_live_like_route_price,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.8,no_daily_cap,0.5833333333333334
