policy,rows_seen,traded_rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,worst_day_pnl_usd,best_day_pnl_usd,evidence_layer,window
pre_patch_weighted,163,163,37,34,76,0.4662576687116564,0.42979141104294477,0.40693364809815963,331.6509232000001,102.76811861049158,0.3098683327002768,0.034096134751077346,0.5942618933636128,5,-12.622000000000002,28.21256459948321,frozen_live_like_route_price,all
v4_weighted_no_min5,163,127,34,31,56,0.4409448818897638,0.42899212598425185,0.4210143329133858,267.34410140000006,68.06274788676384,0.2545885528438438,-0.07489705057715769,0.5697842646784546,5,-12.359500000000002,23.565064599483208,frozen_live_like_route_price,all
v4_executable_min5,163,65,29,24,27,0.4153846153846154,0.35158461538461533,0.5639332553846155,183.27830800000004,71.53731314691414,0.39032067639403417,-0.042798184416138176,0.8274123631357886,11,-11.152000000000003,24.12506459948321,frozen_live_like_route_price,all
pre_patch_weighted,14,14,6,10,6,0.42857142857142855,0.4599285714285714,0.3429057142857144,24.00340000000001,1.4608481695076054,0.06086005188879929,-0.35449745500873947,0.4717465008926959,1,-3.154827096774194,3.258108479262672,frozen_live_like_route_price,forward_2026-06-21_plus
v4_weighted_no_min5,14,9,4,7,3,0.3333333333333333,0.4643333333333334,0.3853670000000001,17.341515000000005,-3.8551331689926034,-0.2223065959919074,-0.7988080664884375,0.2007339144711148,1,-3.8531200000000005,1.0693842222222223,frozen_live_like_route_price,forward_2026-06-21_plus
v4_executable_min5,14,4,3,4,2,0.5,0.375,0.47361140000000007,9.472228000000001,2.537500605200947,0.2678884635379286,-1.0,1.1276595744680848,1,-2.4960000000000004,2.8977783829787245,frozen_live_like_route_price,forward_2026-06-21_plus
pre_patch_weighted,149,149,31,34,70,0.4697986577181208,0.4269597315436242,0.41294969557046984,307.6475232,101.30727044098396,0.3292965579154838,0.03487082153523924,0.6337290003016502,4,-12.622000000000002,28.21256459948321,frozen_live_like_route_price,train_to_2026_06_20
v4_weighted_no_min5,149,118,30,30,53,0.4491525423728814,0.42629661016949144,0.4237331972881357,250.00258640000004,71.91788105575647,0.2876685481192944,-0.05153786472164297,0.6227402838020218,4,-12.359500000000002,23.565064599483208,frozen_live_like_route_price,train_to_2026_06_20
v4_executable_min5,149,61,26,22,25,0.4098360655737705,0.35004918032786886,0.5698560000000003,173.80608000000007,68.9998125417132,0.39699308874415196,-0.06368102890397549,0.8450410112191473,10,-11.152000000000003,24.12506459948321,frozen_live_like_route_price,train_to_2026_06_20
pre_patch_weighted,283,283,38,35,153,0.5406360424028268,0.5258197879858658,0.34349406169611313,486.0440973000001,112.80728526112632,0.23209269670751395,0.03742550623279322,0.4265998776105896,1,-9.570082608695653,33.81052214186668,historical_best_ask_diagnostic,all
v4_weighted_no_min5,283,243,38,34,131,0.5390946502057613,0.5377489711934157,0.3337467589300412,405.50231210000004,82.62256539030027,0.20375362340702238,-0.010948880902316683,0.4230596614710617,2,-9.436407826086958,28.775264516448615,historical_best_ask_diagnostic,all
v4_executable_min5,283,64,30,23,29,0.453125,0.34534374999999995,0.5666147125000001,181.316708,98.09925455333875,0.5410381405851399,0.08111548678732412,0.9686563090062364,10,-9.201600000000003,28.00441625557905,historical_best_ask_diagnostic,all
pre_patch_weighted,31,31,6,17,14,0.45161290322580644,0.5519677419354839,0.2911700800000001,45.131362400000015,-1.3747672284995822,-0.03046146084213008,-0.20658201399143278,0.1275332839280973,1,-1.6853145654958506,2.3428046276497696,historical_best_ask_diagnostic,forward_2026-06-21_plus
v4_weighted_no_min5,31,25,6,16,11,0.44,0.5676,0.28944878120000006,36.181097650000005,-5.932386145524222,-0.16396368631243616,-0.4308366741701167,-0.037927950525196936,2,-2.0543806258064516,0.6239767411876791,historical_best_ask_diagnostic,forward_2026-06-21_plus
v4_executable_min5,31,4,3,4,2,0.5,0.33999999999999997,0.46401140000000013,9.280228000000003,5.064697737817436,0.5457514338890633,-1.0,1.1276595744680848,1,-2.4960000000000004,4.662919354838712,historical_best_ask_diagnostic,forward_2026-06-21_plus
pre_patch_weighted,252,252,32,35,139,0.5515873015873016,0.5226031746031747,0.349930741984127,440.91273490000003,114.18205248962593,0.25896746329071824,0.050231261561240206,0.4683679683432821,0,-9.570082608695653,33.81052214186668,historical_best_ask_diagnostic,train_to_2026_06_20
v4_weighted_no_min5,252,218,32,34,120,0.5504587155963303,0.5343256880733945,0.3388268022477065,369.32121445000007,88.55495153582451,0.23977759216378125,0.010596315193074853,0.47157190690905987,0,-9.436407826086958,28.775264516448615,historical_best_ask_diagnostic,train_to_2026_06_20
v4_executable_min5,252,60,27,21,27,0.45,0.3457,0.5734549333333334,172.03648000000004,93.03455681552131,0.5407838896466685,0.07628262017384646,1.0078868925600115,9,-9.201600000000003,28.00441625557905,historical_best_ask_diagnostic,train_to_2026_06_20
