mechanism,expression,rows,dates,cities,support,avg_ask,win_rate,roi,roi_ci_low,roi_ci_high,top5_removed_roi,recent_rows,recent_roi,complement_roi,roi_delta_vs_complement
all_labeled_states,current_yes,11398,46,36,support_ok,0.6203468152307422,0.6040533426917003,-0.05582713280242095,-0.2048597301632795,0.12509096374990375,-0.17902668243792919,2491,-0.03850110936360982,,
all_labeled_states,current_bracket_no,11699,45,36,support_ok,0.36418779382853234,0.34156765535515854,-0.42885875371105625,-0.4853373442937008,-0.3660834474726921,-0.4584034725515047,2503,-0.44643815048174595,,
all_labeled_states,d1_no,11168,46,36,support_ok,0.8267708631805158,0.8101719197707736,-0.039703575685127765,-0.05104888730299238,-0.02849042413214016,-0.04531191800223186,2488,-0.05722275936138821,,
all_labeled_states,d2_no,9517,46,36,support_ok,0.8711688557318481,0.8510034674792477,-0.02911141041829547,-0.044336077940219785,-0.010692937910550922,-0.037030476398878215,2076,-0.037373223529462846,,
trend3h_cooling_lt_neg0_5,current_yes,2613,46,36,support_ok,0.9723562954458476,0.969766551856104,-0.01165257640905906,-0.023139124611498155,-0.0008732483893742245,-0.015791455937842334,574,-0.026118753729155345,-0.06896636056062863,0.05731378415156957
trend3h_cooling_lt_neg0_5,current_bracket_no,3287,45,36,support_ok,0.03095892911469425,0.02372984484332218,-0.871255056888616,-0.9398505649646144,-0.7710026075582528,-0.9301196998661788,659,-0.8770604975325796,-0.25599181974236407,-0.615263237146252
trend3h_cooling_lt_neg0_5,d1_no,2204,46,36,support_ok,0.9696143375680579,0.9659709618874773,-0.016037709972907408,-0.027942953438220692,-0.005380623361039097,-0.018009426632746496,493,-0.019655724564835882,-0.04552235837474553,0.029484648401838124
trend3h_cooling_lt_neg0_5,d2_no,1164,46,36,support_ok,0.9729776632302404,0.9707903780068728,-0.013379266740939113,-0.02944879903437208,0.0010496931910535714,-0.016545928186094485,221,-0.018069497798856787,-0.031303702437982146,0.017924435697043033
trend3h_flat_abs_lt0_5,current_yes,1716,44,36,support_ok,0.8690291375291375,0.8642191142191142,0.26244949133708256,-0.062075361898213145,0.833049564170704,-0.032150281044614086,391,1.1612475172242147,-0.11223724300933974,0.3746867343464223
trend3h_flat_abs_lt0_5,current_bracket_no,1799,44,36,support_ok,0.15870817120622566,0.12784880489160644,-0.6245816964992135,-0.7704380200843814,-0.40379963044305744,-0.7276659708302717,403,-0.7887042226399961,-0.3932925341074306,-0.23128916239178288
trend3h_flat_abs_lt0_5,d1_no,1652,45,36,support_ok,0.8984685230024213,0.885593220338983,-0.03796439663069466,-0.07137914760614658,-0.007242891426051736,-0.04368872683268994,378,-0.04043156997275283,-0.040005501262883485,0.002041104632188824
trend3h_flat_abs_lt0_5,d2_no,1229,44,36,support_ok,0.9567811228641172,0.9536208299430431,-0.01106538637518739,-0.02803967947725971,0.005812290239583898,-0.014674732077331559,266,-0.01755142372147881,-0.03178739540248705,0.020722009027299655
trend3h_warming_ge0_5,current_yes,7035,46,36,support_ok,0.42788884150675194,0.4036958066808813,-0.14958499181019635,-0.34316411210846454,0.10148419417865517,-0.3129599139633726,1501,-0.35471476378892947,0.09535016220553236,-0.2449351540157287
trend3h_warming_ge0_5,current_bracket_no,6596,45,36,support_ok,0.5864176773802304,0.5585203153426319,-0.15464861188970205,-0.2160763026032531,-0.08026367900253935,-0.1919767340738712,1432,-0.15215191438246006,-0.783295378334543,0.628646766444841
trend3h_warming_ge0_5,d1_no,7268,46,36,support_ok,0.767661117226197,0.746147495872317,-0.04625769234181915,-0.06369358582352526,-0.029746244957759408,-0.054882048099648764,1579,-0.06770184329546221,-0.027489391105426992,-0.01876830123639216
trend3h_warming_ge0_5,d2_no,7060,46,36,support_ok,0.8405813031161474,0.8145892351274787,-0.034894985576743434,-0.05290975642580243,-0.011502222579906872,-0.04470986330487727,1531,-0.044513519761928064,-0.012492753267850761,-0.022402232308892673
trend3h_strong_warming_ge2,current_yes,5233,46,36,support_ok,0.3404020638257214,0.3132046627173705,-0.18857025542982406,-0.4338979031058963,0.13989900781832254,-0.4082949358152346,1118,-0.48770390201976743,0.05684841637993112,-0.24541867180975518
trend3h_strong_warming_ge2,current_bracket_no,4805,45,36,support_ok,0.6711544224765869,0.6493236212278877,-0.11240035928622598,-0.15901055851813883,-0.05783969136380904,-0.14820120367757647,1046,-0.06424537345488153,-0.6494248380178896,0.5370244787316637
trend3h_strong_warming_ge2,d1_no,5445,46,36,support_ok,0.7550782369146005,0.7388429752066116,-0.035179091788794845,-0.05653561718730849,-0.013792606989523294,-0.04668337540393296,1186,-0.07134628815957067,-0.044008278605891835,0.00882918681709699
trend3h_strong_warming_ge2,d2_no,5471,46,36,support_ok,0.8189612502284774,0.7861451288612685,-0.043327501957216026,-0.06508158963869354,-0.014764317270795888,-0.05600333894109574,1196,-0.04374687521530903,-0.009888415655706653,-0.03343908630150937
legacy_trend3h_positive_gt0,current_yes,7038,46,36,support_ok,0.4280473145780051,0.4036658141517477,-0.14980525950322968,-0.3432398930098453,0.10131723064209543,-0.3131106489636724,1501,-0.35471476378892947,0.09587425612425154,-0.24567951562748122
legacy_trend3h_positive_gt0,current_bracket_no,6599,45,36,support_ok,0.586260190938021,0.5585694802242764,-0.15390512138446572,-0.21558487708178317,-0.07916275028911642,-0.19121569703859562,1432,-0.15215191438246006,-0.7846271889508939,0.6307220675664282
legacy_trend3h_positive_gt0,d1_no,7272,46,36,support_ok,0.7677306105610561,0.746012101210121,-0.046506724135349196,-0.06413383002072828,-0.02983899951357439,-0.055126504103435635,1579,-0.06770184329546221,-0.02700529654498139,-0.019501427590367805
legacy_trend3h_positive_gt0,d2_no,7064,46,36,support_ok,0.8406557191392978,0.8146942242355606,-0.034858053072995505,-0.052853013032848895,-0.01149209739328829,-0.04466734301625453,1531,-0.044513519761928064,-0.012562578900643185,-0.022295474172352323
sustained_warming_1h3h,current_yes,4218,46,36,support_ok,0.3141813655761024,0.28402086296823137,-0.1923030456656047,-0.4583671424224506,0.16172848604828777,-0.4471663955365056,883,-0.4987179112112419,0.024347714057872807,-0.2166507597234775
sustained_warming_1h3h,current_bracket_no,3774,45,36,support_ok,0.6884814520402754,0.6727609962904081,-0.08122313078277067,-0.1366897888072681,-0.015702386207757577,-0.12381110580721726,822,-0.0337413801969257,-0.5944078819042866,0.513184751121516
sustained_warming_1h3h,d1_no,4411,46,36,support_ok,0.7519152119700749,0.734754024030832,-0.04495306763270009,-0.06693004060575654,-0.021845756151992066,-0.056159788495566465,950,-0.06870434175977523,-0.03627668372408861,-0.00867638390861148
sustained_warming_1h3h,d2_no,4442,46,36,support_ok,0.8155382710490771,0.7843313822602431,-0.03867259122136668,-0.06264607000204934,-0.0071256270499479015,-0.05428287979477378,970,-0.037037341201597435,-0.02074278674790289,-0.01792980447346379
one_hour_warm_without_3h,current_yes,314,45,35,support_ok,0.846012738853503,0.821656050955414,-0.06841574983191094,-0.14426279715243823,0.01949207237708407,-0.12696771386166697,68,-0.11871862432052221,-0.055470508321433964,-0.012945241510476976
one_hour_warm_without_3h,current_bracket_no,343,44,35,support_ok,0.172,0.16034985422740525,-0.6216854389103496,-0.7544520715598678,-0.4738405279115693,-0.7617545790631924,70,-0.6002009713774079,-0.42303455918628013,-0.19865087972406942
one_hour_warm_without_3h,d1_no,287,45,35,usable_but_watch_sample,0.8980696864111498,0.8780487804878049,-0.02143029394612929,-0.07857144375166986,0.039839680448123915,-0.046411547714115965,56,-0.06907289206537369,-0.04018555637248118,0.018755262426351893
one_hour_warm_without_3h,d2_no,223,44,35,usable_but_watch_sample,0.9402959641255605,0.9147982062780269,-0.04167524605963657,-0.090824326308545,1.889501190342367e-05,-0.05683623773772374,44,-0.054521194691797815,-0.02880995406494717,-0.012865291994689401
runway_sustained_warming,current_yes,3396,45,36,support_ok,0.25903857479387515,0.233510011778563,-0.11616530636964184,-0.513185580834666,0.42330758244471023,-0.45481426075171966,427,-0.5600164958650804,-0.030219979911358462,-0.08594532645828337
runway_sustained_warming,current_bracket_no,3067,44,36,support_ok,0.7468040430388001,0.7316596022171503,-0.05477484528488885,-0.1334073893580405,0.04893369023216681,-0.11242404373827529,397,0.009791813377044194,-0.5617729505533936,0.5069981052685048
runway_sustained_warming,d1_no,3627,45,36,support_ok,0.782936035290874,0.7706093189964157,-0.027651040208603195,-0.052441195532198746,-0.002841067674736041,-0.0400458379966552,466,-0.004166007823664297,-0.045500492032211,0.017849451823607806
runway_sustained_warming,d2_no,3773,45,36,support_ok,0.7951818181818183,0.7654386429896634,-0.0420060671385557,-0.07297333815251153,-0.0010056529466899117,-0.06000364445149275,479,-0.0953338791643827,-0.02064143482540865,-0.02136463231314705
solar_runway_sustained_warming,current_yes,2813,44,36,support_ok,0.1657771062922147,0.1429079274795592,-0.10206902272634297,-0.5933313550574175,0.5426150866084885,-0.5110035394255628,352,-0.6061888584098594,-0.040675305620593016,-0.06139371710574995
solar_runway_sustained_warming,current_bracket_no,2494,43,36,support_ok,0.8458432237369689,0.8311948676824379,-0.03290472492703649,-0.07129373845567846,0.006051163429589377,-0.05113236866238733,326,-0.03487890805546476,-0.5361384221290189,0.5032336972019824
solar_runway_sustained_warming,d1_no,3040,44,36,support_ok,0.7852486842105263,0.7776315789473685,-0.011526279308914958,-0.03862271950042333,0.016244866886759253,-0.025865394332723095,389,0.04524474956971953,-0.05024232826678216,0.038716048957867205
