mechanism,rows,dates,cities,row_share,support,avg_trend_1h_f,avg_trend_3h_f,future_break_rate,future_break_ci_low,future_break_ci_high,current_hold_rate,d1_hit_rate,d1_hit_ci_low,d1_hit_ci_high,d2_hit_rate,skip_over_d1_rate,day_open_or_marginal_rate,future_break_delta_vs_complement,d1_hit_delta_vs_complement,current_hold_delta_vs_complement
all_labeled_states,13852,46,36,1.0,support_ok,0.31578142076502735,1.9675218658892129,0.41077100779670805,0.3970007596976293,0.42422410442259584,0.5575368177880451,0.15311868322263933,0.14601162385840374,0.16017311886279142,0.10244008085475022,0.23224083164885936,0.43271729714120705,,,
trend3h_cooling_lt_neg0_5,3670,46,36,0.2649436904418135,support_ok,-1.6559945504087195,-3.6834059945504083,0.023433242506811988,0.016232833205563464,0.031213583939864745,0.8743869209809264,0.020435967302452316,0.014281088666262348,0.027061080558207794,0.009264305177111716,0.07956403269754768,0.267574931880109,-0.5269497863676724,-0.18050687300397078,0.43105555189823147
trend3h_flat_abs_lt0_5,1908,45,36,0.13774184233323708,support_ok,-0.3522286313581542,0.00031446540880504336,0.1420335429769392,0.11902085636079172,0.16893547959331395,0.8228511530398323,0.09905660377358491,0.07800686965274284,0.12374698067632849,0.029874213836477988,0.057651991614255764,0.35115303983228513,-0.3116670598361887,-0.06269825222105674,0.30769710079602786
trend3h_warming_ge0_5,8142,46,36,0.587785157377996,support_ok,1.360449686693697,4.975669368705477,0.654261852124785,0.6441624403958878,0.6647436107470511,0.3578973225251781,0.2267256202407271,0.21746512539573482,0.2361937309737683,0.16089412920658314,0.3445099484156227,0.5254237288135594,0.5906891726151529,0.1785644994000966,-0.4843093324660654
trend3h_strong_warming_ge2,6211,46,36,0.4483829049956685,support_ok,1.7099548969072165,5.9948317501207535,0.7483497021413621,0.7395968862927089,0.7573477132476127,0.2716148768314281,0.22910964417968122,0.22002166018204122,0.23851518603928734,0.18853646755755918,0.4129769763323136,0.5715665754306875,0.6119801170085261,0.13776034434981602,-0.518334082728839
legacy_trend3h_positive_gt0,8146,46,36,0.5880739243430552,support_ok,1.3600024560972614,4.973385710778296,0.6543088632457648,0.644176552656894,0.6648208194028157,0.3578443407807513,0.22685980849496684,0.21752262261668984,0.236473278956622,0.160815123987233,0.34446354038792043,0.525534004419347,0.5912173805959224,0.17901543415216978,-0.4847774608315866
sustained_warming_1h3h,5112,46,36,0.36904418134565403,support_ok,2.3546752738654146,6.072828638497652,0.7783646322378717,0.7688031302021215,0.788324148559148,0.24178403755868544,0.22906885758998435,0.21869319157665015,0.238949167332408,0.1875978090766823,0.43133802816901406,0.5897887323943662,0.5825980418488557,0.12037320541607131,-0.5004356420751819
one_hour_warm_without_3h,366,45,36,0.026422177302916548,support_ok,2.0636612021857927,-1.6549180327868853,0.16939890710382513,0.13196480938416422,0.20710210505606924,0.7868852459016393,0.09562841530054644,0.0634887839433294,0.13031469392782358,0.05191256830601093,0.08743169398907104,0.3770491803278688,-0.24792275981001147,-0.05905051099338801,0.23557277370825358
runway_sustained_warming,4278,45,36,0.3088362691308114,support_ok,1.700865294667914,5.747896213183731,0.8132304815334268,0.7944552969722143,0.832147921744208,0.19237961664329126,0.19471715755025712,0.18053746348023944,0.20874657143380115,0.20710612435717626,0.4962599345488546,1.0,0.5822925245666417,0.06018613603364964,-0.5283222843385345
solar_runway_sustained_warming,3650,44,36,0.26349985561651745,support_ok,1.860498903508772,6.159178082191781,0.8934246575342466,0.8783921399007056,0.9080469092298944,0.11534246575342466,0.18547945205479452,0.17054812011077675,0.2004266538769229,0.2284931506849315,0.5654794520547946,1.0,0.6553340870578694,0.043938577716429505,-0.6003995456168949
late_reheat_after_dip,791,45,36,0.05710366734045625,support_ok,0.6539823008849557,3.7481668773704175,0.4943109987357775,0.4574199752893858,0.5324336865868188,0.49051833122629585,0.20606826801517067,0.1789467234262126,0.23269744729056455,0.10366624525916561,0.21871049304677623,0.4538558786346397,0.08859933806660975,0.056156316403502354,-0.07107725869790593
humid_or_cloud_warming,1745,45,34,0.1259745885070748,support_ok,1.1988538681948424,3.876446991404012,0.6762177650429799,0.6502684652714249,0.7018284750360633,0.3237822349570201,0.21375358166189112,0.19080071844515903,0.23617635653068048,0.166189111747851,0.39197707736389686,0.5787965616045845,0.3037059949925959,0.0693742969505671,-0.26744598012516374
mature_cooling_or_fade,2674,45,36,0.19304071614207335,support_ok,-1.64850411368736,-3.886686611817502,0.014958863126402393,0.009792567369374195,0.02043942729076234,0.862752430815258,0.016828721017202692,0.011083917747896781,0.023210357189775713,0.006357516828721017,0.0912490650710546,0.2718773373223635,-0.4904982848428229,-0.16889323282069316,0.3782292603017493
plateau_flat_path,1035,44,36,0.07471845220906728,support_ok,-0.7085106382978725,0.0003864734299516963,0.17294685990338166,0.1415604751220702,0.20633520074696543,0.8028985507246377,0.13526570048309178,0.10500939306358381,0.1679773731414944,0.030917874396135265,0.04541062801932367,0.3748792270531401,-0.2570289534694825,-0.019294649052681023,0.2651752145305205
