event_id,city,source,station,collector_journal,first_seen_field,target_date,source_observation_ts_utc,source_first_seen_ts_utc,pit_lineage_class,source_first_seen_age_min,source_temp_c,source_delta_c,slope_30m_c_per_hour,slope_60m_c_per_hour,minutes_since_previous_source,source_running_max_c,source_running_max_lattice,source_running_max_margin_c,minutes_since_strict_high,new_source_high,warming_run_count,local_hour,local_hour_sin,local_hour_cos,source_wind_speed_kt,source_pressure_hpa,metar_available,metar_source,metar_observation_ts_utc,metar_available_at_utc,metar_age_min,source_to_metar_temp_gap_c,metar_dewpoint_c,metar_relative_humidity_pct,metar_wind_speed_kt,metar_wind_dir_sin,metar_wind_dir_cos,metar_ceiling_ft_agl,metar_cloud_layer_count,metar_precip_observed,winner_bracket,final_above_current_lattice,coverage_complete_30m,new_high_within_30m,coverage_complete_60m,new_high_within_60m,coverage_complete_120m,new_high_within_120m
Amsterdam|knmi|2026-07-27T15:50:00+00:00|20.1,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T15:50:00+00:00,2026-07-27T16:02:39.151821+00:00,collector_exact,12.6525,20.1,,,,,20.1,20,0.0,0.0,1,0,18.04416666666667,-0.9999331515000986,0.011562548641229234,,,1,aviationweather_metar,2026-07-27T15:25:00+00:00,2026-07-27T15:27:36.606713+00:00,37.65253035,-0.8999999999999986,13.0,60.23620878051111,16.0,-0.8660254037844386,0.5000000000000001,,1.0,0,21,1,1,1,1,1,1,1
Amsterdam|knmi|2026-07-27T16:00:00+00:00|20.3,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:00:00+00:00,2026-07-27T16:07:44.540969+00:00,collector_exact,7.7423,20.3,0.1999999999999993,2.3576476266930007,2.3576476266930007,5.089819133333333,20.3,20,0.0,0.0,1,1,18.128888888888888,-0.9994307579030923,0.033736629310743796,,,1,aviationweather_metar,2026-07-27T15:25:00+00:00,2026-07-27T15:27:36.606713+00:00,42.742349483333335,-0.6999999999999993,13.0,60.23620878051111,16.0,-0.8660254037844386,0.5000000000000001,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T16:10:00+00:00|20.1,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:10:00+00:00,2026-07-27T16:15:54.385150+00:00,collector_exact,5.9064,20.1,-0.1999999999999993,0.0,0.0,8.164069683333333,20.3,20,-0.1999999999999993,8.164069683333333,0,0,18.265,-0.997594392301337,0.06932119768819825,,,1,aviationweather_metar,2026-07-27T15:55:00+00:00,2026-07-27T16:07:51.247846+00:00,20.90641916666667,0.10000000000000142,12.0,60.000416407887755,14.0,-0.9396926207859085,0.34202014332566816,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T16:20:00+00:00|20.1,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:20:00+00:00,2026-07-27T16:26:00.101262+00:00,collector_exact,6.0017,20.1,0.0,0.0,0.0,10.095268533333332,20.3,20,-0.1999999999999993,18.259338216666666,0,0,18.433333333333334,-0.9935718556765876,0.11320321376790658,,,1,aviationweather_metar,2026-07-27T15:55:00+00:00,2026-07-27T16:07:51.247846+00:00,31.001687699999998,0.10000000000000142,12.0,60.000416407887755,14.0,-0.9396926207859085,0.34202014332566816,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T16:30:00+00:00|20.0,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:30:00+00:00,2026-07-27T16:34:31.243429+00:00,collector_exact,4.5207,20.0,-0.10000000000000142,-0.672184195199404,-0.18827549814757888,8.519036116666665,20.3,20,-0.3000000000000007,26.778374333333332,0,0,18.575277777777778,-0.9886801313196116,0.150038654798807,,,1,aviationweather_metar,2026-07-27T16:25:00+00:00,2026-07-27T16:28:47.082425+00:00,9.520723816666667,0.0,12.0,60.000416407887755,11.0,-0.8660254037844386,0.5000000000000001,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T16:40:00+00:00|20.1,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:40:00+00:00,2026-07-27T16:43:55.359051+00:00,collector_exact,3.9227,20.1,0.10000000000000142,0.0,0.0,9.401927033333333,20.3,20,-0.1999999999999993,36.18030136666666,0,1,18.731944444444444,-0.9816964986630603,0.19045205305453639,,,1,aviationweather_metar,2026-07-27T16:25:00+00:00,2026-07-27T16:28:47.082425+00:00,18.92265085,0.10000000000000142,12.0,60.000416407887755,11.0,-0.8660254037844386,0.5000000000000001,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T16:50:00+00:00|19.9,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T16:50:00+00:00,2026-07-27T16:53:53.588950+00:00,collector_exact,3.8931,19.9,-0.20000000000000284,-0.43023919755303885,-0.23418920920793052,9.970498316666667,20.3,20,-0.40000000000000213,46.15079968333334,0,0,18.898055555555555,-0.9724886307858509,0.23295034447766086,,,1,aviationweather_metar,2026-07-27T16:25:00+00:00,2026-07-27T16:28:47.082425+00:00,28.893149166666667,-0.10000000000000142,12.0,60.000416407887755,11.0,-0.8660254037844386,0.5000000000000001,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T17:00:00+00:00|19.7,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T17:00:00+00:00,2026-07-27T17:03:54.658017+00:00,collector_exact,3.911,19.7,-0.1999999999999993,-0.6124481488070816,-0.6409272939887533,10.017817783333333,20.3,20,-0.6000000000000014,56.16861746666667,0,0,19.065,-0.9613818739141858,0.27521790005239216,,,1,aviationweather_metar,2026-07-27T16:55:00+00:00,2026-07-27T16:57:42.326343+00:00,8.910966949999999,-0.3000000000000007,13.0,64.06828882011946,13.0,-1.0,-1.8369701987210297e-16,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T17:10:00+00:00|19.8,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T17:10:00+00:00,2026-07-27T17:13:53.311243+00:00,collector_exact,3.8885,19.8,0.10000000000000142,-0.6006833801284982,-0.31044062769056435,9.977553766666666,20.3,20,-0.5,66.14617123333333,0,1,19.231388888888887,-0.9484850576470925,0.31682186701708537,,,1,aviationweather_metar,2026-07-27T16:55:00+00:00,2026-07-27T16:57:42.326343+00:00,18.88852071666667,-0.1999999999999993,13.0,64.06828882011946,13.0,-1.0,-1.8369701987210297e-16,,1.0,0,21,1,1,0,1,0,1,0
Amsterdam|knmi|2026-07-27T17:20:00+00:00|19.7,Amsterdam,knmi,0-20000-0-06240,knmi_open_data,knmi_first_seen_at_utc,2026-07-27,2026-07-27T17:20:00+00:00,2026-07-27T17:23:54.796826+00:00,collector_exact,3.9133,19.7,-0.10000000000000142,0.0,-0.41442479592149034,10.024759716666667,20.3,20,-0.6000000000000014,76.17093095,0,0,19.398333333333333,-0.9337367051383023,0.3579605641372624,,,1,aviationweather_metar,2026-07-27T16:55:00+00:00,2026-07-27T16:57:42.326343+00:00,28.913280433333334,-0.3000000000000007,13.0,64.06828882011946,13.0,-1.0,-1.8369701987210297e-16,,1.0,0,21,1,1,0,1,0,1,0
