city,horizon_min,model,events,target_dates,positive_rate_date_weighted,brier_date_weighted,logloss_date_weighted,auc_date_weighted,brier_delta_vs_prior,logloss_delta_vs_prior
Helsinki,30,m0_prior,187,2,0.3525509036833676,0.22929583189367908,0.651330686228382,0.42006767896574926,0.0,0.0
Helsinki,30,m1_fast_path,187,2,0.3525509036833676,0.14308126343647798,0.4441164648908789,0.8817028603334535,-0.0862145684572011,-0.20721422133750306
Helsinki,30,m2_fast_path_plus_metar,187,2,0.3525509036833676,0.17135377675252683,0.49460440241374776,0.8293607530789746,-0.05794205514115225,-0.15672628381463422
Helsinki,60,m0_prior,182,2,0.4945054945054945,0.2568228802086717,0.7070178169067212,0.37910628019323667,0.0,0.0
Helsinki,60,m1_fast_path,182,2,0.4945054945054945,0.14173802136855024,0.4428561797168323,0.8884057971014493,-0.11508485884012148,-0.2641616371898889
Helsinki,60,m2_fast_path_plus_metar,182,2,0.4945054945054945,0.18508616326000477,0.5290712667803068,0.8294685990338163,-0.07173671694866696,-0.17794655012641436
Helsinki,120,m0_prior,169,2,0.6400560224089636,0.25441852258332537,0.7019869195981172,0.3161031596693033,0.0,0.0
Helsinki,120,m1_fast_path,169,2,0.6400560224089636,0.12823035824817394,0.42084698882429583,0.9066454801658592,-0.12618816433515143,-0.2811399307738214
Helsinki,120,m2_fast_path_plus_metar,169,2,0.6400560224089636,0.17811142360375548,0.5295217121319242,0.8591381365528868,-0.07630709897956989,-0.17246520746619298
Tokyo,30,m0_prior,186,2,0.32258064516129026,0.22415000223529719,0.640852666701304,0.5123015873015873,0.0,0.0
Tokyo,30,m1_fast_path,186,2,0.32258064516129026,0.11512310205491005,0.38078541287889117,0.9285714285714285,-0.10902690018038713,-0.26006725382241286
Tokyo,30,m2_fast_path_plus_metar,186,2,0.32258064516129026,0.11442035157227887,0.3723814586967168,0.9242063492063493,-0.10972965066301832,-0.26847120800458724
Tokyo,60,m0_prior,91,1,0.40659340659340665,0.24854085074189994,0.6902286283497997,0.5,0.0,0.0
Tokyo,60,m1_fast_path,91,1,0.40659340659340665,0.13004458152128773,0.4160355773619087,0.9439439439439439,-0.11849626922061221,-0.274193050987891
Tokyo,60,m2_fast_path_plus_metar,91,1,0.40659340659340665,0.12231675845835013,0.39843322253738467,0.9374374374374373,-0.1262240922835498,-0.29179540581241503
Tokyo,120,m0_prior,84,1,0.5476190476190477,0.24784181599777635,0.6888265769465147,0.5,0.0,0.0
Tokyo,120,m1_fast_path,84,1,0.5476190476190477,0.0962587963667784,0.33322066628937475,0.988558352402746,-0.15158301963099796,-0.35560591065714
Tokyo,120,m2_fast_path_plus_metar,84,1,0.5476190476190477,0.07950863730239956,0.30038432080879607,0.9897025171624714,-0.16833317869537678,-0.38844225613771866
