city,source,target_date,source_distinct_events,source_first_seen_span_hours,basis_coverage_complete,source_daily_max_c,source_daily_max_lattice,winner_bracket,source_lattice_in_winner_bracket,terminal_false_basis
Amsterdam,knmi,2026-07-27,37,5.854194937777778,0,20.3,20,21,,
Helsinki,fmi,2026-07-21,28,4.495011089444445,0,12.9,13,14,,
Helsinki,fmi,2026-07-22,97,15.861663356111112,1,19.1,19,19,1,0
Helsinki,fmi,2026-07-23,97,15.861654615277779,1,20.6,21,20,0,1
Helsinki,fmi,2026-07-24,97,15.851678971944445,1,20.7,21,21,1,0
Helsinki,fmi,2026-07-25,78,15.858257738333332,1,20.2,20,20,1,0
Helsinki,fmi,2026-07-26,97,15.865403387222221,1,19.0,19,19,1,0
Helsinki,fmi,2026-07-27,97,15.87512776888889,1,20.9,21,21,1,0
Tokyo,jma_amedas,2026-07-21,5,0.6624253530555556,0,28.6,29,34,,
Tokyo,jma_amedas,2026-07-22,108,21.835262410555554,1,34.5,35,34,0,1
Tokyo,jma_amedas,2026-07-23,97,15.941880870555556,1,35.4,35,35,1,0
Tokyo,jma_amedas,2026-07-24,97,15.952067335277778,1,33.8,34,34,1,0
Tokyo,jma_amedas,2026-07-25,78,15.944174525555557,1,34.8,35,36+,0,1
Tokyo,jma_amedas,2026-07-26,97,15.93224259,1,33.2,33,32,0,1
Tokyo,jma_amedas,2026-07-27,97,15.951428004166667,1,29.5,30,30,1,0
