config,scope,ask_band,variant,target_date,rows,cities,wins,win_rate,cost,pnl,roi,avg_ask,avg_edge
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-21,7,7,4.0,0.5714285714285714,9.99,10.01,1.002002002002002,0.2854285714285714,0.04557322800628363
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-22,6,6,1.0,0.16666666666666666,9.450000000000001,-4.450000000000001,-0.470899470899471,0.315,0.06554625183575481
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-23,4,4,4.0,1.0,6.35,13.65,2.1496062992125986,0.3175,0.10252245346252392
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-25,9,9,3.0,0.3333333333333333,13.89,1.11,0.07991360691144708,0.30866666666666664,0.0768011713550847
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-26,10,10,2.0,0.2,16.05,-6.050000000000001,-0.3769470404984424,0.321,0.07392045769142183
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-27,9,9,2.0,0.2222222222222222,14.330000000000002,-4.330000000000001,-0.30216329378925333,0.3184444444444445,0.03777742603860544
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-28,1,1,0.0,0.0,1.45,-1.45,-1.0,0.29,0.0337882897370674
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-29,4,4,1.0,0.25,5.800000000000001,-0.8000000000000003,-0.13793103448275865,0.29000000000000004,0.08925425981912793
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-06-30,7,7,3.0,0.42857142857142855,10.875,4.125,0.3793103448275862,0.31071428571428567,0.05562326229308391
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-07-01,4,4,1.0,0.25,6.6000000000000005,-1.6000000000000005,-0.2424242424242425,0.33,0.041067856934032275
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-07-02,1,1,0.0,0.0,1.6500000000000001,-1.6500000000000001,-1.0,0.33,0.0331398985129071
tmax_dist_clean_edge02,verified_forward,0.20-0.40,base,2026-07-03,2,2,1.0,0.5,3.85,1.15,0.2987012987012987,0.385,0.09579055550676696
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-21,7,7,4.0,0.5714285714285714,9.99,10.01,1.002002002002002,0.2854285714285714,0.04557322800628363
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-22,4,4,1.0,0.25,6.3500000000000005,-1.3500000000000003,-0.21259842519685043,0.3175,0.07264297163902785
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-23,4,4,4.0,1.0,6.35,13.65,2.1496062992125986,0.3175,0.10252245346252392
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-25,8,8,3.0,0.375,11.89,3.1100000000000003,0.26156433978132887,0.29725,0.07961433179966013
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-26,10,10,2.0,0.2,16.05,-6.050000000000001,-0.3769470404984424,0.321,0.07392045769142183
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-27,9,9,2.0,0.2222222222222222,14.330000000000002,-4.330000000000001,-0.30216329378925333,0.3184444444444445,0.03777742603860544
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-28,1,1,0.0,0.0,1.4000000000000001,-1.4000000000000001,-1.0,0.28,0.032643177133703
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-29,4,4,1.0,0.25,5.800000000000001,-0.8000000000000003,-0.13793103448275865,0.29000000000000004,0.08925425981912793
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-06-30,7,7,3.0,0.42857142857142855,10.925,4.074999999999999,0.37299771167048046,0.31214285714285717,0.05515464354528005
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-07-01,3,3,1.0,0.3333333333333333,5.6000000000000005,-0.6000000000000005,-0.10714285714285723,0.37333333333333335,0.04742151652261326
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-07-02,1,1,0.0,0.0,1.6500000000000001,-1.6500000000000001,-1.0,0.33,0.0331398985129071
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_block_missing,2026-07-03,2,2,1.0,0.5,3.85,1.15,0.2987012987012987,0.385,0.09579055550676696
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-21,7,7,4.0,0.5714285714285714,9.99,10.01,1.002002002002002,0.2854285714285714,0.04557322800628363
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-22,4,4,1.0,0.25,6.3500000000000005,-1.3500000000000003,-0.21259842519685043,0.3175,0.07264297163902785
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-23,4,4,4.0,1.0,6.35,13.65,2.1496062992125986,0.3175,0.10252245346252392
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-25,8,8,3.0,0.375,11.89,3.1100000000000003,0.26156433978132887,0.29725,0.07961433179966013
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-26,10,10,2.0,0.2,16.05,-6.050000000000001,-0.3769470404984424,0.321,0.07392045769142183
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-27,9,9,2.0,0.2222222222222222,14.330000000000002,-4.330000000000001,-0.30216329378925333,0.3184444444444445,0.03777742603860544
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-28,1,1,0.0,0.0,1.4000000000000001,-1.4000000000000001,-1.0,0.28,0.032643177133703
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-29,4,4,1.0,0.25,5.800000000000001,-0.8000000000000003,-0.13793103448275865,0.29000000000000004,0.08925425981912793
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-06-30,7,7,3.0,0.42857142857142855,10.925,4.074999999999999,0.37299771167048046,0.31214285714285717,0.05515464354528005
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-07-01,4,4,1.0,0.25,6.6000000000000005,-1.6000000000000005,-0.2424242424242425,0.33,0.041067856934032275
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-07-02,1,1,0.0,0.0,1.6500000000000001,-1.6500000000000001,-1.0,0.33,0.0331398985129071
tmax_dist_clean_edge02,verified_forward,0.20-0.40,no_trend3h_flat_keep_missing,2026-07-03,2,2,1.0,0.5,3.85,1.15,0.2987012987012987,0.385,0.09579055550676696
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-21,17,17,11.0,0.6470588235294118,57.435,-2.4350000000000023,-0.04239575171933494,0.6757058823529412,0.03938223943414371
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-22,12,12,12.0,1.0,38.84,21.16,0.544799176107106,0.6473333333333333,0.04248605367226882
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-23,14,14,9.0,0.6428571428571429,46.42,-1.4200000000000006,-0.03059026281775098,0.6631428571428571,0.044567502892551104
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-25,20,20,14.0,0.7,66.235,3.7649999999999966,0.056843058805767295,0.66235,0.046466434624430016
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-26,18,18,12.0,0.6666666666666666,59.65,0.34999999999999953,0.005867560771165122,0.6627777777777778,0.05327245122522218
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-27,22,22,18.0,0.8181818181818182,67.59,22.409999999999997,0.3315579227696404,0.6144545454545455,0.048703482599183355
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-28,5,5,3.0,0.6,15.475,-0.47500000000000053,-0.030694668820678547,0.619,0.05317107131712175
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-29,7,7,3.0,0.42857142857142855,21.015,-6.014999999999999,-0.28622412562455385,0.6004285714285713,0.05433491620694334
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-06-30,13,13,10.0,0.7692307692307693,42.315,7.6850000000000005,0.1816140848398913,0.6509999999999999,0.043461032858559324
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-07-01,14,14,10.0,0.7142857142857143,48.47,1.5299999999999971,0.03156591706210021,0.6924285714285715,0.036949744953309174
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-07-02,3,3,3.0,1.0,10.200000000000001,4.799999999999999,0.4705882352941175,0.68,0.03678248152158637
tmax_dist_clean_edge02,verified_forward,0.40-0.99,base,2026-07-03,10,10,8.0,0.8,35.545,4.455,0.1253340835560557,0.7109,0.04865578849229317
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-21,14,14,10.0,0.7142857142857143,47.45,2.549999999999997,0.05374077976817696,0.6778571428571428,0.04075478809844919
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-22,10,10,10.0,1.0,32.09,17.91,0.5581177937052041,0.6418,0.03906762164040759
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-23,12,12,8.0,0.6666666666666666,39.97,0.02999999999999936,0.0007505629221916277,0.6661666666666667,0.03965874115669165
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-25,19,19,14.0,0.7368421052631579,64.235,5.764999999999997,0.08974857943488748,0.6761578947368421,0.04605435814158521
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-26,15,15,10.0,0.6666666666666666,49.8,0.19999999999999918,0.0040160642570280965,0.6639999999999999,0.05474688305219967
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-27,21,21,18.0,0.8571428571428571,64.845,25.154999999999998,0.3879250520471894,0.6175714285714285,0.050925194271617305
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-28,5,5,3.0,0.6,15.475,-0.47500000000000053,-0.030694668820678547,0.619,0.05317107131712175
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-29,7,7,3.0,0.42857142857142855,21.015,-6.014999999999999,-0.28622412562455385,0.6004285714285713,0.05433491620694334
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-06-30,13,13,10.0,0.7692307692307693,42.315,7.6850000000000005,0.1816140848398913,0.6509999999999999,0.043461032858559324
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-07-01,12,12,9.0,0.75,42.92,2.0799999999999974,0.04846225535880702,0.7153333333333333,0.03576853721747073
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-07-02,3,3,3.0,1.0,10.200000000000001,4.799999999999999,0.4705882352941175,0.68,0.03678248152158637
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_block_missing,2026-07-03,10,10,8.0,0.8,35.545,4.455,0.1253340835560557,0.7109,0.04865578849229317
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-21,14,14,10.0,0.7142857142857143,47.45,2.549999999999997,0.05374077976817696,0.6778571428571428,0.04075478809844919
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-22,10,10,10.0,1.0,32.09,17.91,0.5581177937052041,0.6418,0.03906762164040759
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-23,12,12,8.0,0.6666666666666666,39.97,0.02999999999999936,0.0007505629221916277,0.6661666666666667,0.03965874115669165
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-25,19,19,14.0,0.7368421052631579,64.235,5.764999999999997,0.08974857943488748,0.6761578947368421,0.04605435814158521
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-26,15,15,10.0,0.6666666666666666,49.8,0.19999999999999918,0.0040160642570280965,0.6639999999999999,0.05474688305219967
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-27,21,21,18.0,0.8571428571428571,64.845,25.154999999999998,0.3879250520471894,0.6175714285714285,0.050925194271617305
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-28,5,5,3.0,0.6,15.475,-0.47500000000000053,-0.030694668820678547,0.619,0.05317107131712175
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-29,7,7,3.0,0.42857142857142855,21.015,-6.014999999999999,-0.28622412562455385,0.6004285714285713,0.05433491620694334
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-06-30,13,13,10.0,0.7692307692307693,42.315,7.6850000000000005,0.1816140848398913,0.6509999999999999,0.043461032858559324
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-07-01,12,12,9.0,0.75,42.92,2.0799999999999974,0.04846225535880702,0.7153333333333333,0.03576853721747073
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-07-02,3,3,3.0,1.0,10.200000000000001,4.799999999999999,0.4705882352941175,0.68,0.03678248152158637
tmax_dist_clean_edge02,verified_forward,0.40-0.99,no_trend3h_flat_keep_missing,2026-07-03,10,10,8.0,0.8,35.545,4.455,0.1253340835560557,0.7109,0.04865578849229317
