slice_type,slice,left,right,n,dates,logloss_delta_left_minus_right,brier_delta_left_minus_right
all,all,forecast_anchor,market_local_norm,7586,41,1.4386697148896255,0.3343223319970701
all,all,forecast_anchor,runningmax_anchor,7586,41,-0.3206921304312432,-0.047001945494709665
all,all,market_local_norm,uniform,7586,41,-0.7524133817060051,-0.40448859933877346
all,all,runningmax_anchor,market_local_norm,7586,41,1.7593618453208686,0.3813242774917798
day_regime,day_forecast_busted,forecast_anchor,market_local_norm,1857,40,0.8309654168892816,0.1720579037402726
day_regime,day_forecast_busted,forecast_anchor,runningmax_anchor,1857,40,0.33605189500165145,-0.08403122466136959
day_regime,day_forecast_busted,market_local_norm,uniform,1857,40,-0.9949527596736527,-0.5278616709485378
day_regime,day_forecast_busted,runningmax_anchor,market_local_norm,1857,40,0.49491352188763027,0.2560891284016422
day_regime,day_forecast_capped,forecast_anchor,market_local_norm,1491,40,0.6882008138858183,0.2223422140916087
day_regime,day_forecast_capped,forecast_anchor,runningmax_anchor,1491,40,-0.006288313811215218,-0.012726785650460327
day_regime,day_forecast_capped,market_local_norm,uniform,1491,40,-0.7655306003096649,-0.39989525177983437
day_regime,day_forecast_capped,runningmax_anchor,market_local_norm,1491,40,0.6944891276970336,0.23506899974206902
day_regime,day_marginal_runway,forecast_anchor,market_local_norm,1324,40,0.8482866975817067,0.3500041373999112
day_regime,day_marginal_runway,forecast_anchor,runningmax_anchor,1324,40,-0.8085527858658265,-0.02957451264315722
day_regime,day_marginal_runway,market_local_norm,uniform,1324,40,-0.6480239692604018,-0.34404140507145886
day_regime,day_marginal_runway,runningmax_anchor,market_local_norm,1324,40,1.656839483447533,0.37957865004306846
day_regime,day_open_runway,forecast_anchor,market_local_norm,2187,40,3.044770269849322,0.5109455015065422
day_regime,day_open_runway,forecast_anchor,runningmax_anchor,2187,40,-0.5169578091108852,-0.07386511481362651
day_regime,day_open_runway,market_local_norm,uniform,2187,40,-0.5936427443156838,-0.33477576522768515
day_regime,day_open_runway,runningmax_anchor,market_local_norm,2187,40,3.561728078960207,0.5848106163201687
day_regime,day_space_unknown,forecast_anchor,market_local_norm,727,8,0.7737195278224198,0.4185724241557206
day_regime,day_space_unknown,forecast_anchor,runningmax_anchor,727,8,-1.16414357299188,0.026361105797900367
day_regime,day_space_unknown,market_local_norm,uniform,727,8,-0.7737195278224198,-0.4185724241557206
day_regime,day_space_unknown,runningmax_anchor,market_local_norm,727,8,1.9378631008143001,0.3922113183578203
forecast_source,gfs_seamless,forecast_anchor,market_local_norm,6209,33,1.4932067776166458,0.3205671992974037
forecast_source,gfs_seamless,forecast_anchor,runningmax_anchor,6209,33,-0.26785708304323685,-0.054870278701114134
forecast_source,gfs_seamless,market_local_norm,uniform,6209,33,-0.7536407275624352,-0.4006207933681023
forecast_source,gfs_seamless,runningmax_anchor,market_local_norm,6209,33,1.7610638606598827,0.37543747799851784
forecast_source,open_meteo_live_ecmwf,forecast_anchor,market_local_norm,583,8,1.2298944113630776,0.37359406969739284
