scope,method,target_date,rows,cities,cost,pnl,roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,loo_no_city_source_blend,2026-06-02,54,26,29.138,-1.1380000000000003,-0.039055528862653587,14,7,23,10
dev_cv,loo_no_city_source_blend,2026-06-03,47,26,22.938,1.0619999999999998,0.046298718284070096,6,9,19,13
dev_cv,loo_no_city_source_blend,2026-06-04,60,30,35.50599999999999,5.494,0.15473441108545036,16,8,23,13
dev_cv,loo_no_city_source_blend,2026-06-05,53,26,30.362000000000002,6.638,0.21862854884394967,9,12,20,12
dev_cv,loo_no_city_source_blend,2026-06-06,57,26,29.810999999999996,2.189,0.07342927107443563,20,8,23,6
dev_cv,loo_no_city_source_blend,2026-06-07,60,31,35.284,5.715999999999999,0.16199977326833692,16,13,24,7
dev_cv,loo_no_city_source_blend,2026-06-08,60,28,33.383,1.617,0.04843782763682113,13,15,22,10
dev_cv,loo_no_city_source_blend,2026-06-09,61,28,32.155,7.845,0.24397449852278028,19,11,21,10
dev_cv,loo_no_city_source_blend,2026-06-10,51,24,29.110000000000003,-2.1100000000000003,-0.0724836825833047,13,12,19,7
dev_cv,loo_no_city_source_blend,2026-06-11,64,30,37.664,5.336,0.14167374681393374,17,16,22,9
dev_cv,loo_no_city_source_blend,2026-06-12,56,26,31.608,-0.6080000000000002,-0.019235636547709448,8,13,22,13
dev_cv,loo_no_city_source_blend,2026-06-13,58,29,31.771,1.2290000000000003,0.03868307576091405,20,8,10,20
dev_cv,loo_no_city_source_blend,2026-06-14,68,30,36.831,0.16900000000000026,0.004588525969970955,16,17,22,13
dev_cv,loo_no_city_source_blend,2026-06-15,55,25,30.291,2.7089999999999996,0.08943250470436762,15,13,19,8
dev_cv,loo_no_city_source_blend,2026-06-16,64,27,33.914,-1.9139999999999997,-0.05643686972931532,12,31,9,12
dev_cv,loo_no_city_source_blend,2026-06-17,55,27,25.279000000000003,0.7209999999999998,0.028521697851971978,14,16,14,11
dev_cv,loo_no_city_source_blend,2026-06-18,43,21,23.957,7.043000000000001,0.29398505655966944,10,5,18,10
dev_cv,loo_no_city_source_blend,2026-06-19,66,30,27.095,-6.094999999999999,-0.22494925262963644,13,27,16,10
dev_cv,loo_no_city_source_blend,2026-06-20,36,22,17.425,4.575000000000001,0.2625538020086084,5,7,13,11
dev_cv,loo_no_regime_blend,2026-06-02,43,23,25.47,-0.4700000000000005,-0.018453082057322358,7,2,21,13
dev_cv,loo_no_regime_blend,2026-06-03,32,22,16.465,2.535,0.15396295171576072,4,2,17,9
dev_cv,loo_no_regime_blend,2026-06-04,46,27,27.939000000000004,5.061,0.1811446365295823,11,7,17,11
dev_cv,loo_no_regime_blend,2026-06-05,51,26,29.331,6.6690000000000005,0.22737035900583003,8,8,24,11
dev_cv,loo_no_regime_blend,2026-06-06,41,23,20.646,0.35399999999999954,0.017146178436500993,12,7,17,5
dev_cv,loo_no_regime_blend,2026-06-07,62,32,37.054,6.946000000000001,0.18745614508555083,18,12,24,8
