city,target_date,states,complete_identity_states,complete_quoted_states,absolute_eligible_states,distinct_ladder_signatures,fixed_ladder_proven,all_states_complete_quoted,fixed_complete_ladder_proven,pre_cutoff
Amsterdam,2026-06-20,4,0,0,0,3,False,False,False,True
Amsterdam,2026-06-29,1,0,0,0,1,False,False,False,False
Amsterdam,2026-06-30,5,0,0,0,2,False,False,False,False
Amsterdam,2026-07-01,7,0,0,0,4,False,False,False,False
Amsterdam,2026-07-02,6,0,0,0,3,False,False,False,False
Amsterdam,2026-07-03,9,0,0,0,3,False,False,False,False
Amsterdam,2026-07-05,8,0,0,0,5,False,False,False,False
Amsterdam,2026-07-06,7,0,0,0,4,False,False,False,False
Amsterdam,2026-07-07,8,0,0,0,5,False,False,False,False
Ankara,2026-06-20,4,0,0,0,4,False,False,False,True
Ankara,2026-06-21,1,0,0,0,1,False,False,False,False
Ankara,2026-06-29,1,0,0,0,1,False,False,False,False
Ankara,2026-06-30,4,0,0,0,1,True,False,False,False
Ankara,2026-07-01,6,0,0,0,4,False,False,False,False
Ankara,2026-07-02,3,0,0,0,3,False,False,False,False
Ankara,2026-07-03,7,0,0,0,5,False,False,False,False
Ankara,2026-07-05,7,0,0,0,4,False,False,False,False
Ankara,2026-07-06,5,0,0,0,3,False,False,False,False
Ankara,2026-07-07,8,0,0,0,5,False,False,False,False
Atlanta,2026-06-19,2,0,0,0,2,False,False,False,True
Atlanta,2026-06-20,2,0,0,0,1,True,False,False,True
Atlanta,2026-06-22,1,0,0,0,1,False,False,False,False
Atlanta,2026-06-29,6,0,0,0,5,False,False,False,False
Atlanta,2026-06-30,1,0,0,0,1,False,False,False,False
Atlanta,2026-07-01,2,0,0,0,1,True,False,False,False
Atlanta,2026-07-02,1,0,0,0,1,False,False,False,False
Atlanta,2026-07-03,8,0,0,0,6,False,False,False,False
Atlanta,2026-07-05,5,0,0,0,3,False,False,False,False
Atlanta,2026-07-06,7,0,0,0,5,False,False,False,False
Atlanta,2026-07-07,8,0,0,0,6,False,False,False,False
Austin,2026-06-19,7,0,0,0,4,False,False,False,True
Austin,2026-06-22,1,0,0,0,1,False,False,False,False
Austin,2026-06-29,6,0,0,0,6,False,False,False,False
Austin,2026-07-03,2,0,0,0,2,False,False,False,False
Austin,2026-07-05,4,0,0,0,3,False,False,False,False
Austin,2026-07-06,7,0,0,0,6,False,False,False,False
Austin,2026-07-07,7,1,0,0,6,False,False,False,False
Beijing,2026-06-20,2,0,0,0,2,False,False,False,True
Beijing,2026-06-21,1,0,0,0,1,False,False,False,False
Beijing,2026-06-27,1,0,0,0,1,False,False,False,False
Beijing,2026-06-30,7,0,0,0,5,False,False,False,False
Beijing,2026-07-01,6,1,1,1,4,False,False,False,False
Beijing,2026-07-02,3,0,0,0,3,False,False,False,False
Beijing,2026-07-03,2,0,0,0,2,False,False,False,False
Beijing,2026-07-05,5,0,0,0,2,False,False,False,False
Beijing,2026-07-06,3,0,0,0,3,False,False,False,False
Beijing,2026-07-07,5,0,0,0,4,False,False,False,False
BuenosAires,2026-06-29,5,0,0,0,2,False,False,False,False
BuenosAires,2026-06-30,2,0,0,0,2,False,False,False,False
