target_date,snapshot_matched_states,complete_identity_states,complete_quoted_states,absolute_eligible_states,cities,pre_cutoff
2026-05-19,10,7,7,5,6,True
2026-05-20,241,3,3,0,34,True
2026-05-21,220,2,2,0,32,True
2026-05-22,177,0,0,0,34,True
2026-05-23,189,3,3,3,34,True
2026-05-24,170,0,0,0,30,True
2026-05-25,168,0,0,0,32,True
2026-05-26,156,1,1,0,33,True
2026-05-27,253,2,2,2,35,True
2026-05-28,184,3,3,3,30,True
2026-05-29,199,1,1,1,32,True
2026-05-30,186,3,3,2,31,True
2026-05-31,207,2,2,0,33,True
2026-06-01,195,4,4,3,33,True
2026-06-02,174,0,0,0,30,True
2026-06-03,162,0,0,0,31,True
2026-06-04,181,1,1,0,34,True
2026-06-05,196,2,2,2,32,True
2026-06-06,214,7,7,6,35,True
2026-06-07,221,0,0,0,36,True
2026-06-08,219,0,0,0,36,True
2026-06-09,230,2,2,2,36,True
2026-06-10,208,1,1,0,33,True
2026-06-11,195,1,1,0,35,True
2026-06-12,208,0,0,0,36,True
2026-06-13,192,0,0,0,35,True
2026-06-14,220,0,0,0,36,True
2026-06-15,188,2,2,1,34,True
2026-06-16,207,0,0,0,35,True
2026-06-17,200,0,0,0,34,True
2026-06-18,146,0,0,0,24,True
2026-06-19,210,0,0,0,35,True
2026-06-20,155,0,0,0,30,True
2026-06-21,201,0,0,0,34,False
2026-06-22,215,0,0,0,31,False
2026-06-23,146,0,0,0,27,False
2026-06-25,222,6,6,3,36,False
2026-06-26,235,2,2,0,36,False
2026-06-27,202,2,2,0,35,False
2026-06-28,28,0,0,0,11,False
2026-06-29,81,1,1,1,20,False
2026-06-30,155,2,2,1,30,False
2026-07-01,132,12,12,12,29,False
2026-07-02,29,0,0,0,9,False
2026-07-03,79,0,0,0,19,False
2026-07-05,155,0,0,0,26,False
2026-07-06,106,0,0,0,18,False
2026-07-07,58,1,0,0,10,False
