ask_floor,scope,city,target_date,first_hour,first_expression,first_side,first_ask,first_p_win,first_model_edge,first_win,first_cost_gross,first_pnl_gross,first_cost_taker,first_pnl_taker,has_opposite,reverse_hour,reverse_expression,reverse_side,reverse_ask,reverse_p_win,reverse_model_edge,reverse_win,same_bracket_proxy,transition,replace_cost_gross,replace_pnl_gross,replace_cost_taker,replace_pnl_taker,add_cost_gross,add_pnl_gross,add_cost_taker,add_pnl_taker,close_only_cost_gross,close_only_pnl_gross,close_only_cost_taker,close_only_pnl_taker,close_plus_reverse_cost_gross,close_plus_reverse_pnl_gross,close_plus_reverse_cost_taker,close_plus_reverse_pnl_taker
0.0,dev_cv,Amsterdam,2026-06-02,12.0,current_yes,YES,0.68,0.7235900445789683,0.0435900445789682,1.0,0.68,0.3199999999999999,0.69088,0.3091199999999999,False,,,,,,,,False,,0.68,0.3199999999999999,0.69088,0.3091199999999999,0.68,0.3199999999999999,0.69088,0.3091199999999999,0.68,0.3199999999999999,0.69088,0.3091199999999999,0.68,0.3199999999999999,0.69088,0.3091199999999999
0.0,dev_cv,Amsterdam,2026-06-03,11.0,d1_no,NO,0.47,0.4908567043540395,0.0208567043540395,1.0,0.47,0.53,0.48245499999999997,0.517545,False,,,,,,,,False,,0.47,0.53,0.48245499999999997,0.517545,0.47,0.53,0.48245499999999997,0.517545,0.47,0.53,0.48245499999999997,0.517545,0.47,0.53,0.48245499999999997,0.517545
0.0,dev_cv,Amsterdam,2026-06-04,16.0,d1_no,NO,0.819,0.8494729033451355,0.0304729033451355,1.0,0.819,0.181,0.82641195,0.17358805,False,,,,,,,,False,,0.819,0.181,0.82641195,0.17358805,0.819,0.181,0.82641195,0.17358805,0.819,0.181,0.82641195,0.17358805,0.819,0.181,0.82641195,0.17358805
0.0,dev_cv,Amsterdam,2026-06-06,10.0,current_yes,YES,0.002,0.0294159033255842,0.0274159033255842,0.0,0.002,-0.002,0.0020998,-0.0020998,True,13.0,d1_no,NO,0.8,0.8433352282866907,0.0433352282866906,0.0,False,current_yes->d1_no,0.8,-0.8,0.808,-0.808,0.802,-0.802,0.8100998,-0.8100998,0.002,-0.002,0.0020998,-0.0020998,0.002,-0.002,0.0020998,-0.0020998
0.0,dev_cv,Amsterdam,2026-06-07,12.0,d2_no,NO,0.72,0.7470545171796827,0.0270545171796827,1.0,0.72,0.28,0.73008,0.26992000000000005,False,,,,,,,,False,,0.72,0.28,0.73008,0.26992000000000005,0.72,0.28,0.73008,0.26992000000000005,0.72,0.28,0.73008,0.26992000000000005,0.72,0.28,0.73008,0.26992000000000005
0.0,dev_cv,Amsterdam,2026-06-08,12.0,d1_no,NO,0.81,0.836135483798045,0.0261354837980449,1.0,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988,False,,,,,,,,False,,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988
0.0,dev_cv,Amsterdam,2026-06-09,10.0,current_no,NO,0.87,0.8913587902335693,0.0213587902335693,1.0,0.87,0.13,0.875655,0.12434500000000001,False,,,,,,,,False,,0.87,0.13,0.875655,0.12434500000000001,0.87,0.13,0.875655,0.12434500000000001,0.87,0.13,0.875655,0.12434500000000001,0.87,0.13,0.875655,0.12434500000000001
0.0,dev_cv,Amsterdam,2026-06-10,12.0,current_yes,YES,0.51,0.5416990425244653,0.0316990425244653,1.0,0.51,0.49,0.522495,0.477505,False,,,,,,,,False,,0.51,0.49,0.522495,0.477505,0.51,0.49,0.522495,0.477505,0.51,0.49,0.522495,0.477505,0.51,0.49,0.522495,0.477505
0.0,dev_cv,Amsterdam,2026-06-11,11.0,current_yes,YES,0.36,0.3861773210454632,0.0261773210454632,1.0,0.36,0.64,0.37151999999999996,0.62848,False,,,,,,,,False,,0.36,0.64,0.37151999999999996,0.62848,0.36,0.64,0.37151999999999996,0.62848,0.36,0.64,0.37151999999999996,0.62848,0.36,0.64,0.37151999999999996,0.62848
0.0,dev_cv,Amsterdam,2026-06-12,11.0,d2_no,NO,0.73,0.7824077904080537,0.0524077904080537,0.0,0.73,-0.73,0.7398549999999999,-0.7398549999999999,True,13.0,current_yes,YES,0.73,0.778637887039358,0.048637887039358,0.0,False,d2_no->current_yes,0.73,-0.73,0.7398549999999999,-0.7398549999999999,1.46,-1.46,1.4797099999999999,-1.4797099999999999,0.73,-0.73,0.7398549999999999,-0.7398549999999999,0.73,-0.73,0.7398549999999999,-0.7398549999999999
0.0,dev_cv,Amsterdam,2026-06-13,11.0,current_yes,YES,0.46,0.4872656580955804,0.0272656580955804,1.0,0.46,0.54,0.47242,0.52758,False,,,,,,,,False,,0.46,0.54,0.47242,0.52758,0.46,0.54,0.47242,0.52758,0.46,0.54,0.47242,0.52758,0.46,0.54,0.47242,0.52758
