ask_floor,scope,price_mode,policy,rows,dates,cities,opposite_rows,same_bracket_proxy_rows,avg_first_ask,avg_reverse_ask,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate
0.0,dev_cv,gross,add_first_opposite_hold_both,512,19,36,100,44,0.551466796875,0.60223,342.57399999999996,21.425999999999988,0.06254415104473775,0.0029613464221705825,0.12250356415156348,0.7368421052631579
0.0,dev_cv,gross,first_only_hold,512,19,36,100,44,0.551466796875,0.60223,282.351,18.648999999999994,0.06604899575351245,0.005299180436039347,0.13198542876275246,0.6842105263157895
0.0,dev_cv,gross,replace_with_first_opposite_hold,512,19,36,100,44,0.551466796875,0.60223,293.336,12.66399999999999,0.043172334796956355,-0.01558579118630568,0.102400287560126,0.5789473684210527
0.0,dev_cv,gross,same_bracket_close_only_proxy,512,19,36,100,44,0.551466796875,0.60223,307.14300000000003,6.856999999999994,0.02232510589529956,-0.031126329725882255,0.0782389355463769,0.631578947368421
0.0,dev_cv,gross,same_bracket_close_plus_reverse_proxy,512,19,36,100,44,0.551466796875,0.60223,331.935,5.064999999999992,0.01525901155346677,-0.03856578120644466,0.06848518802350123,0.5789473684210527
0.0,dev_cv,taker,add_first_opposite_hold_both,512,19,36,100,44,0.551466796875,0.60223,348.3159107,15.68408929999999,0.04502834587280307,-0.013513965543366655,0.10411448970764675,0.631578947368421
0.0,dev_cv,taker,first_only_hold,512,19,36,100,44,0.551466796875,0.60223,287.14296165,13.857038349999993,0.04825832494856832,-0.011898344786059558,0.11242647587484036,0.6842105263157895
0.0,dev_cv,taker,replace_with_first_opposite_hold,512,19,36,100,44,0.551466796875,0.60223,298.1796582,7.8203417999999925,0.026226946020424382,-0.03177067131689336,0.0845585956684607,0.5263157894736842
0.0,dev_cv,taker,same_bracket_close_only_proxy,512,19,36,100,44,0.551466796875,0.60223,312.34320464999996,1.6567953499999928,0.005304406580116047,-0.0473086918432999,0.05980229594634028,0.5263157894736842
0.0,dev_cv,taker,same_bracket_close_plus_reverse_proxy,512,19,36,100,44,0.551466796875,0.60223,337.54344765,-0.5434476500000072,-0.0016100079968475937,-0.05457495126902964,0.05068300352684119,0.47368421052631576
0.0,verified_forward,gross,add_first_opposite_hold_both,226,12,36,26,8,0.4645176991150442,0.5425,119.08600000000001,11.913999999999998,0.10004534538064926,-0.0009844374244116268,0.20408628363731035,0.6666666666666666
