ask_floor,scope,transition,same_bracket_proxy,rows,dates,first_pnl,reverse_pnl,add_pnl,avg_first_ask,avg_reverse_ask
0.0,dev_cv,d1_no->current_yes,True,38,19,5.295999999999999,-0.5130000000000008,4.782999999999998,0.5974736842105264,0.5924473684210527
0.0,dev_cv,d2_no->current_yes,False,24,14,-0.21200000000000052,0.9609999999999996,0.748999999999999,0.6755,0.5432916666666666
0.0,dev_cv,current_yes->d1_no,False,21,12,2.0969999999999995,1.0709999999999997,3.1679999999999993,0.2810952380952381,0.6632857142857143
0.0,dev_cv,current_yes->d2_no,False,11,9,1.5619999999999998,2.5369999999999995,4.099,0.13072727272727272,0.7693636363636365
0.0,dev_cv,current_no->current_yes,True,3,3,-0.3800000000000003,-0.7289999999999999,-1.1090000000000002,0.7933333333333333,0.5763333333333333
0.0,dev_cv,current_yes->current_no,True,3,3,0.3989999999999999,-0.55,-0.15100000000000008,0.20033333333333334,0.18333333333333335
0.0,verified_forward,current_yes->d1_no,False,7,4,0.46099999999999997,1.55,2.0109999999999997,0.07699999999999999,0.35000000000000003
0.0,verified_forward,d1_no->current_yes,True,6,4,-0.5300000000000002,1.213,0.6829999999999998,0.5883333333333334,0.46449999999999997
0.0,verified_forward,d2_no->current_yes,False,6,5,1.0499999999999998,-0.5380000000000001,0.5119999999999998,0.6583333333333333,0.5896666666666667
0.0,verified_forward,current_yes->d2_no,False,5,4,0.019000000000000017,-0.8200000000000001,-0.801,0.19619999999999999,0.764
0.0,verified_forward,current_no->current_yes,True,2,2,0.12,-0.51,-0.39000000000000007,0.44,0.755
0.2,dev_cv,d1_no->current_yes,True,38,18,5.305999999999999,-1.064000000000001,4.241999999999998,0.5972105263157894,0.6069473684210527
0.2,dev_cv,d2_no->current_yes,False,26,14,0.3079999999999993,0.4519999999999996,0.7599999999999988,0.6804615384615385,0.5595384615384615
0.2,dev_cv,current_yes->d1_no,False,16,12,3.094,0.5809999999999996,3.6749999999999994,0.43162500000000004,0.7136875
0.2,dev_cv,current_no->current_yes,True,3,3,-0.3800000000000003,-0.7289999999999999,-1.1090000000000002,0.7933333333333333,0.5763333333333333
0.2,dev_cv,current_yes->d2_no,False,3,3,-0.19300000000000006,0.46599999999999986,0.27299999999999996,0.39766666666666667,0.8446666666666666
0.2,verified_forward,d2_no->current_yes,False,9,6,1.1349999999999998,0.6919999999999997,1.8269999999999995,0.6516666666666667,0.5897777777777777
0.2,verified_forward,d1_no->current_yes,True,4,3,-0.16000000000000014,1.3559999999999999,1.196,0.54,0.661
0.2,verified_forward,current_no->current_yes,True,2,2,0.12,-0.51,-0.39000000000000007,0.44,0.755
0.2,verified_forward,current_yes->d2_no,False,2,2,0.07400000000000007,-0.7300000000000001,-0.656,0.46299999999999997,0.865
0.2,verified_forward,current_yes->current_no,True,1,1,-0.26,0.29,0.02999999999999997,0.26,0.71
0.2,verified_forward,current_yes->d1_no,False,1,1,-0.24,-0.31,-0.55,0.24,0.31
0.4,dev_cv,d1_no->current_yes,True,28,15,5.065999999999999,0.8449999999999991,5.910999999999998,0.6405000000000001,0.7198214285714286
0.4,dev_cv,d2_no->current_yes,False,20,11,-1.3810000000000007,-0.2880000000000005,-1.669000000000001,0.66905,0.6644
0.4,dev_cv,current_yes->d1_no,False,11,8,1.8399999999999996,0.5909999999999997,2.430999999999999,0.56,0.7644545454545455
0.4,dev_cv,current_yes->d2_no,False,4,4,0.06099999999999994,0.6159999999999999,0.6769999999999999,0.48475,0.846
0.4,dev_cv,current_no->current_yes,True,3,3,-0.3800000000000003,-0.7289999999999999,-1.1090000000000002,0.7933333333333333,0.5763333333333333
0.4,verified_forward,d2_no->current_yes,False,10,7,1.2449999999999997,0.7899999999999997,2.0349999999999993,0.6755,0.621
0.4,verified_forward,d1_no->current_yes,True,3,3,-0.8000000000000002,1.18,0.3799999999999999,0.6,0.6066666666666666
0.4,verified_forward,current_no->current_yes,True,1,1,-0.63,0.2099999999999999,-0.4200000000000001,0.63,0.79
0.4,verified_forward,current_yes->d2_no,False,1,1,-0.576,-0.84,-1.416,0.576,0.84
