policy,scope,target_date,rows,cities,closes,reopens,cost_net,pnl_net,roi_net
first_lock_no_current_yes,dev_cv,2026-06-02,20,20,0,0,12.9111437,1.0888562999999998,0.08433461243251439
target_book_close_only_ev0,dev_cv,2026-06-02,20,20,2,0,13.6230187,0.37698129999999985,0.02767237631406906
target_book_rebalance_ev0,dev_cv,2026-06-02,20,20,2,2,14.5075287,0.4924712999999997,0.033945912510929564
target_book_rebalance_ev02,dev_cv,2026-06-02,20,20,2,2,14.5075287,0.4924712999999997,0.033945912510929564
first_lock_no_current_yes,dev_cv,2026-06-03,19,19,0,0,12.188755,-1.188755,-0.09752882882624189
target_book_close_only_ev0,dev_cv,2026-06-03,19,19,1,0,12.79085,-1.79085,-0.1400102416962125
target_book_rebalance_ev0,dev_cv,2026-06-03,19,19,3,3,15.843820000000001,-0.84382,-0.05325862071141934
target_book_rebalance_ev02,dev_cv,2026-06-03,19,19,3,3,15.843820000000001,-0.84382,-0.05325862071141934
first_lock_no_current_yes,dev_cv,2026-06-04,24,24,0,0,15.93229485,2.06770515,0.12978074844001522
target_book_close_only_ev0,dev_cv,2026-06-04,24,24,1,0,16.39466985,1.6053301500000003,0.09791780893959266
target_book_rebalance_ev0,dev_cv,2026-06-04,24,24,2,2,18.59871985,1.4012801500000003,0.07534282796350633
target_book_rebalance_ev02,dev_cv,2026-06-04,24,24,1,1,16.85704485,2.14295515,0.12712519715458906
first_lock_no_current_yes,dev_cv,2026-06-05,21,21,0,0,13.26732195,0.7326780499999996,0.05522426098961137
target_book_close_only_ev0,dev_cv,2026-06-05,21,21,5,0,15.987382700000001,1.0126172999999996,0.06333852882623492
target_book_rebalance_ev0,dev_cv,2026-06-05,21,21,7,7,19.7133255,1.2866744999999993,0.06526927686553947
target_book_rebalance_ev02,dev_cv,2026-06-05,21,21,7,7,19.3483177,2.6516822999999996,0.13704976014529674
first_lock_no_current_yes,dev_cv,2026-06-06,18,18,0,0,12.11121,0.88879,0.07338573107063621
target_book_close_only_ev0,dev_cv,2026-06-06,18,18,2,0,14.24099,-1.24099,-0.08714211582200394
target_book_rebalance_ev0,dev_cv,2026-06-06,18,18,4,4,17.91980875,0.08019125000000038,0.004475005906522321
target_book_rebalance_ev02,dev_cv,2026-06-06,18,18,4,4,17.91980875,0.08019125000000038,0.004475005906522321
first_lock_no_current_yes,dev_cv,2026-06-07,21,21,0,0,14.121735,0.8782649999999999,0.062192428904805246
target_book_close_only_ev0,dev_cv,2026-06-07,21,21,0,0,14.121735,0.8782649999999999,0.062192428904805246
target_book_rebalance_ev0,dev_cv,2026-06-07,21,21,2,2,17.4405248,0.5594751999999998,0.03207903468592871
target_book_rebalance_ev02,dev_cv,2026-06-07,21,21,2,2,17.4405248,0.5594751999999998,0.03207903468592871
first_lock_no_current_yes,dev_cv,2026-06-08,24,24,0,0,14.89675595,3.1032440500000007,0.20831676778594208
target_book_close_only_ev0,dev_cv,2026-06-08,24,24,1,0,15.03241095,2.967589050000001,0.19741271442555933
target_book_rebalance_ev0,dev_cv,2026-06-08,24,24,3,3,18.04237615,2.957623850000001,0.16392651529992633
target_book_rebalance_ev02,dev_cv,2026-06-08,24,24,2,2,17.29414095,2.705859050000001,0.15646102676178322
first_lock_no_current_yes,dev_cv,2026-06-09,18,18,0,0,11.8533299,2.1466700999999997,0.18110270431265055
target_book_close_only_ev0,dev_cv,2026-06-09,18,18,4,0,14.8446999,0.15530009999999927,0.01046165305099898
target_book_rebalance_ev0,dev_cv,2026-06-09,18,18,5,5,18.0712049,-0.07120490000000068,-0.003940240863518772
target_book_rebalance_ev02,dev_cv,2026-06-09,18,18,4,4,16.5524549,0.44754509999999936,0.02703798939213538
first_lock_no_current_yes,dev_cv,2026-06-10,21,21,0,0,13.28701,1.71299,0.12892215780676014
target_book_close_only_ev0,dev_cv,2026-06-10,21,21,2,0,15.514,0.486,0.0313265437669202
target_book_rebalance_ev0,dev_cv,2026-06-10,21,21,4,4,18.7551395,-0.7551395000000001,-0.04026307029067953
target_book_rebalance_ev02,dev_cv,2026-06-10,21,21,4,4,18.6557395,-0.6557394999999999,-0.03514947772507222
first_lock_no_current_yes,dev_cv,2026-06-11,26,26,0,0,16.54064055,0.4593594500000002,0.02777156353839031
target_book_close_only_ev0,dev_cv,2026-06-11,26,26,3,0,18.23435575,-1.2343557499999998,-0.06769396006765964
target_book_rebalance_ev0,dev_cv,2026-06-11,26,26,4,4,21.01044575,-0.01044574999999981,-0.0004971693663376851
target_book_rebalance_ev02,dev_cv,2026-06-11,26,26,4,4,21.01044575,-0.01044574999999981,-0.0004971693663376851
first_lock_no_current_yes,dev_cv,2026-06-12,22,22,0,0,14.4358312,0.5641687999999998,0.03908114414637931
target_book_close_only_ev0,dev_cv,2026-06-12,22,22,4,0,17.9846712,-0.9846712,-0.05475058115046329
target_book_rebalance_ev0,dev_cv,2026-06-12,22,22,9,9,23.24446155,1.7555384499999995,0.0755250211420793
target_book_rebalance_ev02,dev_cv,2026-06-12,22,22,6,6,20.03507655,0.9649234499999997,0.048161705177013646
first_lock_no_current_yes,dev_cv,2026-06-13,22,22,0,0,14.1761985,1.8238014999999999,0.12865236755819975
target_book_close_only_ev0,dev_cv,2026-06-13,22,22,1,0,14.6184535,2.3815465,0.16291371040035116
target_book_rebalance_ev0,dev_cv,2026-06-13,22,22,3,3,16.28837665,2.71162335,0.16647597291409638
target_book_rebalance_ev02,dev_cv,2026-06-13,22,22,3,3,16.28837665,2.71162335,0.16647597291409638
first_lock_no_current_yes,dev_cv,2026-06-14,23,23,0,0,14.67468,-1.6746800000000004,-0.11412037604908593
target_book_close_only_ev0,dev_cv,2026-06-14,23,23,2,0,16.01843895,-2.01843895,-0.12600721932395292
target_book_rebalance_ev0,dev_cv,2026-06-14,23,23,4,4,18.8318118,-2.8318118000000005,-0.150373837104723
target_book_rebalance_ev02,dev_cv,2026-06-14,23,23,4,4,18.8318118,-2.8318118000000005,-0.150373837104723
first_lock_no_current_yes,dev_cv,2026-06-15,21,21,0,0,12.83154375,-0.8315437499999999,-0.06480465376584169
target_book_close_only_ev0,dev_cv,2026-06-15,21,21,3,0,15.82697375,-1.82697375,-0.11543418083953036
target_book_rebalance_ev0,dev_cv,2026-06-15,21,21,4,4,16.65052755,-2.65052755,-0.15918580009196165
target_book_rebalance_ev02,dev_cv,2026-06-15,21,21,3,3,15.78492375,-2.7849237500000004,-0.1764293444876476
first_lock_no_current_yes,dev_cv,2026-06-16,17,17,0,0,12.33674125,-0.3367412500000002,-0.027295802284902443
target_book_close_only_ev0,dev_cv,2026-06-16,17,17,0,0,12.33674125,-0.3367412500000002,-0.027295802284902443
target_book_rebalance_ev0,dev_cv,2026-06-16,17,17,2,2,14.67497305,0.3250269499999998,0.022148384797204095
target_book_rebalance_ev02,dev_cv,2026-06-16,17,17,2,2,15.03473365,-1.0347336500000002,-0.06882287868132604
first_lock_no_current_yes,dev_cv,2026-06-17,16,16,0,0,9.1884952,0.8115047999999999,0.08831748641496813
target_book_close_only_ev0,dev_cv,2026-06-17,16,16,0,0,9.1884952,0.8115047999999999,0.08831748641496813
