policy,scope,final_expression,rows,dates,win_rate,cost_net,pnl_net,roi_net
first_lock_no_current_yes,dev_cv,d1_yes,23,14,0.391304347826087,11.640929999999999,-2.6409299999999996,-0.22686589473521443
first_lock_no_current_yes,dev_cv,d2_yes,58,17,0.5,28.882115,0.11788500000000035,0.004081591670139128
first_lock_no_current_yes,dev_cv,current_no,42,16,0.7142857142857143,28.825511700000003,1.1744882999999997,0.04074475111572779
first_lock_no_current_yes,dev_cv,d1_no,133,19,0.6917293233082706,86.43946704999999,5.560532949999998,0.06432863528396776
first_lock_no_current_yes,dev_cv,d2_no,117,19,0.7777777777777778,84.6781416,6.3218584,0.07465750051368628
target_book_close_only_ev0,dev_cv,d1_yes,23,14,0.391304347826087,11.640929999999999,-2.6409299999999996,-0.22686589473521443
target_book_close_only_ev0,dev_cv,d2_yes,55,17,0.4909090909090909,28.953619999999997,-0.95362,-0.03293612335866811
target_book_close_only_ev0,dev_cv,current_no,46,16,0.6956521739130435,36.75069025,0.24930974999999977,0.006783811359842413
target_book_close_only_ev0,dev_cv,d2_no,91,19,0.7692307692307693,66.84892160000001,3.151078399999999,0.04713731088819836
target_book_close_only_ev0,dev_cv,d1_no,134,19,0.6865671641791045,89.93651205,4.063487949999999,0.04518173828823728
target_book_rebalance_ev0,dev_cv,d1_yes,28,16,0.42857142857142855,20.658185000000003,-3.658184999999999,-0.1770816264836431
target_book_rebalance_ev0,dev_cv,d2_yes,55,17,0.509090909090909,39.92611500000001,-1.9261150000000007,-0.048241983974649176
target_book_rebalance_ev0,dev_cv,current_no,54,16,0.6666666666666666,51.57865774999999,-0.5786577500000005,-0.011218937739805776
target_book_rebalance_ev0,dev_cv,d2_no,71,19,0.8309859154929577,54.6778066,5.3221934,0.09733736100526022
target_book_rebalance_ev0,dev_cv,d1_no,165,19,0.696969696969697,143.70707655,6.292923449999999,0.04378993436562257
target_book_rebalance_ev02,dev_cv,d2_yes,56,17,0.5,41.63305,-2.633050000000001,-0.06324422544108589
target_book_rebalance_ev02,dev_cv,d1_yes,28,16,0.4642857142857143,20.293177200000002,-2.2931771999999992,-0.1130023740195793
target_book_rebalance_ev02,dev_cv,current_no,52,16,0.6923076923076923,46.72145775,1.27854225,0.027365204588463428
target_book_rebalance_ev02,dev_cv,d2_no,79,19,0.7974683544303798,60.8862366,3.1137634000000003,0.05114067766178868
target_book_rebalance_ev02,dev_cv,d1_no,158,19,0.6962025316455697,131.4040438,6.595956199999998,0.05019599100039262
first_lock_no_current_yes,verified_forward,d1_yes,12,9,0.5,5.80796,0.1920400000000001,0.03306496601216264
first_lock_no_current_yes,verified_forward,d2_no,45,12,0.7555555555555555,32.76354275,1.2364572499999995,0.03773881412748014
first_lock_no_current_yes,verified_forward,current_no,20,9,0.7,12.272961200000001,1.7270387999999999,0.14071899779166577
first_lock_no_current_yes,verified_forward,d2_yes,13,8,0.6923076923076923,6.67764,2.3223600000000006,0.3477815515661222
first_lock_no_current_yes,verified_forward,d1_no,36,10,0.7222222222222222,23.579290450000002,2.42070955,0.10266252731960389
target_book_close_only_ev0,verified_forward,d1_yes,9,7,0.4444444444444444,4.420875,-0.4208749999999998,-0.09520174173664711
target_book_close_only_ev0,verified_forward,current_no,20,9,0.7,13.5345112,1.4654888000000001,0.1082779258404249
target_book_close_only_ev0,verified_forward,d1_no,35,10,0.7142857142857143,23.991580450000004,2.0084195499999997,0.08371351583884501
target_book_close_only_ev0,verified_forward,d2_yes,13,8,0.6923076923076923,6.67764,2.3223600000000006,0.3477815515661222
target_book_close_only_ev0,verified_forward,d2_no,40,11,0.8,29.59629775,2.4037022500000003,0.08121631530754553
target_book_rebalance_ev0,verified_forward,d1_yes,12,8,0.5,10.224465,-1.224465,-0.11975834432412844
target_book_rebalance_ev0,verified_forward,d2_yes,13,7,0.5384615384615384,8.98489,0.015110000000000623,0.0016817122969786634
target_book_rebalance_ev0,verified_forward,d1_no,42,11,0.7380952380952381,39.289679799999995,1.7103202000000004,0.04353102923480686
target_book_rebalance_ev0,verified_forward,d2_no,33,10,0.7878787878787878,24.19452775,1.8054722499999998,0.07462316556271696
target_book_rebalance_ev0,verified_forward,current_no,26,11,0.7307692307692307,23.291087349999998,2.7089126500000003,0.11630683485457799
target_book_rebalance_ev02,verified_forward,d1_yes,11,8,0.45454545454545453,7.85098,-0.8509799999999997,-0.10839156385572243
target_book_rebalance_ev02,verified_forward,d2_yes,14,8,0.5714285714285714,9.646265000000001,0.3537350000000004,0.03667066994323714
target_book_rebalance_ev02,verified_forward,d1_no,41,11,0.7317073170731707,36.765562,1.2344380000000004,0.033575931737423195
target_book_rebalance_ev02,verified_forward,d2_no,36,11,0.7777777777777778,26.45288275,1.5471172499999999,0.05848577127194199
target_book_rebalance_ev02,verified_forward,current_no,24,11,0.75,19.676726199999997,3.323273799999999,0.16889363434858384
