policy,scope,city,target_date,hour,action,active_before,desired_expression,close_expr,cost_delta,payoff_locked_delta,old_p,new_p,rebalance_incremental_ev,close_incremental_ev
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-02,12.0,open,,d2_no,,0.9332550000000001,0.0,,0.955519982274328,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-04,16.0,open,,d1_no,,0.82641195,0.0,,0.8494729033451355,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-05,10.0,open,,d2_yes,,0.49248,0.0,,0.529540833054331,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-06,13.0,open,,d1_no,,0.808,0.0,,0.8433352282866907,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-12,11.0,open,,d2_no,,0.7398549999999999,0.0,,0.7824077904080537,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-14,10.0,open,,d1_no,,0.5324800000000001,0.0,,0.5783122547546443,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-15,13.0,open,,d2_yes,,0.502495,0.0,,0.5509927602635503,,
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-18,14.0,open,,d1_yes,,0.55242,0.0,,0.5752907629787734,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-03,13.0,open,,d1_no,,0.5623750000000001,0.0,,0.6019689520832825,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-04,12.0,open,,d2_no,,0.621895,0.0,,0.7102570198352274,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-05,11.0,open,,d2_no,,0.5324800000000001,0.0,,0.5589949396520015,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-06,11.0,open,,d2_yes,,0.41200000000000003,0.0,,0.47039227071952,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-07,12.0,open,,d2_no,,0.86602,0.0,,0.8867316271292518,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-08,12.0,open,,d2_yes,,0.612,0.0,,0.6346405023074266,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-13,12.0,open,,current_no,,0.76912,0.0,,0.7913818097218595,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-14,12.0,open,,d2_no,,0.63178,0.0,,0.6724723682945833,,
first_lock_no_current_yes,dev_cv,Ankara,2026-06-18,11.0,open,,d1_no,,0.720295,0.0,,0.7459450514820255,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-02,11.0,open,,d2_no,,0.7398549999999999,0.0,,0.8004190513560898,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-03,12.0,open,,d2_no,,0.808,0.0,,0.8354201663517241,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-04,14.0,open,,current_no,,0.8176950000000001,0.0,,0.8526724419030539,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-05,15.0,open,,current_no,,0.82641195,0.0,,0.847149884380123,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-06,11.0,open,,d2_no,,0.8467199999999999,0.0,,0.8794030101716599,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-07,10.0,open,,d1_no,,0.8467199999999999,0.0,,0.8840171812394084,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-08,10.0,open,,d2_no,,0.808,0.0,,0.8373046147309503,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-09,12.0,open,,d2_no,,0.63178,0.0,,0.6577358538147047,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-10,12.0,open,,d2_no,,0.808,0.0,,0.8408250721293281,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-11,11.0,open,,d2_no,,0.43218,0.0,,0.4954460722347029,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-12,11.0,open,,d2_no,,0.759375,0.0,,0.8229425536698497,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-13,11.0,open,,d2_no,,0.7885800000000001,0.0,,0.8362033790682712,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-15,12.0,open,,d2_yes,,0.49248,0.0,,0.5275850369019299,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-16,10.0,open,,current_no,,0.65053395,0.0,,0.7876531652374584,,
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-17,14.0,open,,d1_no,,0.47242,0.0,,0.526221811243237,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-03,11.0,open,,d2_no,,0.9045,0.0,,0.9252753201580745,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-04,12.0,open,,d2_yes,,0.5623750000000001,0.0,,0.5992647775838549,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-05,10.0,open,,d2_no,,0.69088,0.0,,0.7690504798590532,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-07,11.0,open,,d2_yes,,0.422095,0.0,,0.4706240543921144,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-09,12.0,open,,d2_no,,0.759375,0.0,,0.8218349345721753,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-10,11.0,open,,d2_no,,0.808,0.0,,0.8511427506756116,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-11,15.0,open,,d1_no,,0.7104999999999999,0.0,,0.7660899781206232,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-12,11.0,open,,d2_no,,0.76912,0.0,,0.8239112525593202,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-13,12.0,open,,d2_no,,0.49248,0.0,,0.5298093925760737,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-15,10.0,open,,current_no,,0.45232,0.0,,0.4885330804289181,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-16,11.0,open,,d2_no,,0.63178,0.0,,0.6563693235799122,,
first_lock_no_current_yes,dev_cv,Austin,2026-06-19,12.0,open,,current_no,,0.914095,0.0,,0.9481683304293322,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-04,11.0,open,,d2_no,,0.87661795,0.0,,0.8976362141343215,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-05,13.0,open,,current_no,,0.582255,0.0,,0.6243036187937938,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-07,13.0,open,,d1_yes,,0.4724199999999999,0.0,,0.5294646444805702,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-08,13.0,open,,d2_yes,,0.4523199999999999,0.0,,0.5144354526008903,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-09,10.0,open,,d2_yes,,0.41200000000000003,0.0,,0.4543182101205549,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-10,11.0,open,,current_no,,0.5324800000000001,0.0,,0.5970240620899878,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-11,13.0,open,,d2_yes,,0.422095,0.0,,0.4474676050000814,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-14,14.0,open,,d1_no,,0.5324800000000001,0.0,,0.5810211755973766,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-15,14.0,open,,d2_yes,,0.4724199999999999,0.0,,0.5165744687144175,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-17,14.0,open,,current_no,,0.48245499999999997,0.0,,0.5066636535071092,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-18,11.0,open,,d2_no,,0.7398549999999999,0.0,,0.7677635866881725,,
first_lock_no_current_yes,dev_cv,Beijing,2026-06-20,14.0,open,,d1_no,,0.502495,0.0,,0.5288423938084517,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-02,11.0,open,,d1_no,,0.522495,0.0,,0.5577653676027059,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-03,11.0,open,,d1_no,,0.759375,0.0,,0.7872369428208976,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-05,11.0,open,,d2_no,,0.502495,0.0,,0.5567187682392954,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-09,11.0,open,,d2_no,,0.64066795,0.0,,0.6626450110160547,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-10,10.0,open,,d1_no,,0.759375,0.0,,0.801465388878753,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-11,14.0,open,,d1_no,,0.502495,0.0,,0.5962224588126226,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-12,14.0,open,,d1_no,,0.67122,0.0,,0.7200845230161679,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-13,10.0,open,,d2_no,,0.86602,0.0,,0.8943308857007338,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-14,12.0,open,,d1_no,,0.5324800000000001,0.0,,0.5989502430301316,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-15,13.0,open,,d1_no,,0.49248,0.0,,0.5476936335059636,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-16,15.0,open,,d1_no,,0.6957887500000001,0.0,,0.7634233023967683,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-17,11.0,open,,d2_no,,0.69088,0.0,,0.7358387880741343,,
first_lock_no_current_yes,dev_cv,BuenosAires,2026-06-19,14.0,open,,d1_no,,0.502495,0.0,,0.5503756773259916,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-02,12.0,open,,current_no,,0.5613799500000001,0.0,,0.5951191632882196,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-03,10.0,open,,d2_no,,0.5623750000000001,0.0,,0.5911920595259278,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-04,11.0,open,,d1_yes,,0.48245499999999997,0.0,,0.5158867322514028,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-05,12.0,open,,current_no,,0.7885800000000001,0.0,,0.8220073527201138,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-07,10.0,open,,d1_no,,0.720295,0.0,,0.7485327582283796,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-08,14.0,open,,d1_yes,,0.4724199999999999,0.0,,0.5106886197312229,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-09,10.0,open,,d2_yes,,0.442255,0.0,,0.4887542706149449,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-11,12.0,open,,d2_yes,,0.4724199999999999,0.0,,0.54738960122838,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-12,11.0,open,,d2_no,,0.6020949999999999,0.0,,0.6274018376173678,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-13,11.0,open,,d1_no,,0.63178,0.0,,0.6541395163262176,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-17,12.0,open,,d2_no,,0.778855,0.0,,0.8365191476731123,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-18,12.0,open,,d2_no,,0.7398549999999999,0.0,,0.7939840255295837,,
first_lock_no_current_yes,dev_cv,Busan,2026-06-20,10.0,open,,d1_yes,,0.4623749999999999,0.0,,0.4985594061171491,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-02,13.0,open,,d1_no,,0.74962,0.0,,0.7770060981593416,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-03,10.0,open,,d1_yes,,0.5125,0.0,,0.5427150403236061,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-05,11.0,open,,d2_yes,,0.522495,0.0,,0.5468100741838084,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-07,11.0,open,,d1_no,,0.69088,0.0,,0.71409254226823,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-11,13.0,open,,d2_no,,0.55242,0.0,,0.5873606127195914,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-12,13.0,open,,d1_no,,0.542455,0.0,,0.5750615857594001,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-13,12.0,open,,d1_no,,0.45232,0.0,,0.4870934459890956,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-15,13.0,open,,d1_no,,0.522495,0.0,,0.5446432773053568,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-16,12.0,open,,d2_yes,,0.502495,0.0,,0.5311125752417887,,
first_lock_no_current_yes,dev_cv,CapeTown,2026-06-18,14.0,open,,d1_no,,0.7104999999999999,0.0,,0.760513336974895,,
first_lock_no_current_yes,dev_cv,Chengdu,2026-06-05,15.0,open,,d2_no,,0.778855,0.0,,0.8015708074913832,,
first_lock_no_current_yes,dev_cv,Chengdu,2026-06-06,13.0,open,,current_no,,0.8467199999999999,0.0,,0.8797698458831138,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-04,14.0,open,,d2_yes,,0.442255,0.0,,0.4649827341922243,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-06,13.0,open,,current_no,,0.7885800000000001,0.0,,0.8140824530104075,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-08,11.0,open,,d2_no,,0.856375,0.0,,0.8783812215698956,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-09,14.0,open,,d2_yes,,0.442255,0.0,,0.4865916671291928,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-11,12.0,open,,d1_no,,0.5623750000000001,0.0,,0.6158916353302065,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-12,11.0,open,,d1_yes,,0.41200000000000003,0.0,,0.4865978224636036,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-15,15.0,open,,d1_yes,,0.5125,0.0,,0.5563188680460952,,
first_lock_no_current_yes,dev_cv,Chongqing,2026-06-16,11.0,open,,current_no,,0.856375,0.0,,0.8780000661423735,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-03,12.0,open,,d2_no,,0.65152,0.0,,0.6823323714124734,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-04,11.0,open,,d2_no,,0.641655,0.0,,0.7037431318842707,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-05,11.0,open,,d2_yes,,0.4724199999999999,0.0,,0.508018853440809,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-06,13.0,open,,d2_yes,,0.43218,0.0,,0.4934537097648628,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-07,12.0,open,,d2_no,,0.875655,0.0,,0.9215130198721232,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-08,14.0,open,,d2_no,,0.7885800000000001,0.0,,0.8198500824557352,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-09,12.0,open,,d2_no,,0.808,0.0,,0.8298254991117604,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-10,15.0,open,,d2_no,,0.808,0.0,,0.8401402091136192,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-11,14.0,open,,d2_yes,,0.5324800000000001,0.0,,0.5547566637418938,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-12,12.0,open,,d1_no,,0.502495,0.0,,0.5851807603090535,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-13,15.0,open,,d2_no,,0.661375,0.0,,0.7384835081723087,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-14,10.0,open,,d2_no,,0.700695,0.0,,0.8154351402722719,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-15,10.0,open,,d2_yes,,0.442255,0.0,,0.4937141909919307,,
first_lock_no_current_yes,dev_cv,Dallas,2026-06-16,12.0,open,,d2_no,,0.76912,0.0,,0.7930190207592005,,
first_lock_no_current_yes,dev_cv,Denver,2026-06-07,12.0,open,,d2_yes,,0.5822550000000001,0.0,,0.6081055354289158,,
