policy,scope,city,target_date,first_expression,final_expression,final_win,actions,closes,reopens,holds,last_action,cost_net,payoff,pnl_net,roi_net
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-02,d2_no,d2_no,1.0,1,0,0,0,open,0.9332550000000001,1.0,0.06674499999999994,0.07151850244574091
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-04,d1_no,d1_no,1.0,1,0,0,0,open,0.82641195,1.0,0.17358805,0.21005026609307864
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-05,d2_yes,d2_yes,1.0,1,0,0,0,open,0.49248,1.0,0.50752,1.0305393112410657
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-06,d1_no,d1_no,0.0,1,0,0,0,open,0.808,0.0,-0.808,-1.0
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-12,d2_no,d2_no,0.0,1,0,0,0,open,0.7398549999999999,0.0,-0.7398549999999999,-1.0
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-14,d1_no,d1_no,0.0,1,0,0,0,open,0.5324800000000001,0.0,-0.5324800000000001,-1.0
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-15,d2_yes,d2_yes,0.0,1,0,0,0,open,0.502495,0.0,-0.502495,-1.0
first_lock_no_current_yes,dev_cv,Amsterdam,2026-06-18,d1_yes,d1_yes,0.0,1,0,0,0,open,0.55242,0.0,-0.55242,-1.0
first_lock_no_current_yes,dev_cv,Ankara,2026-06-03,d1_no,d1_no,1.0,1,0,0,0,open,0.5623750000000001,1.0,0.43762499999999993,0.7781729273171814
first_lock_no_current_yes,dev_cv,Ankara,2026-06-04,d2_no,d2_no,1.0,1,0,0,0,open,0.621895,1.0,0.378105,0.6079884868024346
first_lock_no_current_yes,dev_cv,Ankara,2026-06-05,d2_no,d2_no,0.0,1,0,0,0,open,0.5324800000000001,0.0,-0.5324800000000001,-1.0
first_lock_no_current_yes,dev_cv,Ankara,2026-06-06,d2_yes,d2_yes,1.0,1,0,0,0,open,0.41200000000000003,1.0,0.588,1.4271844660194173
first_lock_no_current_yes,dev_cv,Ankara,2026-06-07,d2_no,d2_no,1.0,1,0,0,0,open,0.86602,1.0,0.13398,0.1547077434701277
first_lock_no_current_yes,dev_cv,Ankara,2026-06-08,d2_yes,d2_yes,1.0,1,0,0,0,open,0.612,1.0,0.388,0.6339869281045752
first_lock_no_current_yes,dev_cv,Ankara,2026-06-13,current_no,current_no,1.0,1,0,0,0,open,0.76912,1.0,0.23087999999999997,0.3001872269606823
first_lock_no_current_yes,dev_cv,Ankara,2026-06-14,d2_no,d2_no,0.0,1,0,0,0,open,0.63178,0.0,-0.63178,-1.0
first_lock_no_current_yes,dev_cv,Ankara,2026-06-18,d1_no,d1_no,1.0,1,0,0,0,open,0.720295,1.0,0.279705,0.3883200633073948
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-02,d2_no,d2_no,1.0,1,0,0,0,open,0.7398549999999999,1.0,0.26014500000000007,0.3516161950652494
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-03,d2_no,d2_no,1.0,1,0,0,0,open,0.808,1.0,0.19199999999999995,0.23762376237623756
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-04,current_no,current_no,1.0,1,0,0,0,open,0.8176950000000001,1.0,0.18230499999999994,0.2229498773992747
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-05,current_no,current_no,1.0,1,0,0,0,open,0.82641195,1.0,0.17358805,0.21005026609307864
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-06,d2_no,d2_no,1.0,1,0,0,0,open,0.8467199999999999,1.0,0.15328000000000008,0.18102796674225258
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-07,d1_no,d1_no,1.0,1,0,0,0,open,0.8467199999999999,1.0,0.15328000000000008,0.18102796674225258
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-08,d2_no,d2_no,1.0,1,0,0,0,open,0.808,1.0,0.19199999999999995,0.23762376237623756
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-09,d2_no,d2_no,0.0,1,0,0,0,open,0.63178,0.0,-0.63178,-1.0
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-10,d2_no,d2_no,1.0,1,0,0,0,open,0.808,1.0,0.19199999999999995,0.23762376237623756
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-11,d2_no,d2_no,1.0,1,0,0,0,open,0.43218,1.0,0.56782,1.313850710352168
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-12,d2_no,d2_no,0.0,1,0,0,0,open,0.759375,0.0,-0.759375,-1.0
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-13,d2_no,d2_no,1.0,1,0,0,0,open,0.7885800000000001,1.0,0.21141999999999994,0.26810215830987333
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-15,d2_yes,d2_yes,0.0,1,0,0,0,open,0.49248,0.0,-0.49248,-1.0
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-16,current_no,current_no,0.0,1,0,0,0,open,0.65053395,0.0,-0.65053395,-1.0
first_lock_no_current_yes,dev_cv,Atlanta,2026-06-17,d1_no,d1_no,1.0,1,0,0,0,open,0.47242,1.0,0.5275799999999999,1.1167605097159305
first_lock_no_current_yes,dev_cv,Austin,2026-06-03,d2_no,d2_no,1.0,1,0,0,0,open,0.9045,1.0,0.09550000000000003,0.10558319513543397
first_lock_no_current_yes,dev_cv,Austin,2026-06-04,d2_yes,d2_yes,1.0,1,0,0,0,open,0.5623750000000001,1.0,0.43762499999999993,0.7781729273171814
first_lock_no_current_yes,dev_cv,Austin,2026-06-05,d2_no,d2_no,1.0,1,0,0,0,open,0.69088,1.0,0.30911999999999995,0.4474293654469661
first_lock_no_current_yes,dev_cv,Austin,2026-06-07,d2_yes,d2_yes,1.0,1,0,0,0,open,0.422095,1.0,0.577905,1.369134910387472
first_lock_no_current_yes,dev_cv,Austin,2026-06-09,d2_no,d2_no,1.0,1,0,0,0,open,0.759375,1.0,0.24062499999999998,0.31687242798353904
first_lock_no_current_yes,dev_cv,Austin,2026-06-10,d2_no,d2_no,0.0,1,0,0,0,open,0.808,0.0,-0.808,-1.0
first_lock_no_current_yes,dev_cv,Austin,2026-06-11,d1_no,d1_no,1.0,1,0,0,0,open,0.7104999999999999,1.0,0.2895000000000001,0.40745953553835346
first_lock_no_current_yes,dev_cv,Austin,2026-06-12,d2_no,d2_no,1.0,1,0,0,0,open,0.76912,1.0,0.23087999999999997,0.3001872269606823
first_lock_no_current_yes,dev_cv,Austin,2026-06-13,d2_no,d2_no,0.0,1,0,0,0,open,0.49248,0.0,-0.49248,-1.0
first_lock_no_current_yes,dev_cv,Austin,2026-06-15,current_no,current_no,1.0,1,0,0,0,open,0.45232,1.0,0.54768,1.2108241952599927
