threshold,target_date,rows,cities,cost,hold_pnl,exit_pnl,exits,wins,hold_roi,exit_overlay_roi,delta_pnl,delta_roi
0.0,2026-07-01,22,17,12.89756,1.10244,2.14881,7,14.0,0.08547663278945786,0.16660593166459392,1.04637,0.08112929887513608
0.0,2026-07-02,5,3,3.2248099999999997,-0.2248099999999999,-0.3188999999999999,1,3.0,-0.06971263423271445,-0.09888954698106243,-0.09409000000000001,-0.02917691274834797
0.0,2026-07-03,4,3,1.7946,1.2054,0.95165,2,3.0,0.6716817118020729,0.5302853003454809,-0.25375000000000003,-0.141396411456592
0.0,2026-07-04,15,12,10.50961,1.49039,1.3436299999999999,6,12.0,0.14181211291379986,0.12784775077286406,-0.14676000000000022,-0.013964362140935794
0.0,2026-07-05,26,18,18.696740000000002,-1.6967400000000001,-1.8046900000000003,10,17.0,-0.09075058004764466,-0.09652431386434214,-0.10795000000000021,-0.005773733816697467
0.0,2026-07-06,13,11,8.23638,1.76362,1.71326,3,10.0,0.21412562314997607,0.2080112865117928,-0.05035999999999996,-0.006114336638183274
0.01,2026-07-01,22,17,12.89756,1.10244,2.14881,7,14.0,0.08547663278945786,0.16660593166459392,1.04637,0.08112929887513608
0.01,2026-07-02,5,3,3.2248099999999997,-0.2248099999999999,-0.3188999999999999,1,3.0,-0.06971263423271445,-0.09888954698106243,-0.09409000000000001,-0.02917691274834797
0.01,2026-07-03,4,3,1.7946,1.2054,0.95165,2,3.0,0.6716817118020729,0.5302853003454809,-0.25375000000000003,-0.141396411456592
0.01,2026-07-04,14,11,9.5821,1.4179,1.3078299999999998,5,11.0,0.1479738261967627,0.13648678264681016,-0.11007000000000011,-0.011487043549952527
0.01,2026-07-05,24,16,16.79203,-0.7920300000000002,-1.8653600000000004,8,16.0,-0.047167019115616174,-0.11108603307640591,-1.0733300000000001,-0.06391901396078974
0.01,2026-07-06,13,11,8.23638,1.76362,1.71326,3,10.0,0.21412562314997607,0.2080112865117928,-0.05035999999999996,-0.006114336638183274
0.02,2026-07-01,22,17,12.89756,1.10244,2.14881,7,14.0,0.08547663278945786,0.16660593166459392,1.04637,0.08112929887513608
0.02,2026-07-02,4,3,2.58315,-0.5831499999999998,-0.6772399999999998,1,2.0,-0.22575150494551222,-0.2621760253953506,-0.09409000000000001,-0.036424520449838384
0.02,2026-07-03,4,3,1.7946,1.2054,0.95165,2,3.0,0.6716817118020729,0.5302853003454809,-0.25375000000000003,-0.141396411456592
0.02,2026-07-04,13,10,8.61732,1.38268,1.2726099999999998,5,10.0,0.16045359810242626,0.14768048534811284,-0.11007000000000011,-0.01277311275431342
0.02,2026-07-05,22,16,14.94567,-0.9456700000000002,-1.9362500000000002,6,14.0,-0.06327384453156,-0.1295525727518405,-0.99058,-0.06627872822028053
0.02,2026-07-06,13,11,8.23638,1.76362,1.71326,3,10.0,0.21412562314997607,0.2080112865117928,-0.05035999999999996,-0.006114336638183274
0.03,2026-07-01,22,17,12.89756,1.10244,2.14881,7,14.0,0.08547663278945786,0.16660593166459392,1.04637,0.08112929887513608
0.03,2026-07-02,4,3,2.58315,-0.5831499999999998,-0.6772399999999998,1,2.0,-0.22575150494551222,-0.2621760253953506,-0.09409000000000001,-0.036424520449838384
0.03,2026-07-03,4,3,1.7946,1.2054,0.95165,2,3.0,0.6716817118020729,0.5302853003454809,-0.25375000000000003,-0.141396411456592
0.03,2026-07-04,13,10,8.61732,1.38268,1.2726099999999998,5,10.0,0.16045359810242626,0.14768048534811284,-0.11007000000000011,-0.01277311275431342
0.03,2026-07-05,20,15,13.17416,-1.17416,-2.12387,5,12.0,-0.08912598602112014,-0.16121483267244363,-0.94971,-0.07208884665132351
0.03,2026-07-06,12,10,7.3031299999999995,1.69687,1.6465100000000001,3,9.0,0.2323483218839046,0.22545264838500756,-0.05035999999999996,-0.006895673498897043
