city,target_date,entry_snapshot_ts_utc,leg,bracket,entry_price,entry_cost_per_share,entry_p_model,entry_model_edge_per_share,win,hold_pnl_per_share,exit_triggered,exit_snapshot_ts_utc,exit_ts_beijing,exit_no_bid,exit_fee_per_share,exit_net_per_share,exit_p_leg_win_now,exit_p_no_hold_now,exit_pnl_per_share,exit_minutes_after_entry,overlay_delta_per_share,threshold
Amsterdam,2026-07-01,2026-07-01T10:32:16Z,d1_no,24,0.4,0.412,0.6229146221931994,0.2109146221931993,1.0,0.5880000000000001,False,,,,,,,,0.5880000000000001,,0.0,0.0
Beijing,2026-07-01,2026-07-01T07:15:54Z,d1_no,32,0.91,0.91409,0.9448847185381604,0.0307947185381602,1.0,0.08591000000000004,True,2026-07-01T08:37:18Z,2026-07-01 16:37:18,0.997,0.00015,0.99685,0.9556745597596923,0.9556745597596923,0.08276000000000006,81.4,-0.003149999999999986,0.0
Busan,2026-07-01,2026-07-01T07:56:37Z,d1_no,23,0.061,0.06386,0.9348951702125484,0.8710351702125484,0.0,-0.06386,False,,,,,,,,-0.06386,,0.0,0.0
CapeTown,2026-07-01,2026-07-01T08:37:18Z,d1_no,15,0.6,0.612,0.7046640148786256,0.0926640148786256,0.0,-0.612,True,2026-07-01T10:32:16Z,2026-07-01 18:32:16,0.61,0.01189,0.59811,0.5833016755395437,0.4166983244604563,-0.013889999999999958,114.96666666666667,0.59811,0.0
CapeTown,2026-07-01,2026-07-01T09:18:21Z,d1_no,16,0.45,0.46238,0.6720506093944348,0.2096706093944348,1.0,0.53762,False,,,,,,,,0.53762,,0.0,0.0
Chengdu,2026-07-01,2026-07-01T07:15:54Z,d1_no,32,0.75,0.7593799999999999,0.9708280755113504,0.2114480755113504,0.0,-0.7593799999999999,False,,,,,,,,-0.7593799999999999,,0.0,0.0
Guangzhou,2026-07-01,2026-07-01T07:15:54Z,d1_no,33,0.785,0.79344,0.9853706655824312,0.1919306655824312,1.0,0.20655999999999997,False,,,,,,,,0.20655999999999997,,0.0,0.0
Helsinki,2026-07-01,2026-07-01T07:56:37Z,d1_no,24,0.6,0.612,0.6849132775966904,0.0729132775966904,0.0,-0.612,False,,,,,,,,-0.612,,0.0,0.0
Helsinki,2026-07-01,2026-07-01T09:55:18Z,d1_no,25,0.44,0.45232,0.679935030096961,0.227615030096961,1.0,0.54768,False,,,,,,,,0.54768,,0.0,0.0
Istanbul,2026-07-01,2026-07-01T07:15:54Z,d1_no,28,0.48,0.49248,0.7151535400798819,0.2226735400798818,0.0,-0.49248,False,,,,,,,,-0.49248,,0.0,0.0
Karachi,2026-07-01,2026-07-01T07:15:54Z,d1_no,34,0.32,0.33088,0.950693643597194,0.6198136435971939,1.0,0.6691199999999999,True,2026-07-01T09:18:21Z,2026-07-01 17:18:21,0.972,0.00136,0.97064,0.9689084936544595,0.9689084936544595,0.6397599999999999,122.45,-0.029360000000000053,0.0
Lucknow,2026-07-01,2026-07-01T07:15:54Z,d1_no,34+,0.37,0.38165,0.948825966608468,0.5671759666084679,1.0,0.61835,True,2026-07-01T09:18:21Z,2026-07-01 17:18:21,0.97,0.00146,0.96854,0.9660081394592217,0.9660081394592217,0.5868899999999999,122.45,-0.031460000000000043,0.0
Milan,2026-07-01,2026-07-01T07:56:37Z,d1_no,30,0.76,0.76912,0.8777110539063113,0.1085910539063113,0.0,-0.76912,True,2026-07-01T09:55:18Z,2026-07-01 17:55:18,0.61,0.01189,0.59811,0.5823926691554999,0.4176073308445001,-0.17101,118.68333333333334,0.59811,0.0
Milan,2026-07-01,2026-07-01T09:55:18Z,d1_no,31,0.59,0.60209,0.921760147213844,0.319670147213844,1.0,0.39791,False,,,,,,,,0.39791,,0.0,0.0
