city,target_date,decision_snapshot_ts_utc,decision_hour_local,decision_hour_local_float,timezone,unit,source_profile_id,forecast_source,forecast_clock_source,forecast_timezone,forecast_max_native,forecast_max_f,forecast_peak_hour_local,forecast_peak_delta_hours_local,forecast_peak_hour_spread,forecast_gap_to_running_native,obs_status,obs_source,station,source_report_ts_utc,detect_ts_utc,fetched_at_utc,obs_age_minutes,obs_age_min,expected_report_cadence,observation_cadence_min,station_gap_state,current_temp_c,running_max_c,current_native,current_temp_native,running_native,running_max_native,running_value,decline_native,decline_from_running_max_native,tmpf_now,dwpf_now,dewpoint_depression_f,relative_humidity_pct,wind_speed_kt,wind_dir_deg,sky_cover_code,temp_trend_1h_f,temp_trend_3h_f,minutes_since_running_max,running_max_obs_utc,geo_context,is_coastal_context,wind_sector,coastal_flow_state,geo_context,is_coastal_context,wind_sector,coastal_flow_state,wind_thermal_state,marine_thermal_state,sky_state,moisture_state,warming_state,cloud_warming_interaction,moisture_cloud_interaction,forecast_peak_clock_state,temperature_context_regime,city_family,solar_window,day_regime,moisture_cloud_regime,wind_regime,running_max_state,intraday_state,composite_regime,feature_schema_version,feature_grain,as_of_ts_utc,feature_version_manifest,pit_provenance,builder_version,input_snapshot_id
Amsterdam,2026-07-01,2026-07-01T07:56:37Z,9.93,9.93,Europe/Amsterdam,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Europe/Amsterdam,22.1,71.7,15.0,-5.07,,-0.8999999999999986,ok,aviationweather_metar,EHAM,2026-07-01T15:25:00Z,,2026-07-01T15:55:53Z,30.889,30.889,30.0,30.0,within_expected_cadence,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,73.4,48.2,25.200000000000003,,9.0,,,0.0,0.0,30.889,2026-07-01T15:25:00Z,coastal_marine,True,unknown,flow_unknown,coastal_marine,True,unknown,flow_unknown,light_wind,coastal_light_or_unclear_flow,sky_unknown,very_dry_deep_mixing,flat,cloud_warming_unknown,dry_heat_inertia,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | flat | cloud_warming_unknown | dry_heat_inertia | coastal_light_or_unclear_flow,europe_cloud_break,late_morning,day_forecast_busted,dry_heat_inertia,light_wind,fresh_running_high,fresh_high,day_forecast_busted | fresh_high | dry_heat_inertia,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Ankara,2026-07-01,2026-07-01T07:56:37Z,10.93,10.93,Europe/Istanbul,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Europe/Istanbul,30.4,86.7,17.0,-6.07,,-0.6000000000000014,ok,aviationweather_metar,LTAC,2026-07-01T15:20:00Z,,2026-07-01T15:55:53Z,35.884,35.884,30.0,30.0,within_expected_cadence,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,87.8,41.0,46.8,,6.0,,,0.0,0.0,35.884,2026-07-01T15:20:00Z,unknown_geo,False,unknown,flow_unknown,unknown_geo,False,unknown,flow_unknown,light_wind,inland_wind_mixing,sky_unknown,very_dry_deep_mixing,flat,cloud_warming_unknown,dry_heat_inertia,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | flat | cloud_warming_unknown | dry_heat_inertia | inland_wind_mixing,continental_dry_hot,late_morning,day_forecast_busted,dry_heat_inertia,light_wind,fresh_running_high,fresh_high,day_forecast_busted | fresh_high | dry_heat_inertia,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Atlanta,2026-07-01,2026-07-01T07:56:37Z,3.9299999999999997,3.9299999999999997,America/New_York,F,n100_recovery_observation_cache,open_meteo_live_gfs,paper_snapshot,America/New_York,96.8,96.8,16.0,-12.07,,5.760000000000005,ok,aviationweather_metar,KATL,2026-07-01T15:52:00Z,,2026-07-01T15:55:53Z,3.9,3.9,60.0,60.0,within_expected_cadence,32.8,32.8,91.03999999999999,91.03999999999999,91.03999999999999,91.03999999999999,91.03999999999999,0.0,0.0,91.03999999999999,73.94,17.099999999999994,,0.0,,,3.0599999999999925,7.019999999999998,3.9,2026-07-01T15:52:00Z,inland_humid,False,unknown,flow_unknown,inland_humid,False,unknown,flow_unknown,light_wind,inland_wind_mixing,sky_unknown,dry_mixed_layer,fast_warming,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | fast_warming | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,humid_low_latitude,late_morning,day_open_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,day_open_runway | active_warming | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Austin,2026-07-01,2026-07-01T07:56:37Z,2.9299999999999997,2.9299999999999997,America/Chicago,F,n100_recovery_observation_cache,open_meteo_live_gfs,paper_snapshot,America/Chicago,96.7,96.7,17.0,-14.07,,11.780000000000015,ok,aviationweather_metar,KAUS,2026-07-01T14:53:00Z,,2026-07-01T15:55:53Z,62.886,62.886,35.0,35.0,beyond_expected_cadence,29.4,29.4,84.91999999999999,84.91999999999999,84.91999999999999,84.91999999999999,84.91999999999999,0.0,0.0,84.91999999999999,73.04,11.879999999999981,,10.0,,,0.0,5.939999999999995,62.886,2026-07-01T14:53:00Z,inland_plain,False,unknown,flow_unknown,inland_plain,False,unknown,flow_unknown,moderate_mixing,inland_wind_mixing,sky_unknown,mixed_moisture,flat,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | flat | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,continental_dry_hot,late_morning,day_open_runway,mixed_moisture,moderate_wind,near_high_plateau,plateau_near_high,day_open_runway | plateau_near_high | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Beijing,2026-07-01,2026-07-01T07:56:37Z,15.93,15.93,Asia/Shanghai,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Asia/Shanghai,30.7,87.3,16.0,-0.07,,-0.3000000000000007,ok,aviationweather_metar,ZBAA,2026-07-01T15:30:00Z,,2026-07-01T15:55:54Z,25.908,25.908,30.0,30.0,within_expected_cadence,27.0,31.0,27.0,27.0,31.0,31.0,31.0,4.0,4.0,80.6,71.6,9.0,,2.0,,,-1.8,0.0,385.908,2026-07-01T09:30:00Z,inland_plain,False,unknown,flow_unknown,inland_plain,False,unknown,flow_unknown,light_wind,inland_wind_mixing,sky_unknown,mixed_moisture,cooling,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_0_to_2h_ahead,forecast_peak_0_to_2h_ahead | cooling | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,continental_dry_hot,afternoon_decay_window,day_forecast_capped,mixed_moisture,light_wind,mature_fade,mature_fade,day_forecast_capped | mature_fade | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
BuenosAires,2026-07-01,2026-07-01T07:56:37Z,4.93,4.93,America/Argentina/Buenos_Aires,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,America/Argentina/Buenos_Aires,12.8,55.1,15.0,-10.07,,1.8000000000000007,ok,aviationweather_metar,SAEZ,2026-07-01T15:00:00Z,,2026-07-01T15:55:54Z,55.903,55.903,30.0,30.0,beyond_expected_cadence,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,51.8,44.6,7.199999999999996,,5.0,,,3.6,14.4,55.903,2026-07-01T15:00:00Z,coastal_marine,True,unknown,flow_unknown,coastal_marine,True,unknown,flow_unknown,light_wind,coastal_light_or_unclear_flow,sky_unknown,mixed_moisture,fast_warming,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | fast_warming | cloud_warming_unknown | mixed_moisture_cloud | coastal_light_or_unclear_flow,southern_or_maritime,late_morning,day_open_runway,mixed_moisture,light_wind,near_high_plateau,active_warming,day_open_runway | active_warming | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Busan,2026-07-02,2026-07-01T07:56:37Z,16.93,16.93,Asia/Seoul,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Asia/Seoul,27.2,80.9,12.0,4.93,,7.199999999999999,ok,aviationweather_metar,RKPK,2026-07-01T15:00:00Z,,2026-07-01T15:55:54Z,55.911,55.911,,,fresh_unknown_cadence,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,68.0,66.2,1.7999999999999972,,2.0,,,,,55.911,2026-07-01T15:00:00Z,coastal_humid,True,unknown,flow_unknown,coastal_humid,True,unknown,flow_unknown,light_wind,coastal_light_or_unclear_flow,sky_unknown,mixed_moisture,warming_unknown,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_passed_2h_plus,forecast_peak_passed_2h_plus | warming_unknown | cloud_warming_unknown | mixed_moisture_cloud | coastal_light_or_unclear_flow,humid_low_latitude,afternoon_decay_window,day_open_runway,mixed_moisture,light_wind,near_high_plateau,state_unknown,day_open_runway | state_unknown | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
CapeTown,2026-07-01,2026-07-01T07:56:37Z,9.93,9.93,Africa/Johannesburg,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Africa/Johannesburg,14.6,58.3,13.0,-3.07,,-0.40000000000000036,ok,aviationweather_metar,FACT,2026-07-01T15:00:00Z,,2026-07-01T15:55:55Z,55.921,55.921,60.0,60.0,within_expected_cadence,13.0,15.0,13.0,13.0,15.0,15.0,15.0,2.0,2.0,55.4,46.4,9.0,,11.0,,,-3.6,-3.6,115.921,2026-07-01T14:00:00Z,coastal_marine,True,unknown,flow_unknown,coastal_marine,True,unknown,flow_unknown,moderate_mixing,coastal_direction_unknown_mixing,sky_unknown,mixed_moisture,cooling,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | cooling | cloud_warming_unknown | mixed_moisture_cloud | coastal_direction_unknown_mixing,southern_or_maritime,late_morning,day_forecast_capped,mixed_moisture,moderate_wind,pullback_from_high,pullback_uncertain,day_forecast_capped | pullback_uncertain | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Chengdu,2026-07-01,2026-07-01T07:56:37Z,15.93,15.93,Asia/Shanghai,C,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,Asia/Shanghai,31.7,89.0,17.0,-1.07,,-0.3000000000000007,ok,aviationweather_metar,ZUUU,2026-07-01T15:00:00Z,,2026-07-01T15:55:55Z,55.92,55.92,60.0,60.0,within_expected_cadence,27.0,32.0,27.0,27.0,32.0,32.0,32.0,5.0,5.0,80.6,73.4,7.199999999999989,,4.0,,,0.0,-1.8,475.92,2026-07-01T08:00:00Z,basin_inland,False,unknown,flow_unknown,basin_inland,False,unknown,flow_unknown,light_wind,inland_wind_mixing,sky_unknown,mixed_moisture,flat,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_0_to_2h_ahead,forecast_peak_0_to_2h_ahead | flat | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,humid_low_latitude,afternoon_decay_window,day_forecast_capped,mixed_moisture,light_wind,mature_fade,mature_fade,day_forecast_capped | mature_fade | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Chicago,2026-07-01,2026-07-01T07:56:37Z,2.9299999999999997,2.9299999999999997,America/Chicago,F,n100_recovery_observation_cache,open_meteo_live_gfs,paper_snapshot,America/Chicago,97.2,97.2,14.0,-11.07,,9.219999999999999,ok,aviationweather_metar,KORD,2026-07-01T15:51:00Z,,2026-07-01T15:55:55Z,4.924,4.924,60.0,60.0,within_expected_cadence,31.1,31.1,87.98,87.98,87.98,87.98,87.98,0.0,0.0,87.98,71.06,16.92,,14.0,,,0.9,5.040000000000001,4.924,2026-07-01T15:51:00Z,unknown_geo,False,unknown,flow_unknown,unknown_geo,False,unknown,flow_unknown,moderate_mixing,inland_wind_mixing,sky_unknown,dry_mixed_layer,warming,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | warming | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,other,late_morning,day_open_runway,mixed_moisture,moderate_wind,fresh_running_high,fresh_high,day_open_runway | fresh_high | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
Dallas,2026-07-01,2026-07-01T07:56:37Z,2.9299999999999997,2.9299999999999997,America/Chicago,F,n100_recovery_observation_cache,open_meteo_live_ecmwf,paper_snapshot,America/Chicago,98.5,98.5,16.0,-13.07,,13.580000000000013,ok,aviationweather_metar,KDAL,2026-07-01T14:53:00Z,,2026-07-01T15:55:56Z,62.936,62.936,60.0,60.0,within_expected_cadence,29.4,29.4,84.91999999999999,84.91999999999999,84.91999999999999,84.91999999999999,84.91999999999999,0.0,0.0,84.91999999999999,71.96,12.959999999999994,,9.0,,,0.0,3.9599999999999986,62.936,2026-07-01T14:53:00Z,inland_plain,False,unknown,flow_unknown,inland_plain,False,unknown,flow_unknown,light_wind,inland_wind_mixing,sky_unknown,mixed_moisture,flat,cloud_warming_unknown,mixed_moisture_cloud,forecast_peak_2h_plus_ahead,forecast_peak_2h_plus_ahead | flat | cloud_warming_unknown | mixed_moisture_cloud | inland_wind_mixing,continental_dry_hot,late_morning,day_open_runway,mixed_moisture,light_wind,near_high_plateau,plateau_near_high,day_open_runway | plateau_near_high | mixed_moisture,feature_frame_v1,city_date_snapshot,2026-07-01T07:56:37Z,"{""market_geometry"": ""market_geometry_v1"", ""weather_bias"": ""weather_bias_v1"", ""weather_regime"": ""weather_regime_v1"", ""weather_state"": ""weather_state_v1""}",archive_reconstruction,weather_state_frame_builder_v1,snapshot_20260701_1556.json
