city,target_date,field,status,feature_value,legacy_value,numeric_diff
Amsterdam,2026-07-01,city_family,match,europe_cloud_break,europe_cloud_break,
Amsterdam,2026-07-01,composite_regime,match,day_forecast_busted | fresh_high | dry_heat_inertia,day_forecast_busted | fresh_high | dry_heat_inertia,
Amsterdam,2026-07-01,current_native,match,23.0,23.0,
Amsterdam,2026-07-01,current_temp_c,match,23.0,23.0,
Amsterdam,2026-07-01,day_regime,match,day_forecast_busted,day_forecast_busted,
Amsterdam,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
Amsterdam,2026-07-01,decision_snapshot_ts_utc,match,2026-07-01T07:56:37Z,2026-07-01T07:56:37Z,
Amsterdam,2026-07-01,decline_native,match,0.0,0.0,
Amsterdam,2026-07-01,dewpoint_depression_f,match,25.200000000000003,25.200000000000003,
Amsterdam,2026-07-01,dwpf_now,match,48.2,48.2,
Amsterdam,2026-07-01,forecast_gap_to_running_native,match,-0.8999999999999986,-0.8999999999999986,
Amsterdam,2026-07-01,forecast_max_f,match,71.7,71.7,
Amsterdam,2026-07-01,forecast_max_native,match,22.1,22.1,
Amsterdam,2026-07-01,forecast_peak_delta_hours_local,match,-5.07,-5.07,
Amsterdam,2026-07-01,forecast_peak_hour_local,match,15.0,15.0,
Amsterdam,2026-07-01,forecast_peak_hour_spread,match,,,
Amsterdam,2026-07-01,forecast_source,match,open_meteo_live_ecmwf,open_meteo_live_ecmwf,
Amsterdam,2026-07-01,intraday_state,match,fresh_high,fresh_high,
Amsterdam,2026-07-01,minutes_since_running_max,match,30.889,30.889,
Amsterdam,2026-07-01,moisture_cloud_regime,match,dry_heat_inertia,dry_heat_inertia,
Amsterdam,2026-07-01,obs_age_min,match,30.889,30.889,
Amsterdam,2026-07-01,obs_source,match,aviationweather_metar,aviationweather_metar,
Amsterdam,2026-07-01,relative_humidity_pct,match,,,
Amsterdam,2026-07-01,running_max_c,match,23.0,23.0,
Amsterdam,2026-07-01,running_max_obs_utc,match,2026-07-01T15:25:00Z,2026-07-01T15:25:00Z,
Amsterdam,2026-07-01,running_max_state,match,fresh_running_high,fresh_running_high,
Amsterdam,2026-07-01,running_native,match,23.0,23.0,
Amsterdam,2026-07-01,running_value,match,23.0,23.0,
Amsterdam,2026-07-01,sky_cover_code,match,,,
Amsterdam,2026-07-01,solar_window,match,late_morning,late_morning,
Amsterdam,2026-07-01,temp_trend_1h_f,match,0.0,0.0,
Amsterdam,2026-07-01,temp_trend_3h_f,match,0.0,0.0,
Amsterdam,2026-07-01,timezone,match,Europe/Amsterdam,Europe/Amsterdam,
Amsterdam,2026-07-01,tmpf_now,match,73.4,73.4,
Amsterdam,2026-07-01,unit,match,C,C,
Amsterdam,2026-07-01,wind_regime,match,light_wind,light_wind,
Amsterdam,2026-07-01,wind_speed_kt,match,9.0,9.0,
Ankara,2026-07-01,city_family,match,continental_dry_hot,continental_dry_hot,
Ankara,2026-07-01,composite_regime,match,day_forecast_busted | fresh_high | dry_heat_inertia,day_forecast_busted | fresh_high | dry_heat_inertia,
Ankara,2026-07-01,current_native,match,31.0,31.0,
Ankara,2026-07-01,current_temp_c,match,31.0,31.0,
Ankara,2026-07-01,day_regime,match,day_forecast_busted,day_forecast_busted,
Ankara,2026-07-01,decision_hour_local,numeric_mismatch,10.93,10.0,0.9299999999999997
Ankara,2026-07-01,decision_snapshot_ts_utc,match,2026-07-01T07:56:37Z,2026-07-01T07:56:37Z,
Ankara,2026-07-01,decline_native,match,0.0,0.0,
Ankara,2026-07-01,dewpoint_depression_f,match,46.8,46.8,
Ankara,2026-07-01,dwpf_now,match,41.0,41.0,
Ankara,2026-07-01,forecast_gap_to_running_native,match,-0.6000000000000014,-0.6000000000000014,
Ankara,2026-07-01,forecast_max_f,match,86.7,86.7,
Ankara,2026-07-01,forecast_max_native,match,30.4,30.4,
Ankara,2026-07-01,forecast_peak_delta_hours_local,match,-6.07,-6.07,
Ankara,2026-07-01,forecast_peak_hour_local,match,17.0,17.0,
Ankara,2026-07-01,forecast_peak_hour_spread,match,,,
Ankara,2026-07-01,forecast_source,match,open_meteo_live_ecmwf,open_meteo_live_ecmwf,
Ankara,2026-07-01,intraday_state,match,fresh_high,fresh_high,
Ankara,2026-07-01,minutes_since_running_max,match,35.884,35.884,
Ankara,2026-07-01,moisture_cloud_regime,match,dry_heat_inertia,dry_heat_inertia,
