city,target_date,field,status,feature_value,legacy_value,numeric_diff
Amsterdam,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
Ankara,2026-07-01,decision_hour_local,numeric_mismatch,10.93,10.0,0.9299999999999997
Atlanta,2026-07-01,decision_hour_local,numeric_mismatch,3.9299999999999997,3.0,0.9299999999999997
Beijing,2026-07-01,decision_hour_local,numeric_mismatch,15.93,15.0,0.9299999999999997
BuenosAires,2026-07-01,decision_hour_local,numeric_mismatch,4.93,4.0,0.9299999999999997
CapeTown,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
Chengdu,2026-07-01,decision_hour_local,numeric_mismatch,15.93,15.0,0.9299999999999997
Chicago,2026-07-01,decision_hour_local,numeric_mismatch,2.9299999999999997,2.0,0.9299999999999997
Guangzhou,2026-07-01,decision_hour_local,numeric_mismatch,15.93,15.0,0.9299999999999997
Helsinki,2026-07-01,decision_hour_local,numeric_mismatch,10.93,10.0,0.9299999999999997
Houston,2026-07-01,decision_hour_local,numeric_mismatch,2.9299999999999997,2.0,0.9299999999999997
Karachi,2026-07-01,decision_hour_local,numeric_mismatch,12.93,12.0,0.9299999999999997
LA,2026-07-01,decision_hour_local,numeric_mismatch,0.9299999999999997,0.0,0.9299999999999997
London,2026-07-01,decision_hour_local,numeric_mismatch,8.93,8.0,0.9299999999999997
Madrid,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
Manila,2026-07-01,decision_hour_local,numeric_mismatch,15.93,15.0,0.9299999999999997
Miami,2026-07-01,decision_hour_local,numeric_mismatch,3.9299999999999997,3.0,0.9299999999999997
Munich,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
NYC,2026-07-01,decision_hour_local,numeric_mismatch,3.9299999999999997,3.0,0.9299999999999997
PanamaCity,2026-07-01,decision_hour_local,numeric_mismatch,2.9299999999999997,2.0,0.9299999999999997
Paris,2026-07-01,decision_hour_local,numeric_mismatch,9.93,9.0,0.9299999999999997
SanFrancisco,2026-07-01,decision_hour_local,numeric_mismatch,0.9299999999999997,0.0,0.9299999999999997
SaoPaulo,2026-07-01,decision_hour_local,numeric_mismatch,4.93,4.0,0.9299999999999997
