city,target_date,condition_id,label,yes_buy_shares,yes_buy_cost,no_buy_shares,no_buy_cost,yes_sell_shares,yes_sell_proceeds,no_sell_shares,no_sell_proceeds,yes_buy_vwap,no_buy_vwap,dual_outcome_bought,diagnostic_matched_shares,diagnostic_vwap_sum,diagnostic_underround,yes_roundtrip,no_roundtrip
hong-kong,2026-04-25,0x61fd400daaefcba002dfdf915cb225b846a67b0ccf5cd1b7b958728e7ff753aa,Will the highest temperature in Hong Kong be 24°C on April 25?,85.67,9.57573,0.0,0.0,82.67,0.08267,0.0,0.0,0.11177460021010856,,False,0.0,,False,True,False
hong-kong,2026-04-27,0x31893907367d2d83cddf3220004832876e02ca76bd0b8a6efbd55a3f62eda1da,Will the highest temperature in Hong Kong be 22°C on April 27?,0.0,0.0,5.0,4.95,0.0,0.0,0.0,0.0,,0.99,False,0.0,,False,False,False
shenzhen,2026-04-26,0xf5747dfc6222b2011e5fca6cf0a62a6d19157aeec47d16df3e66cd787c504c38,Will the highest temperature in Shenzhen be 32°C or higher on April 26?,15.04,0.2256,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000001,,False,0.0,,False,False,False
hong-kong,2026-04-26,0x4afc93b587e678f8d82be40f13e3c4fa290ca58527c2e98460d245595609a967,Will the highest temperature in Hong Kong be 26°C on April 26?,837.82,44.6836,0.0,0.0,0.0,0.0,0.0,0.0,0.05333317419016017,,False,0.0,,False,False,False
shenzhen,2026-04-26,0x77f5d35ad7a260321c3ca8579b4d31ce2724bc1938c6731d61be29293d752c9f,Will the highest temperature in Shenzhen be 28°C on April 26?,0.0,0.0,15.0,9.8,0.0,0.0,0.0,0.0,,0.6533333333333334,False,0.0,,False,False,False
shenzhen,2026-04-26,0xcb0e11ac0baa0926b611fb0a137f1d188631542b8b790483b9ce9dad02228018,Will the highest temperature in Shenzhen be 31°C on April 26?,68.85,6.1965,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,,False,0.0,,False,False,False
hong-kong,2026-04-28,0xe68d56dab496a26906093eb8a240666741bbc3e50b452f95c231328d64da09f3,Will the highest temperature in Hong Kong be 26°C on April 28?,299.98588,7.4996469999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999998,,False,0.0,,False,False,False
hong-kong,2026-04-27,0xd1da36027b65bd381f460321517b0b8c21545c2683a09a136df81532d8bd0e65,Will the highest temperature in Hong Kong be 26°C on April 27?,174.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.02339080459770115,,False,0.0,,False,False,False
hong-kong,2026-04-29,0xe43168acdb5de450c05e03ba52d75dd6b574adff4901f74250ce6ac83da7d805,Will the highest temperature in Hong Kong be 26°C on April 29?,202.17,73.30254,0.0,0.0,202.152306,52.559599000000006,0.0,0.0,0.3625787208784686,,False,0.0,,False,True,False
shenzhen,2026-04-29,0x6234bf4f68af66a4181439cebd120e4057761f699b936397b43c72e6444b7d80,Will the highest temperature in Shenzhen be 29°C on April 29?,222.16,10.70682,0.0,0.0,76.95,0.12722,0.0,0.0,0.04819418437162406,,False,0.0,,False,True,False
