slice,value,events,target_dates,buy_cost,pnl,roi,positive_event_share
target_date,2026-07-23,4,1,7516.068383,14.043761,0.0018684983004896747,0.75
target_date,2026-07-19,3,1,3894.454906,-218.726406,-0.05616354824471554,0.0
target_date,2026-07-03,5,1,3492.914004,-362.253259,-0.10371090115163345,0.4
target_date,2026-06-25,14,1,3389.318287,378.332473,0.11162494665995944,0.35714285714285715
target_date,2026-06-26,7,1,3350.851719,195.510131,0.058346398884623445,0.7142857142857143
target_date,2026-07-22,4,1,3016.423234,508.898384,0.16870921104965875,1.0
target_date,2026-06-23,4,1,2997.32438,703.583709,0.23473725890155406,0.75
target_date,2026-07-20,3,1,2921.759513,12.47596,0.004270016044951614,0.6666666666666666
target_date,2026-07-10,3,1,2764.462894,74.312022,0.02688117903889646,0.6666666666666666
target_date,2026-06-24,11,1,2753.204062,-169.400067,-0.061528336870512734,0.45454545454545453
target_date,2026-07-02,4,1,2732.665314,466.752693,0.17080492463117633,0.75
target_date,2026-07-27,3,1,2698.048259,-218.885719,-0.0811274291591535,0.3333333333333333
target_date,2026-06-28,3,1,2656.121827,626.540603,0.23588549163336256,1.0
target_date,2026-07-07,3,1,2525.655209,351.917098,0.1393369517525462,0.6666666666666666
target_date,2026-07-01,3,1,2472.338233,135.267919,0.054712545878426215,1.0
target_date,2026-07-16,3,1,2412.882933,-493.70902,-0.20461374783158617,0.0
target_date,2026-07-09,5,1,2367.152624,159.016062,0.06717609181079992,0.4
target_date,2026-06-29,4,1,2365.240483,406.659615,0.17193161453257602,0.5
target_date,2026-06-22,5,1,2309.800637,246.327493,0.1066444822354598,0.6
target_date,2026-06-30,7,1,2165.826078,-271.897425,-0.12553982416311082,0.2857142857142857
target_date,2026-07-24,3,1,2098.390334,17.682015,0.008426466093319348,0.6666666666666666
target_date,2026-07-14,3,1,1870.210026,6633.612453,3.5469879643346536,1.0
target_date,2026-07-11,3,1,1717.212115,-249.201255,-0.14511966973864493,0.0
target_date,2026-07-15,3,1,1589.287362,-63.882382,-0.040195614416519816,0.0
target_date,2026-07-17,3,1,1501.62957,1040.06947,0.6926271903396256,0.6666666666666666
target_date,2026-07-28,3,1,1498.558913,264.591002,0.17656363036826442,1.0
target_date,2026-07-21,3,1,1374.26158,-99.113912,-0.07212157673795982,0.0
target_date,2026-07-13,3,1,1329.47866,-25.14434,-0.01891293238208135,0.6666666666666666
target_date,2026-07-29,4,1,1272.059149,44.628861,0.035083951115861205,0.5
target_date,2026-07-06,4,1,1073.891846,0.151016,0.00014062496196663263,0.5
target_date,2026-06-18,1,1,1073.734,178.708516,0.16643648799423288,1.0
target_date,2026-07-26,2,1,1038.895723,146.699709,0.14120734714007468,1.0
target_date,2026-05-12,2,1,1003.17268,-3.17268,-0.0031626459364901753,0.5
target_date,2026-07-08,4,1,955.751832,-167.268212,-0.17501218035855143,0.5
target_date,2026-05-19,1,1,881.24835,6.75165,0.007661461153374121,1.0
target_date,2026-06-27,6,1,698.521163,473.589261,0.6779884219484986,0.16666666666666666
target_date,2026-07-05,3,1,664.600488,65.020902,0.09783456854759315,0.6666666666666666
target_date,2026-05-09,2,1,662.22766,-24.32678,-0.03673476882557263,0.0
target_date,2026-06-21,2,1,634.57934,128.52397,0.20253412284112504,1.0
target_date,2026-07-18,4,1,618.28695,-143.833,-0.2326314666677017,0.25
target_date,2026-05-26,2,1,562.18969,1.12031,0.001992761553489185,1.0
target_date,2026-06-05,5,1,545.74211,33.540384,0.06145830308018569,0.6
target_date,2026-07-04,3,1,510.249135,1122.550685,2.2000050720321163,0.3333333333333333
target_date,2026-06-04,5,1,472.64718,652.916485,1.3814035344503697,1.0
target_date,2026-07-25,2,1,444.146225,363.904995,0.8193360080905788,1.0
target_date,2026-06-17,2,1,438.73452,-60.90752,-0.13882545645143216,0.5
target_date,2026-04-29,2,1,430.440047,19.517438,0.045342988265215975,0.5
target_date,2026-06-02,7,1,399.060123,671.347204,1.6823209469115508,0.5714285714285714
target_date,2026-05-08,2,1,393.52087,48.23225,0.12256592642723126,1.0
target_date,2026-05-07,2,1,315.3098,53.3727,0.16927066650005804,1.0
target_date,2026-06-03,7,1,302.765539,195.655041,0.6462262569453123,0.5714285714285714
target_date,2026-06-20,1,1,302.088,798.720999,2.644001082466036,1.0
target_date,2026-06-14,1,1,256.2189,166.39138,0.6494110309582937,1.0
target_date,2026-06-08,3,1,235.077447,21.680638,0.09222763934474752,0.6666666666666666
target_date,2026-04-26,2,1,60.9057,-60.9057,-1.0,0.0
target_date,2026-06-16,2,1,53.147989,607.988186,11.439533224860119,0.5
target_date,2026-05-18,1,1,46.74928,3.249949,0.06951869633072426,1.0
target_date,2026-04-30,1,1,36.80917,18.92083,0.5140249019469875,1.0
target_date,2026-06-09,2,1,24.85456,-24.85456,-1.0,0.0
target_date,2026-06-07,1,1,18.07897,48.27258,2.6700956968234366,1.0
target_date,2026-06-10,2,1,15.983915,-15.983915,-1.0,0.0
target_date,2026-06-15,1,1,14.90748,-14.90748,-1.0,0.0
target_date,2026-04-25,1,1,9.57573,-9.49306,-0.9913667156446558,0.0
target_date,2026-05-27,1,1,9.449862,-9.449862,-1.0,0.0
target_date,2026-04-27,1,1,9.02,-4.0225,-0.44595343680709537,0.0
target_date,2026-04-28,1,1,7.499647,-7.499647,-1.0,0.0
target_date,2026-06-06,1,1,5.109278,-5.109278,-1.0,0.0
target_date,2026-07-12,1,1,5.0452,0.0048,0.0009513993498770061,1.0
target_date,2026-05-28,2,1,0.224996,-0.224996,-1.0,0.0
