model,probability_bin,rows,target_dates,mean_predicted_date_equal,observed_rate_date_equal
market_probability,"(-0.001, 0.1]",60,5,0.032517424242424244,0.0
market_probability,"(0.1, 0.2]",17,4,0.14022727272727273,0.0
market_probability,"(0.2, 0.3]",21,5,0.2558142857142857,0.4
market_probability,"(0.3, 0.4]",33,4,0.3387395833333333,0.5
market_probability,"(0.4, 0.5]",23,4,0.46216964285714285,0.5
market_probability,"(0.5, 0.6]",14,5,0.5754142857142858,0.8
market_probability,"(0.6, 0.7]",21,3,0.6611333333333334,1.0
market_probability,"(0.7, 0.8]",20,4,0.7346795454545455,1.0
market_probability,"(0.8, 0.9]",16,4,0.8665267857142858,1.0
market_probability,"(0.9, 1.0]",137,8,0.9567636434837092,1.0
p_v2_compact_r16,"(-0.001, 0.1]",62,5,0.027084442930132856,0.0
p_v2_compact_r16,"(0.1, 0.2]",30,5,0.13781569460131143,0.2
p_v2_compact_r16,"(0.2, 0.3]",14,4,0.23589681141508542,0.25
p_v2_compact_r16,"(0.3, 0.4]",21,5,0.3539330085734073,0.4
p_v2_compact_r16,"(0.4, 0.5]",12,5,0.4624231556718502,0.8
p_v2_compact_r16,"(0.5, 0.6]",15,6,0.5548081243647968,0.8333333333333334
p_v2_compact_r16,"(0.6, 0.7]",19,5,0.6549114942393925,1.0
p_v2_compact_r16,"(0.7, 0.8]",23,4,0.7619153580420966,0.75
p_v2_compact_r16,"(0.8, 0.9]",30,4,0.8661325347016074,1.0
p_v2_compact_r16,"(0.9, 1.0]",136,8,0.9685574430649544,1.0
p_structural_margin_r16,"(-0.001, 0.1]",61,5,0.031134120837270164,0.0
p_structural_margin_r16,"(0.1, 0.2]",21,4,0.15118971181191262,0.25
p_structural_margin_r16,"(0.2, 0.3]",20,4,0.2263226098476267,0.25
p_structural_margin_r16,"(0.3, 0.4]",22,5,0.3564977490548622,0.4
p_structural_margin_r16,"(0.4, 0.5]",14,6,0.43396105296642823,0.6666666666666666
p_structural_margin_r16,"(0.5, 0.6]",14,7,0.553411028242434,0.8571428571428571
p_structural_margin_r16,"(0.6, 0.7]",19,5,0.6552470930511667,1.0
p_structural_margin_r16,"(0.7, 0.8]",26,4,0.7579872144426432,0.75
p_structural_margin_r16,"(0.8, 0.9]",27,3,0.845310949354174,1.0
p_structural_margin_r16,"(0.9, 1.0]",138,8,0.9654966621972352,1.0
p_structural_margin_transition_r16,"(-0.001, 0.1]",60,5,0.0291165771724678,0.0
p_structural_margin_transition_r16,"(0.1, 0.2]",27,4,0.155777760380107,0.25
p_structural_margin_transition_r16,"(0.2, 0.3]",15,4,0.23319248261951012,0.25
p_structural_margin_transition_r16,"(0.3, 0.4]",23,5,0.3566993524738149,0.4
p_structural_margin_transition_r16,"(0.4, 0.5]",12,6,0.43570555494801416,0.6666666666666666
p_structural_margin_transition_r16,"(0.5, 0.6]",14,6,0.5495729871645302,0.8333333333333334
p_structural_margin_transition_r16,"(0.6, 0.7]",25,5,0.655340800513703,1.0
p_structural_margin_transition_r16,"(0.7, 0.8]",22,4,0.7625161446265776,0.75
p_structural_margin_transition_r16,"(0.8, 0.9]",26,3,0.8415918070839007,1.0
p_structural_margin_transition_r16,"(0.9, 1.0]",138,8,0.965910044658217,1.0
p_structural_margin_transition_hgb,"(-0.001, 0.1]",100,7,0.05338198510249686,0.32967032967032966
p_structural_margin_transition_hgb,"(0.1, 0.2]",6,4,0.14356103444474058,0.5
p_structural_margin_transition_hgb,"(0.2, 0.3]",9,4,0.2752993874821728,0.5
p_structural_margin_transition_hgb,"(0.3, 0.4]",8,4,0.37116021722564685,0.5
p_structural_margin_transition_hgb,"(0.4, 0.5]",4,3,0.47248088226095514,0.6666666666666666
p_structural_margin_transition_hgb,"(0.5, 0.6]",5,4,0.5617312535827488,0.75
p_structural_margin_transition_hgb,"(0.6, 0.7]",6,2,0.6775093408853365,1.0
p_structural_margin_transition_hgb,"(0.7, 0.8]",7,4,0.7423507323520235,0.75
p_structural_margin_transition_hgb,"(0.8, 0.9]",10,3,0.8377315372180257,0.3333333333333333
p_structural_margin_transition_hgb,"(0.9, 1.0]",207,8,0.9739515368142451,0.9877450980392157
