grain,evidence,model,rows,target_dates,brier,logloss,calibration_bias,accuracy_0p5,auc
checkpoint,all,market_probability,362,9,0.07641087737081957,0.24874477578609744,-0.09177834594763801,0.919889502762431,0.980867817054783
checkpoint,all,p_break_v7,362,9,0.09756763583230112,0.2778853973412845,0.0043886952182757965,0.8093922651933702,0.9450494220137376
checkpoint,all,p_frozen_old,362,9,0.06124994667860103,0.19869543812916413,-0.08508965408779919,0.919889502762431,0.9777182107555704
checkpoint,all,p_v2_compact_r16,362,9,0.05624929793015048,0.2007172518068051,-0.07692201666543165,0.9447513812154696,0.9889428715027643
checkpoint,all,p_structural_margin_r16,362,9,0.05708413950749563,0.20313589526403367,-0.07328616193781727,0.9475138121546961,0.988976377952756
checkpoint,all,p_structural_margin_transition_r16,362,9,0.05710675588539983,0.20321442677070142,-0.07499229091797596,0.9502762430939227,0.9886748199028313
checkpoint,all,p_structural_margin_transition_hgb,362,9,0.05712553632389815,0.19959793982317867,-0.03904337501355998,0.9226519337016574,0.9693751047076561
checkpoint,active_first_after_source,market_probability,231,4,0.05855337205172286,0.20394436736553312,-0.09411634094942326,0.9307359307359307,0.9932961359093937
checkpoint,active_first_after_source,p_break_v7,231,4,0.05256123545744813,0.17755475873174337,-0.013143231325865326,0.8917748917748918,0.9716022651565623
checkpoint,active_first_after_source,p_frozen_old,231,4,0.059435628991940735,0.20187281137466956,-0.047873091350361996,0.9090909090909091,0.963690872751499
checkpoint,active_first_after_source,p_v2_compact_r16,231,4,0.0504965750728781,0.1883890894219804,-0.05976706642936942,0.9437229437229437,0.9854263824117255
checkpoint,active_first_after_source,p_structural_margin_r16,231,4,0.04926384529740453,0.18578370114590925,-0.05736532458702211,0.9437229437229437,0.9864257161892072
checkpoint,active_first_after_source,p_structural_margin_transition_r16,231,4,0.050919271533219804,0.19008387087419493,-0.061279838713191426,0.948051948051948,0.9849267155229846
checkpoint,active_first_after_source,p_structural_margin_transition_hgb,231,4,0.047603741577675995,0.17512963734818496,0.004509347088061328,0.9307359307359307,0.966647235176549
checkpoint,full_ladder_before_source,market_probability,131,9,0.05760215867509536,0.1951680653134702,-0.0737241472868217,0.9007633587786259,0.9578313253012049
checkpoint,full_ladder_before_source,p_break_v7,131,9,0.0768873639473038,0.21899770480937564,0.004766912488851663,0.6641221374045801,0.8940763052208834
checkpoint,full_ladder_before_source,p_frozen_old,131,9,0.036277715595359784,0.1199244811843204,-0.0671188882603749,0.9389312977099237,0.9984939759036144
checkpoint,full_ladder_before_source,p_v2_compact_r16,131,9,0.03641165398512648,0.13882571465798413,-0.059076509236669676,0.9465648854961832,0.9934738955823293
checkpoint,full_ladder_before_source,p_structural_margin_r16,131,9,0.03787248831914478,0.14269446319316492,-0.056845468583199305,0.9541984732824428,0.9927208835341366
checkpoint,full_ladder_before_source,p_structural_margin_transition_r16,131,9,0.03755342770187478,0.1421079245396255,-0.05852591438048693,0.9541984732824428,0.9942269076305221
checkpoint,full_ladder_before_source,p_structural_margin_transition_hgb,131,9,0.03738427458779799,0.13851013630959202,-0.03747016157341873,0.9083969465648855,0.9731425702811245
state_entry,all,market_probability,142,9,0.09591996435168146,0.2967780171570268,-0.13044482357311304,0.8661971830985915,0.9821470519144938
state_entry,all,p_break_v7,142,9,0.10179557516374217,0.29985121321092767,-0.03685565978158817,0.8661971830985915,0.9501996711299037
state_entry,all,p_frozen_old,142,9,0.0717178928296772,0.23215655692554207,-0.10380751091567478,0.8873239436619719,0.9687573408503641
state_entry,all,p_v2_compact_r16,142,9,0.07225075284709895,0.2424247832964741,-0.10588245182851704,0.9084507042253521,0.979328165374677
state_entry,all,p_structural_margin_r16,142,9,0.07165575635787633,0.2413906330088174,-0.10138864988119559,0.9154929577464789,0.9802677942212825
state_entry,all,p_structural_margin_transition_r16,142,9,0.07137258594185801,0.24050488330454442,-0.10140743782151011,0.9225352112676056,0.9783885365280713
state_entry,all,p_structural_margin_transition_hgb,142,9,0.0722449388986745,0.2473870641974737,-0.07008117265031613,0.9084507042253521,0.9666431759455015
date_x_entry,all,market_probability,31,9,0.0817998787037037,0.26161761628756547,-0.06683888888888889,0.8387096774193549,0.9538461538461538
date_x_entry,all,p_break_v7,31,9,0.11124286802837562,0.3166613279416315,0.03307065510074658,0.8709677419354839,0.9307692307692308
date_x_entry,all,p_frozen_old,31,9,0.07184746521338656,0.2579474582503385,-0.00958573908493987,0.9032258064516129,0.9153846153846154
date_x_entry,all,p_v2_compact_r16,31,9,0.06669288175213778,0.21921255077242152,-0.032437910941479214,0.9032258064516129,0.9538461538461539
date_x_entry,all,p_structural_margin_r16,31,9,0.06425487694230077,0.21428958484678076,-0.03121094378562904,0.9354838709677419,0.9538461538461539
date_x_entry,all,p_structural_margin_transition_r16,31,9,0.06388501250471045,0.2135980657920846,-0.019398763846129752,0.967741935483871,0.9538461538461539
date_x_entry,all,p_structural_margin_transition_hgb,31,9,0.08323206333628533,0.26510364862373864,-0.041376904829018527,0.8709677419354839,0.9538461538461539
date_x_entry,active_first_after_source,market_probability,12,4,0.09167266145833333,0.29274321170949325,-0.07736458333333333,0.8333333333333334,0.9375
date_x_entry,active_first_after_source,p_break_v7,12,4,0.1321344102734856,0.39100325440946604,-0.03668410521630453,0.75,0.90625
date_x_entry,active_first_after_source,p_frozen_old,12,4,0.13195876968013198,0.4775268631125229,0.06277840709431892,0.8333333333333334,0.84375
