dimension,value,model,rows,target_dates,brier,logloss,calibration_bias,accuracy_0p5,auc
path_state,fade,market_probability,70,8,0.12872552458861714,0.37350410172217874,-0.1699537288647343,0.9285714285714286,0.986111111111111
path_state,fade,p_v2_compact_r16,70,8,0.15959182675220612,0.4635936909369379,-0.19642519676539755,0.9,0.9754901960784312
path_state,fade,p_structural_margin_r16,70,8,0.1547525987046165,0.44742383374722056,-0.1896430649318283,0.9,0.977124183006536
path_state,fade,p_structural_margin_transition_r16,70,8,0.15303149786727593,0.4414993785764373,-0.18824204282885953,0.9,0.9763071895424837
path_state,fade,p_structural_margin_transition_hgb,70,8,0.1941063151641223,0.6355611423475492,-0.17406372245382254,0.8571428571428571,0.940359477124183
path_state,fresh_runway,market_probability,102,8,0.07810949059419442,0.24115191010082487,-0.13565187156593406,0.8627450980392157,0.9805194805194806
path_state,fresh_runway,p_v2_compact_r16,102,8,0.0508558919042472,0.17842804108050722,-0.07157005467152511,0.9509803921568627,0.9659090909090909
path_state,fresh_runway,p_structural_margin_r16,102,8,0.051502218539972416,0.17937698028170607,-0.0719818923763152,0.9509803921568627,0.9683441558441559
path_state,fresh_runway,p_structural_margin_transition_r16,102,8,0.052907664880270926,0.18306441810620555,-0.07361433522805746,0.9509803921568627,0.9642857142857143
path_state,fresh_runway,p_structural_margin_transition_hgb,102,8,0.041577552602458046,0.15671991166632743,-0.04725169663585136,0.9509803921568627,0.9123376623376623
path_state,plateau,market_probability,12,4,0.06375126041666668,0.19848962885809676,-0.11535416666666666,0.9166666666666666,1.0
path_state,plateau,p_v2_compact_r16,12,4,0.027832288561703694,0.1131750213091574,-0.06156568442129365,1.0,1.0
path_state,plateau,p_structural_margin_r16,12,4,0.02736357066104143,0.1135084337165989,-0.06109923582416577,1.0,1.0
path_state,plateau,p_structural_margin_transition_r16,12,4,0.02910240609993398,0.11765903800267938,-0.06673866520931367,1.0,1.0
path_state,plateau,p_structural_margin_transition_hgb,12,4,0.010142079390947287,0.06267357240179723,-0.03579733831063254,1.0,1.0
path_state,pullback,market_probability,178,9,0.08561076482498982,0.28399074806226166,-0.12465175010175009,0.949438202247191,0.9789046121593292
path_state,pullback,p_v2_compact_r16,178,9,0.0593093636729959,0.21971505954809495,-0.10535323719668196,0.9550561797752809,0.9972484276729561
path_state,pullback,p_structural_margin_r16,178,9,0.06004614766776775,0.22246582163258155,-0.10126823594644789,0.9606741573033708,0.9962002096436058
path_state,pullback,p_structural_margin_transition_r16,178,9,0.059980375683855294,0.2227162376691667,-0.10413761435260367,0.9662921348314607,0.9964622641509434
path_state,pullback,p_structural_margin_transition_hgb,178,9,0.05519170130810669,0.19801449407269958,-0.04490168470711137,0.9269662921348315,0.9821802935010482
book_evidence,active_first_after_source,market_probability,231,4,0.05855337205172286,0.20394436736553312,-0.09411634094942326,0.9307359307359307,0.9932961359093937
book_evidence,active_first_after_source,p_v2_compact_r16,231,4,0.0504965750728781,0.1883890894219804,-0.05976706642936942,0.9437229437229437,0.9854263824117255
book_evidence,active_first_after_source,p_structural_margin_r16,231,4,0.04926384529740453,0.18578370114590925,-0.05736532458702211,0.9437229437229437,0.9864257161892072
book_evidence,active_first_after_source,p_structural_margin_transition_r16,231,4,0.050919271533219804,0.19008387087419493,-0.061279838713191426,0.948051948051948,0.9849267155229846
book_evidence,active_first_after_source,p_structural_margin_transition_hgb,231,4,0.047603741577675995,0.17512963734818496,0.004509347088061328,0.9307359307359307,0.966647235176549
book_evidence,full_ladder_before_source,market_probability,131,9,0.05760215867509536,0.1951680653134702,-0.0737241472868217,0.9007633587786259,0.9578313253012049
book_evidence,full_ladder_before_source,p_v2_compact_r16,131,9,0.03641165398512648,0.13882571465798413,-0.059076509236669676,0.9465648854961832,0.9934738955823293
book_evidence,full_ladder_before_source,p_structural_margin_r16,131,9,0.03787248831914478,0.14269446319316492,-0.056845468583199305,0.9541984732824428,0.9927208835341366
book_evidence,full_ladder_before_source,p_structural_margin_transition_r16,131,9,0.03755342770187478,0.1421079245396255,-0.05852591438048693,0.9541984732824428,0.9942269076305221
book_evidence,full_ladder_before_source,p_structural_margin_transition_hgb,131,9,0.03738427458779799,0.13851013630959202,-0.03747016157341873,0.9083969465648855,0.9731425702811245
local_time_window,12_15,market_probability,112,8,0.10785379551091269,0.3520143387738903,-0.18042584325396827,0.8660714285714286,0.9671760045274477
local_time_window,12_15,p_v2_compact_r16,112,8,0.08937985837189913,0.3025811931214236,-0.13745442998459623,0.9017857142857143,0.9190718732314658
local_time_window,12_15,p_structural_margin_r16,112,8,0.08911259905499669,0.3020550773731454,-0.13253815376747174,0.9107142857142857,0.9247311827956989
local_time_window,12_15,p_structural_margin_transition_r16,112,8,0.0901845114784508,0.3051283213194217,-0.1348169761993404,0.9196428571428571,0.9139784946236559
local_time_window,12_15,p_structural_margin_transition_hgb,112,8,0.07323920560693738,0.2708554520688087,-0.0456727101643231,0.9017857142857143,0.8800226372382569
local_time_window,15_18,market_probability,70,6,0.12025067184095861,0.3618892923879255,-0.13606100217864925,0.8,0.9956933677863911
local_time_window,15_18,p_v2_compact_r16,70,6,0.1143801379345611,0.3482448140788805,-0.10430755973410873,0.8714285714285714,0.9750215331610681
local_time_window,15_18,p_structural_margin_r16,70,6,0.11527230388495328,0.3524552749664421,-0.09712800543519388,0.8714285714285714,0.9732988802756244
local_time_window,15_18,p_structural_margin_transition_r16,70,6,0.11390707750667238,0.34865564530999643,-0.1006824503204231,0.8714285714285714,0.9776055124892333
local_time_window,15_18,p_structural_margin_transition_hgb,70,6,0.21859435094582402,0.6565100121829625,-0.15720664601357687,0.8285714285714286,0.8785529715762275
local_time_window,after_18,market_probability,36,3,0.0004070162938912939,0.011333135806861296,0.011122053872053873,1.0,
local_time_window,after_18,p_v2_compact_r16,36,3,0.0004298797845057871,0.011202925037676642,0.01098028387650761,1.0,
local_time_window,after_18,p_structural_margin_r16,36,3,0.0005348306120856371,0.011949874380105224,0.011670308286528602,1.0,
local_time_window,after_18,p_structural_margin_transition_r16,36,3,0.0003796657202725944,0.010176069201064898,0.009979271415966667,1.0,
local_time_window,after_18,p_structural_margin_transition_hgb,36,3,0.002434078940009884,0.04781643448666012,0.04655061975151298,1.0,
local_time_window,before_12,market_probability,144,7,0.025585613089158073,0.11158731263195724,0.010851049643995551,1.0,1.0
local_time_window,before_12,p_v2_compact_r16,144,7,0.01587776645159012,0.0854788423886508,-0.016833925942529488,1.0,1.0
local_time_window,before_12,p_structural_margin_r16,144,7,0.016486026932745555,0.08808680574257012,-0.012347882713170008,1.0,1.0
local_time_window,before_12,p_structural_margin_transition_r16,144,7,0.016522476441916626,0.08860359646071865,-0.014050800417880916,1.0,1.0
local_time_window,before_12,p_structural_margin_transition_hgb,144,7,0.01722878729292763,0.07030256086454646,0.012306298018086673,0.9652777777777778,1.0
peak_window,peak_0_1h,market_probability,89,7,0.10545766190476193,0.3206739481811302,-0.16845216450216446,0.8651685393258427,1.0
peak_window,peak_0_1h,p_v2_compact_r16,89,7,0.09603497635467659,0.29474637216759614,-0.15222646613839586,0.9101123595505618,0.996045197740113
