grain,evidence,metric,challenger,baseline,delta,ci_low,ci_high,probability_challenger_better
checkpoint,all,brier,p_v2_compact_r16,market_probability,-0.02016157944066909,-0.04117667355415435,-0.0009150149171681615,0.9814
checkpoint,all,logloss,p_v2_compact_r16,market_probability,-0.04802752397929228,-0.09878822484640291,-0.00291897065720838,0.9828
checkpoint,all,brier,p_v2_compact_r16,p_frozen_old,-0.005000648748450546,-0.02394827663586737,0.013917210888458164,0.6984
checkpoint,all,logloss,p_v2_compact_r16,p_frozen_old,0.0020218136776409663,-0.05173150508357587,0.05878439686573431,0.4698
checkpoint,all,brier,p_structural_margin_r16,market_probability,-0.019326737863323964,-0.038934588881284996,-0.0014264238422132091,0.9822
checkpoint,all,logloss,p_structural_margin_r16,market_probability,-0.04560888052206376,-0.0913308781173175,-0.0035897185890354376,0.985
checkpoint,all,brier,p_structural_margin_r16,p_frozen_old,-0.00416580717110542,-0.02409191224155668,0.016881997283003897,0.6622
checkpoint,all,logloss,p_structural_margin_r16,p_frozen_old,0.0044404571348694855,-0.052327877695707285,0.068822546860559,0.4486
checkpoint,all,brier,p_structural_margin_r16,p_v2_compact_r16,0.0008348415773451247,-0.0016365336805028495,0.0038657449679437433,0.3166
checkpoint,all,logloss,p_structural_margin_r16,p_v2_compact_r16,0.0024186434572285188,-0.004364836332509099,0.011417010429421838,0.296
checkpoint,all,brier,p_structural_margin_transition_r16,market_probability,-0.01930412148541975,-0.03877453596619297,-0.0013309263451039067,0.9836
checkpoint,all,logloss,p_structural_margin_transition_r16,market_probability,-0.045530349015396,-0.09046401006743485,-0.004014846336924019,0.9846
checkpoint,all,brier,p_structural_margin_transition_r16,p_frozen_old,-0.004143190793201205,-0.024176140371053676,0.01665093008427384,0.6614
checkpoint,all,logloss,p_structural_margin_transition_r16,p_frozen_old,0.004518988641537246,-0.05256220161083626,0.06731767391240458,0.4448
checkpoint,all,brier,p_structural_margin_transition_r16,p_v2_compact_r16,0.0008574579552493389,-0.0014998335429237523,0.0033415579984272725,0.259
checkpoint,all,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,0.0024971749638962775,-0.0036470722388823587,0.009772106908110862,0.2438
checkpoint,all,brier,p_structural_margin_transition_hgb,market_probability,-0.019285341046921423,-0.05363388016187716,0.013013605699017305,0.8868
checkpoint,all,logloss,p_structural_margin_transition_hgb,market_probability,-0.049146835962918765,-0.14218877682935505,0.046865104878879404,0.8318
checkpoint,all,brier,p_structural_margin_transition_hgb,p_frozen_old,-0.004124410354702874,-0.036705353742618504,0.02646697649677128,0.6084
checkpoint,all,logloss,p_structural_margin_transition_hgb,p_frozen_old,0.0009025016940144875,-0.08561827155945137,0.08334595892543956,0.4636
checkpoint,all,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,0.0008762383937476678,-0.022393676435378495,0.022619768397098672,0.4746
checkpoint,all,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,-0.0011193119836264813,-0.06813491699871994,0.06706688432151169,0.4954
checkpoint,active_first_after_source,brier,p_v2_compact_r16,market_probability,-0.00805679697884476,-0.032432570386008955,0.015377331424177356,0.7254
checkpoint,active_first_after_source,logloss,p_v2_compact_r16,market_probability,-0.015555277943552685,-0.06651809171883494,0.03540753583172956,0.63
checkpoint,active_first_after_source,brier,p_v2_compact_r16,p_frozen_old,-0.008939053919062622,-0.02048861851515758,0.0017955051020274743,0.9352
checkpoint,active_first_after_source,logloss,p_v2_compact_r16,p_frozen_old,-0.013483721952689149,-0.059794630046624664,0.018684263662797098,0.7064
checkpoint,active_first_after_source,brier,p_structural_margin_r16,market_probability,-0.00928952675431833,-0.03451189888215613,0.015932845373519473,0.7254
checkpoint,active_first_after_source,logloss,p_structural_margin_r16,market_probability,-0.018160666219623874,-0.07336302915569286,0.03704169671644511,0.723
checkpoint,active_first_after_source,brier,p_structural_margin_r16,p_frozen_old,-0.010171783694536194,-0.01983054227152727,-0.0005423538379202837,0.996
checkpoint,active_first_after_source,logloss,p_structural_margin_r16,p_frozen_old,-0.016089110228760334,-0.056117212855070035,0.012872069345508837,0.7414
checkpoint,active_first_after_source,brier,p_structural_margin_r16,p_v2_compact_r16,-0.0012327297754735715,-0.0031684326115613776,0.0008300694422026841,0.8716
checkpoint,active_first_after_source,logloss,p_structural_margin_r16,p_v2_compact_r16,-0.002605388276071186,-0.0074921156114511,0.0031610456317697952,0.8516
checkpoint,active_first_after_source,brier,p_structural_margin_transition_r16,market_probability,-0.00763410051850305,-0.031448936455850146,0.016180735418844044,0.7254
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_r16,market_probability,-0.013860496491338165,-0.06471687338843339,0.036995880405757055,0.676
checkpoint,active_first_after_source,brier,p_structural_margin_transition_r16,p_frozen_old,-0.008516357458720912,-0.02030288596126469,0.0003465747881321996,0.9554
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_r16,p_frozen_old,-0.01178894050047462,-0.05688512560071164,0.01523773756878048,0.686
checkpoint,active_first_after_source,brier,p_structural_margin_transition_r16,p_v2_compact_r16,0.0004226964603417109,-0.0023836249475395668,0.0028483103338980114,0.3512
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,0.001694781452214527,-0.003446526094016619,0.006836088998445673,0.2654
checkpoint,active_first_after_source,brier,p_structural_margin_transition_hgb,market_probability,-0.01094963047404688,-0.07905224471326133,0.052993122745687085,0.642
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_hgb,market_probability,-0.028814730017348137,-0.2174309898196289,0.15501643582003158,0.641
checkpoint,active_first_after_source,brier,p_structural_margin_transition_hgb,p_frozen_old,-0.01183188741426474,-0.050103010473981774,0.01669728520269542,0.7274
