model,shares,target_date,current_x,decision_ts_utc,book_evidence,path_state,forecast_peak_h,probability,effective_cost,edge,cost,won,pnl,research_actionable
p_v2_compact_r16,5,2026-07-20,20,2026-07-20 11:02:18.062112+00:00,full_ladder_before_source,fresh_runway,3.0,0.5698717174461667,0.442255,0.1276167174461667,2.211275,True,2.788725,True
p_v2_compact_r16,5,2026-07-22,14,2026-07-22 07:42:46.564285+00:00,full_ladder_before_source,fresh_runway,6.333333333333333,0.9906230429979535,0.990495,0.000128042997953437,4.952475,True,0.04752500000000026,False
p_v2_compact_r16,5,2026-07-22,17,2026-07-22 10:32:29.949029+00:00,full_ladder_before_source,fresh_runway,3.5,0.946245886455135,0.9332550000000002,0.012990886455134798,4.666275000000001,True,0.3337249999999994,True
p_v2_compact_r16,5,2026-07-22,18,2026-07-22 11:42:41.733438+00:00,full_ladder_before_source,pullback,2.3333333333333335,0.4950177710676437,0.300295,0.19472277106764374,1.501475,True,3.498525,True
p_v2_compact_r16,5,2026-07-23,19,2026-07-23 10:13:07.321583+00:00,full_ladder_before_source,fresh_runway,3.8333333333333335,0.6658614066647858,0.612,0.05386140666478578,3.06,True,1.94,True
p_v2_compact_r16,5,2026-07-24,18,2026-07-24 07:02:44.860268+00:00,full_ladder_before_source,fresh_runway,4.0,0.9977557231929888,0.9961992,0.0015565231929888235,4.980996,True,0.0190039999999998,False
p_v2_compact_r16,5,2026-07-24,19,2026-07-24 08:03:33.217250+00:00,full_ladder_before_source,fresh_runway,3.0,0.9852068186234297,0.952375,0.032831818623429765,4.761875,True,0.23812500000000014,True
p_v2_compact_r16,5,2026-07-24,20,2026-07-24 10:31:56.377255+00:00,full_ladder_before_source,pullback,0.5,0.6572955189301412,0.621895,0.03540051893014118,3.109475,True,1.8905249999999998,True
p_v2_compact_r16,5,2026-07-25,18,2026-07-25 10:23:22.359860+00:00,active_first_after_source,fresh_runway,2.6666666666666665,0.6794358428450658,0.612,0.06743584284506576,3.06,True,1.94,True
p_v2_compact_r16,5,2026-07-25,19,2026-07-25 11:33:23.238196+00:00,active_first_after_source,pullback,1.5,0.4827448227872456,0.401895,0.08084982278724562,2.009475,True,2.990525,True
p_v2_compact_r16,5,2026-07-25,20,2026-07-25 13:33:24.530985+00:00,active_first_after_source,fresh_runway,0.5,0.2376838921210072,0.13565500000000003,0.10202889212100719,0.6782750000000001,False,-0.6782750000000001,True
p_v2_compact_r16,5,2026-07-26,17,2026-07-26 05:33:43.896039+00:00,active_first_after_source,fresh_runway,7.5,0.9669854866941419,0.9619199999999999,0.005065486694141974,4.8096,True,0.19040000000000035,True
p_v2_compact_r16,5,2026-07-26,18,2026-07-26 10:03:12.345176+00:00,active_first_after_source,fresh_runway,5.0,0.9472664388887905,0.8559113199999999,0.09135511888879055,4.279556599999999,True,0.7204434000000006,True
p_v2_compact_r16,5,2026-07-26,19,2026-07-26 11:04:12.992280+00:00,active_first_after_source,fresh_runway,4.0,0.7796346057329028,0.48245499999999997,0.2971796057329028,2.4122749999999997,False,-2.4122749999999997,True
p_v2_compact_r16,5,2026-07-27,18,2026-07-27 06:54:24.497844+00:00,active_first_after_source,pullback,6.166666666666667,0.9314512830310193,0.93038355,0.001067733031019369,4.65191775,True,0.34808225000000004,True
p_v2_compact_r16,5,2026-07-27,19,2026-07-27 09:04:26.187267+00:00,active_first_after_source,pullback,4.0,0.9186947390834849,0.8806600000000001,0.03803473908348476,4.403300000000001,True,0.5966999999999993,True
p_v2_compact_r16,5,2026-07-27,20,2026-07-27 13:02:28.000191+00:00,active_first_after_source,fresh_runway,0.0,0.5245625274429816,0.37151999999999996,0.15304252744298164,1.8576,True,3.1424000000000003,True
p_v2_compact_r16,5,2026-07-29,23,2026-07-29 12:13:02.953325+00:00,active_first_after_source,plateau,0.8333333333333334,0.958016999785535,0.9332550000000002,0.02476199978553484,4.666275000000001,True,0.3337249999999994,True
p_v2_compact_r16,5,2026-07-29,24,2026-07-29 12:32:02.927726+00:00,active_first_after_source,fresh_runway,0.5,0.34519503392902695,0.197695,0.14750003392902694,0.988475,False,-0.988475,True
p_structural_margin_r16,5,2026-07-20,17,2026-07-20 08:22:41.782127+00:00,full_ladder_before_source,fresh_runway,5.666666666666667,0.9981625180512408,0.9980998,6.271805124080654e-05,4.990499,True,0.009501000000000204,False
p_structural_margin_r16,5,2026-07-20,20,2026-07-20 11:02:18.062112+00:00,full_ladder_before_source,fresh_runway,3.0,0.5778269184599871,0.442255,0.13557191845998712,2.211275,True,2.788725,True
p_structural_margin_r16,5,2026-07-22,14,2026-07-22 07:42:46.564285+00:00,full_ladder_before_source,fresh_runway,6.333333333333333,0.9933539439624588,0.990495,0.002858943962458782,4.952475,True,0.04752500000000026,False
p_structural_margin_r16,5,2026-07-22,17,2026-07-22 10:32:29.949029+00:00,full_ladder_before_source,fresh_runway,3.5,0.9499692548470187,0.9332550000000002,0.016714254847018495,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_r16,5,2026-07-22,18,2026-07-22 11:42:41.733438+00:00,full_ladder_before_source,pullback,2.3333333333333335,0.5267718140597966,0.300295,0.22647681405979658,1.501475,True,3.498525,True
p_structural_margin_r16,5,2026-07-23,16,2026-07-23 09:02:40.860265+00:00,full_ladder_before_source,fresh_runway,5.0,0.9983717878101119,0.9980998,0.00027198781011195106,4.990499,True,0.009501000000000204,False
p_structural_margin_r16,5,2026-07-23,19,2026-07-23 10:13:07.321583+00:00,full_ladder_before_source,fresh_runway,3.8333333333333335,0.6683988984326802,0.612,0.0563988984326802,3.06,True,1.94,True
p_structural_margin_r16,5,2026-07-24,18,2026-07-24 07:02:44.860268+00:00,full_ladder_before_source,fresh_runway,4.0,0.9972950342631954,0.9961992,0.0010958342631954832,4.980996,True,0.0190039999999998,False
p_structural_margin_r16,5,2026-07-24,19,2026-07-24 08:03:33.217250+00:00,full_ladder_before_source,fresh_runway,3.0,0.9809774125532972,0.952375,0.028602412553297207,4.761875,True,0.23812500000000014,True
p_structural_margin_r16,5,2026-07-24,20,2026-07-24 10:31:56.377255+00:00,full_ladder_before_source,pullback,0.5,0.6496936313519712,0.621895,0.027798631351971248,3.109475,True,1.8905249999999998,True
p_structural_margin_r16,5,2026-07-25,18,2026-07-25 07:33:20.970531+00:00,active_first_after_source,fade,5.5,0.9314011236042224,0.9284687500000001,0.0029323736042223825,4.64234375,True,0.3576562499999998,True
p_structural_margin_r16,5,2026-07-25,19,2026-07-25 11:33:23.238196+00:00,active_first_after_source,pullback,1.5,0.46308745726917866,0.401895,0.06119245726917866,2.009475,True,2.990525,True
p_structural_margin_r16,5,2026-07-25,20,2026-07-25 13:33:24.530985+00:00,active_first_after_source,fresh_runway,0.5,0.20750677698345296,0.13565500000000003,0.07185177698345294,0.6782750000000001,False,-0.6782750000000001,True
p_structural_margin_r16,5,2026-07-26,17,2026-07-26 05:33:43.896039+00:00,active_first_after_source,fresh_runway,7.5,0.9665722814524657,0.9619199999999999,0.004652281452465767,4.8096,True,0.19040000000000035,True
p_structural_margin_r16,5,2026-07-26,18,2026-07-26 10:03:12.345176+00:00,active_first_after_source,fresh_runway,5.0,0.9453075557533738,0.8559113199999999,0.08939623575337385,4.279556599999999,True,0.7204434000000006,True
p_structural_margin_r16,5,2026-07-26,19,2026-07-26 11:04:12.992280+00:00,active_first_after_source,fresh_runway,4.0,0.7632375152016864,0.48245499999999997,0.2807825152016864,2.4122749999999997,False,-2.4122749999999997,True
p_structural_margin_r16,5,2026-07-27,18,2026-07-27 07:52:25.233662+00:00,active_first_after_source,pullback,5.166666666666667,0.9541026798341252,0.95141995,0.002682729834125208,4.75709975,True,0.24290024999999993,True
p_structural_margin_r16,5,2026-07-27,19,2026-07-27 09:04:26.187267+00:00,active_first_after_source,pullback,4.0,0.9222323162873688,0.8806600000000001,0.04157231628736868,4.403300000000001,True,0.5966999999999993,True
p_structural_margin_r16,5,2026-07-27,20,2026-07-27 13:02:28.000191+00:00,active_first_after_source,fresh_runway,0.0,0.5446653179001875,0.37151999999999996,0.1731453179001875,1.8576,True,3.1424000000000003,True
p_structural_margin_r16,5,2026-07-29,23,2026-07-29 12:13:02.953325+00:00,active_first_after_source,plateau,0.8333333333333334,0.9571874858790077,0.9332550000000002,0.023932485879007537,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_r16,5,2026-07-29,24,2026-07-29 12:32:02.927726+00:00,active_first_after_source,fresh_runway,0.5,0.3367144222967358,0.197695,0.1390194222967358,0.988475,False,-0.988475,True
p_structural_margin_transition_r16,5,2026-07-20,17,2026-07-20 08:22:41.782127+00:00,full_ladder_before_source,fresh_runway,5.666666666666667,0.998182730797905,0.9980998,8.293079790500091e-05,4.990499,True,0.009501000000000204,False
p_structural_margin_transition_r16,5,2026-07-20,20,2026-07-20 11:02:18.062112+00:00,full_ladder_before_source,fresh_runway,3.0,0.562622553680535,0.442255,0.12036755368053503,2.211275,True,2.788725,True
p_structural_margin_transition_r16,5,2026-07-22,14,2026-07-22 07:42:46.564285+00:00,full_ladder_before_source,fresh_runway,6.333333333333333,0.993346899528992,0.990495,0.002851899528992008,4.952475,True,0.04752500000000026,False
p_structural_margin_transition_r16,5,2026-07-22,17,2026-07-22 10:32:29.949029+00:00,full_ladder_before_source,fresh_runway,3.5,0.9520459092646373,0.9332550000000002,0.018790909264637112,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_transition_r16,5,2026-07-22,18,2026-07-22 11:42:41.733438+00:00,full_ladder_before_source,pullback,2.3333333333333335,0.5295119759861078,0.300295,0.2292169759861078,1.501475,True,3.498525,True
p_structural_margin_transition_r16,5,2026-07-23,16,2026-07-23 09:02:40.860265+00:00,full_ladder_before_source,fresh_runway,5.0,0.9985407806622922,0.9980998,0.0004409806622922563,4.990499,True,0.009501000000000204,False
p_structural_margin_transition_r16,5,2026-07-23,19,2026-07-23 10:13:07.321583+00:00,full_ladder_before_source,fresh_runway,3.8333333333333335,0.6690679688855077,0.612,0.05706796888550769,3.06,True,1.94,True
p_structural_margin_transition_r16,5,2026-07-24,18,2026-07-24 07:02:44.860268+00:00,full_ladder_before_source,fresh_runway,4.0,0.9976490674190361,0.9961992,0.0014498674190361882,4.980996,True,0.0190039999999998,False
p_structural_margin_transition_r16,5,2026-07-24,19,2026-07-24 08:03:33.217250+00:00,full_ladder_before_source,fresh_runway,3.0,0.9836125832557959,0.952375,0.031237583255795953,4.761875,True,0.23812500000000014,True
p_structural_margin_transition_r16,5,2026-07-24,20,2026-07-24 10:31:56.377255+00:00,full_ladder_before_source,pullback,0.5,0.6839190114852266,0.621895,0.06202401148522663,3.109475,True,1.8905249999999998,True
p_structural_margin_transition_r16,5,2026-07-25,18,2026-07-25 07:33:20.970531+00:00,active_first_after_source,fade,5.5,0.9310658617958136,0.9284687500000001,0.002597111795813567,4.64234375,True,0.3576562499999998,True
p_structural_margin_transition_r16,5,2026-07-25,19,2026-07-25 11:33:23.238196+00:00,active_first_after_source,pullback,1.5,0.5136050041385875,0.401895,0.11171000413858745,2.009475,True,2.990525,True
p_structural_margin_transition_r16,5,2026-07-25,20,2026-07-25 13:33:24.530985+00:00,active_first_after_source,fresh_runway,0.5,0.24162916370879664,0.13565500000000003,0.10597416370879661,0.6782750000000001,False,-0.6782750000000001,True
p_structural_margin_transition_r16,5,2026-07-26,17,2026-07-26 06:33:10.950969+00:00,active_first_after_source,fade,8.5,0.9722476275077532,0.971455,0.0007926275077532186,4.857275,True,0.14272500000000043,True
p_structural_margin_transition_r16,5,2026-07-26,18,2026-07-26 10:03:12.345176+00:00,active_first_after_source,fresh_runway,5.0,0.9548643880826723,0.8559113199999999,0.09895306808267235,4.279556599999999,True,0.7204434000000006,True
