buy_conditions,buy_cost,buy_shares,buy_span_minutes,buy_transactions,city,entry_price_band,first_buy_local_hour,first_buy_to_first_sell_hours,first_buy_to_last_sell_hours,first_entry_day_offset,first_main_sell_delay_minutes,first_sell_before_last_buy,has_sell,holding_band,largest_buy_transaction_cost,main_cash_per_share,main_condition,main_cost,main_cost_share,main_entry_quote,main_exit_return,main_exit_return_band,main_fully_exited,main_ladder_index,main_ladder_position,main_ladder_size,main_outcome,main_sell_cash_per_share,main_sell_proceeds,main_sell_shares,main_shares,main_slug,main_sold_fraction,main_title,main_winner_index_distance,main_yes_condition,main_yes_cost,main_yes_is_winner,main_yes_shares,main_yes_slug,main_yes_title,pnl,roi,sell_proceeds,target_date,winner_label,yes_buy_conditions,yes_buy_cost_share
1,0.8058,11.0,0.0,1,ankara,0.00-0.10,7.689166666666667,3.986111111111111,3.986111111111111,-2,239.16666666666666,False,True,2-8h,0.8058,0.07325454545454545,0x477cd7c1c632b4789de322eb9f11aa23867d19be9a4576942a2e6742e7f2eb8e,0.8058,1.0,0.07,0.2717547778605114,10%+,True,3,0.3,11,Yes,0.09316181818181818,1.02478,11.0,11.0,highest-temperature-in-ankara-on-may-14-2026-18c,1.0,Will the highest temperature in Ankara be 18°C on May 14?,-4,0x477cd7c1c632b4789de322eb9f11aa23867d19be9a4576942a2e6742e7f2eb8e,0.8058,False,11.0,highest-temperature-in-ankara-on-may-14-2026-18c,Will the highest temperature in Ankara be 18°C on May 14?,0.21898000000000006,0.2717547778605114,1.02478,2026-05-14,22°C,1,1.0
1,4.83392,23.240000000000002,26.833333333333332,2,atlanta,0.10-0.20,1.0708333333333333,2.2969444444444442,6.027777777777778,-2,137.81666666666666,False,True,2-8h,2.75392,0.208,0x551e646b001a30ad2c01c22881c6fe6598f68fe9a25310defeacb92e8a047604,4.83392,1.0,0.19999999999999996,0.39673391367668476,10%+,True,6,0.6,11,Yes,0.2905206540447504,6.7517,23.240000000000002,23.240000000000002,highest-temperature-in-atlanta-on-may-14-2026-76-77f,1.0,Will the highest temperature in Atlanta be between 76-77°F on May 14?,0,0x551e646b001a30ad2c01c22881c6fe6598f68fe9a25310defeacb92e8a047604,4.83392,True,23.240000000000002,highest-temperature-in-atlanta-on-may-14-2026-76-77f,Will the highest temperature in Atlanta be between 76-77°F on May 14?,1.9177799999999996,0.3967339136766847,6.7517,2026-05-14,76-77°F,1,1.0
1,3.19277,16.15,0.0,1,atlanta,0.10-0.20,1.1683333333333334,0.5625,2.2691666666666666,-2,33.75,False,True,30m-2h,3.19277,0.19769473684210528,0x996336f4abc35ade051b594b3ee0d6649c72e3035ae65e0eed278c89f35af519,3.19277,1.0,0.19,0.3277624132023287,10%+,True,5,0.5,11,Yes,0.26249164086687304,4.23924,16.15,16.15,highest-temperature-in-atlanta-on-june-4-2026-82-83f,1.0,Will the highest temperature in Atlanta be between 82-83°F on June 4?,0,0x996336f4abc35ade051b594b3ee0d6649c72e3035ae65e0eed278c89f35af519,3.19277,True,16.15,highest-temperature-in-atlanta-on-june-4-2026-82-83f,Will the highest temperature in Atlanta be between 82-83°F on June 4?,1.0464699999999998,0.32776241320232896,4.23924,2026-06-04,82-83°F,1,1.0
2,6.569699999999999,72.15,9.333333333333334,2,atlanta,0.00-0.10,0.36416666666666664,7.105,9.155833333333334,-2,548.85,False,True,2-8h,4.46855,0.07325491803278687,0x64b8f12b64bac0fcf65dbd5a0281aab11226a815e496fb4fe56b3100abebcccd,4.46855,0.6801756549005282,0.07,0.45271061082454067,10%+,True,6,0.6,11,Yes,0.10641819672131148,6.49151,61.0,61.0,highest-temperature-in-atlanta-on-june-5-2026-88-89f,1.0,Will the highest temperature in Atlanta be between 88-89°F on June 5?,2,0x64b8f12b64bac0fcf65dbd5a0281aab11226a815e496fb4fe56b3100abebcccd,4.46855,False,61.0,highest-temperature-in-atlanta-on-june-5-2026-88-89f,Will the highest temperature in Atlanta be between 88-89°F on June 5?,3.2668100000000013,0.497254060307168,9.83651,2026-06-05,84-85°F,2,1.0
1,21.676470000000002,40.31,0.5166666666666667,2,atlanta,0.40-0.60,21.6525,0.27361111111111114,0.43833333333333335,-2,16.416666666666668,False,True,5-30m,19.01407,0.5377442322004465,0xcedc4e261f82303ea3875ae0f12f557e470211087f1e810fcf2563cacd7a6cb0,21.676470000000002,1.0,0.5252766063057058,0.11113387004433828,10%+,True,6,0.6,11,No,0.5975058298189034,24.085459999999998,40.31,40.31,highest-temperature-in-atlanta-on-june-14-2026-90-91f,1.0,Will the highest temperature in Atlanta be between 90-91°F on June 14?,0,,0,,0,,,2.4089899999999957,0.1111338700443382,24.085459999999998,2026-06-14,90-91°F,0,0.0
1,5.42455,10.0,0.0,1,atlanta,0.40-0.60,21.58,0.18194444444444444,0.18194444444444444,-2,10.916666666666666,False,True,5-30m,5.42455,0.542455,0x836a16cd57c0de65bcc9b1b7211724c3839a09ba38778a214d382c7f82fbbd76,5.42455,1.0,0.53,0.04675963904840019,2%..5%,True,6,0.6,11,No,0.56782,5.6782,10.0,10.0,highest-temperature-in-atlanta-on-june-15-2026-84-85f,1.0,Will the highest temperature in Atlanta be between 84-85°F on June 15?,2,,0,,0,,,0.2536500000000004,0.0467596390484004,5.6782,2026-06-15,80-81°F,0,0.0
2,1.6116,22.0,0.7666666666666667,2,atlanta,0.00-0.10,21.243333333333336,0.29444444444444445,0.29583333333333334,-2,17.75,False,True,5-30m,0.8058,0.07325454545454545,0xa720da1f5909f072ea3b9114fbc39ed993218a0188e606e0e71d0a7f48f7a415,0.8058,0.5,0.07,0.8289650037230085,10%+,True,7,0.7,11,Yes,0.13398000000000002,1.47378,11.0,11.0,highest-temperature-in-atlanta-on-june-16-2026-78-79f,1.0,Will the highest temperature in Atlanta be between 78-79°F on June 16?,3,0xa720da1f5909f072ea3b9114fbc39ed993218a0188e606e0e71d0a7f48f7a415,0.8058,False,11.0,highest-temperature-in-atlanta-on-june-16-2026-78-79f,Will the highest temperature in Atlanta be between 78-79°F on June 16?,1.0183400000000005,0.6318813601389927,2.6299400000000004,2026-06-16,72-73°F,2,1.0
1,348.32021000000003,1047.84,2.15,7,atlanta,0.20-0.40,1.4597222222222221,0.04638888888888889,0.23472222222222222,-1,2.783333333333333,False,True,<5m,333.80828,0.3324173633379142,0xb9e61ab946be7c63e1c37be761bb0c2e4353c0a01c52ae68403a42d0a15bdb16,348.32021000000003,1.0,0.32168871201710186,-0.010942144298776046,-5%..0%,True,4,0.4,11,Yes,0.3287800045808521,344.50884,1047.84,1047.84,highest-temperature-in-atlanta-on-july-4-2026-94-95f,1.0,Will the highest temperature in Atlanta be between 94-95°F on July 4?,1,0xb9e61ab946be7c63e1c37be761bb0c2e4353c0a01c52ae68403a42d0a15bdb16,348.32021000000003,False,1047.84,highest-temperature-in-atlanta-on-july-4-2026-94-95f,Will the highest temperature in Atlanta be between 94-95°F on July 4?,-3.811370000000011,-0.010942144298776147,344.50884,2026-07-04,92-93°F,1,1.0
1,308.23512,1115.15,0.3333333333333333,4,atlanta,0.20-0.40,1.3022222222222222,0.013888888888888888,1.9830555555555556,-1,0.8333333333333334,False,True,<5m,300.71925,0.27640686903107203,0x80f1e6bee0d6d4589a6e18cff3649c1bb60a5e91d013c9563607a5b8adef0cd8,308.23512,1.0,0.2667268977399408,0.07319197816514045,5%..10%,True,5,0.5,11,Yes,0.2966376345538891,329.31227,1110.15,1115.15,highest-temperature-in-atlanta-on-july-5-2026-94-95f,0.99551629825584,Will the highest temperature in Atlanta be between 94-95°F on July 5?,1,0x80f1e6bee0d6d4589a6e18cff3649c1bb60a5e91d013c9563607a5b8adef0cd8,304.48512,False,1110.15,highest-temperature-in-atlanta-on-july-5-2026-94-95f,Will the highest temperature in Atlanta be between 94-95°F on July 5?,24.677880000000016,0.08006186965326993,332.913,2026-07-05,92-93°F,1,0.9878339625932308
3,13.537090000000001,66.76,0.7,3,austin,0.20-0.40,3.6900000000000004,0.315,17.766111111111112,-2,18.9,False,True,5-30m,6.24,0.20800000000000002,0xce416258b6f8ab410ef1c15a1ae5c2bf73e242758dab099cb8a7a35d86112e7f,6.24,0.4609557888733841,0.2,0.19912076006333845,10%+,True,9,0.9,11,Yes,0.24941711809317443,7.48189,29.9975,30.0,highest-temperature-in-austin-on-may-11-2026-82-83f,0.9999166666666667,Will the highest temperature in Austin be between 82-83°F on May 11?,1,0xce416258b6f8ab410ef1c15a1ae5c2bf73e242758dab099cb8a7a35d86112e7f,6.24,False,30.0,highest-temperature-in-austin-on-may-11-2026-82-83f,Will the highest temperature in Austin be between 82-83°F on May 11?,2.0812289999999987,0.15374271723095573,15.618319,2026-05-11,80-81°F,3,1.0
