target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-01,2026-08-01T10:00:00+09:00,2026-08-01T10:07:11.326681+09:00,2026-08-01T10:08:05.636907+09:00,431.327,54.31,30,not_scorable,one_sided_current_book,,30.0,30.0,0.3999999999999986,40.0,30.0,30.0,2026-08-01T01:00:00+00:00,2026-08-01T01:06:31.806460+00:00,0.999,,,,,,0,,,0,35,1,,collector_exact_hash_verified,,,90d12cbc3f077b2d
2026-08-01,2026-08-01T10:10:00+09:00,2026-08-01T10:17:02.265585+09:00,2026-08-01T10:17:07.292814+09:00,422.266,5.027,30,not_scorable,one_sided_current_book,,30.2,30.2,0.3000000000000007,0.0,30.0,30.0,2026-08-01T01:00:00+00:00,2026-08-01T01:11:52.838838+00:00,0.999,,,,,,0,,,0,35,1,,collector_exact_hash_verified,,,63f4db94c5fa8ad0
2026-08-01,2026-08-01T10:20:00+09:00,2026-08-01T10:26:50.471784+09:00,2026-08-01T10:27:06.262941+09:00,410.472,15.791,30,not_scorable,one_sided_current_book,,30.4,30.4,0.3999999999999986,0.0,30.0,30.0,2026-08-01T01:00:00+00:00,2026-08-01T01:22:17.778812+00:00,0.999,,,,,,0,,,0,35,1,,collector_exact_hash_verified,,,36b16275270a1614
2026-08-01,2026-08-01T10:30:00+09:00,2026-08-01T10:37:27.145191+09:00,2026-08-01T10:44:06.228613+09:00,447.145,399.083,31,scored,,,30.8,30.8,1.0,0.0,31.0,31.0,2026-08-01T01:30:00+00:00,2026-08-01T01:43:10.616216+00:00,0.994,0.999,0.9964999999999999,5e-05,0.9952010257093115,-0.0038489742906885394,0,0.9966409215928353,-0.00240907840716465,0,35,1,1,collector_exact_hash_verified,,,e22325a42a0e6f83
2026-08-01,2026-08-01T10:40:00+09:00,2026-08-01T10:47:23.005928+09:00,2026-08-01T10:48:06.331159+09:00,443.006,43.325,31,scored,,,30.9,30.9,1.0999999999999979,0.0,31.0,31.0,2026-08-01T01:30:00+00:00,2026-08-01T01:43:10.616216+00:00,0.997,0.999,0.998,5e-05,0.9951850246328594,-0.003864975367140594,0,0.9980742247169817,-0.0009757752830182931,0,35,1,1,collector_exact_hash_verified,,,3ef938569cef4d8b
2026-08-01,2026-08-01T10:50:00+09:00,2026-08-01T10:57:14.385818+09:00,2026-08-01T10:58:06.384572+09:00,434.386,51.999,31,scored,,,31.2,31.2,1.1999999999999993,0.0,31.0,31.0,2026-08-01T01:30:00+00:00,2026-08-01T01:53:38.230529+00:00,0.997,0.999,0.998,5e-05,0.9949042249009087,-0.004145775099091314,0,0.9979615722333556,-0.001088427766644423,0,35,1,1,collector_exact_hash_verified,,,595f043c25872e0d
2026-08-01,2026-08-01T11:00:00+09:00,2026-08-01T11:07:26.051811+09:00,2026-08-01T11:08:06.887583+09:00,446.052,40.836,31,scored,,,31.2,31.2,1.1999999999999993,10.0,31.0,31.0,2026-08-01T01:30:00+00:00,2026-08-01T02:04:16.132365+00:00,0.981,0.997,0.989,0.00015,0.9886555995078627,-0.00849440049213725,0,0.9886555995078627,-0.00849440049213725,0,35,1,1,collector_exact_hash_verified,,,fd1c32e84a2c1048
2026-08-01,2026-08-01T11:10:00+09:00,2026-08-01T11:17:01.392922+09:00,2026-08-01T11:17:06.757671+09:00,421.393,5.365,31,scored,,,31.1,31.2,0.9000000000000021,20.0,31.0,31.0,2026-08-01T02:00:00+00:00,2026-08-01T02:14:34.407196+00:00,0.994,0.998,0.996,0.0001,0.9942786966033273,-0.003821303396672648,0,0.9954222935811162,-0.0026777064188837738,0,35,1,1,collector_exact_hash_verified,,,c7c0f8b304a7efe0
2026-08-01,2026-08-01T11:20:00+09:00,2026-08-01T11:26:41.568361+09:00,2026-08-01T11:27:06.191205+09:00,401.568,24.623,31,scored,,,31.3,31.3,0.9000000000000021,0.0,31.0,31.0,2026-08-01T02:00:00+00:00,2026-08-01T02:25:10.926491+00:00,0.994,0.998,0.996,0.0001,0.9941382004857257,-0.003961799514274345,0,0.995309747914818,-0.002790252085182032,0,35,1,1,collector_exact_hash_verified,,,651d90d36d59782b
2026-08-01,2026-08-01T11:30:00+09:00,2026-08-01T11:37:06.193036+09:00,2026-08-01T11:42:06.424181+09:00,426.193,300.231,32,scored,,,31.6,31.6,0.8000000000000007,0.0,32.0,32.0,2026-08-01T02:30:00+00:00,2026-08-01T02:41:13.740467+00:00,0.97,0.988,0.979,0.00059,0.9787887857425784,-0.009801214257421552,0,0.9787887857425784,-0.009801214257421552,0,35,1,1,collector_exact_hash_verified,,,b666fcf8b850c6ea
